Index,1,2,3,6,9,11,23,32,36,42,45,50,54,56,72,78,82,84,91,115,121,122,123,129,131,133,138,140,149,150,154,159,160,165,172,175,177,184,185,190,192,203,211,217,224,228,236,246,251,252,253,258,261,276,277,283,292,307,309,338,353,355,357,370,374,389,390,391,408,412,416,420,429,437,452,454,458,462,464,467,470,476,478,479,484,486,497,511,523,537,539,547,549,550,555,558,559,561,573,577,585,592,594,601,608,614,615,630,642,648,652,657,664,675,676,684,695,700,701,703,706,708,711,718,727,729,748,750,782,788,793,796,797,802,804,829,834,839,866,875,882,883,892,898,899,908,919,927,936,
Basic - Area,4.4560547,22.115234,5.776367,68.61499,17.246582,18.649414,63.870117,3.878418,14.605957,9.077148,4.744873,19.185791,4.8273926,12.419189,10.067383,18.113037,8.5407715,3.50708,7.591797,4.1259766,4.8686523,5.0336914,3.6308594,8.210693,8.953369,4.4560547,11.098877,4.2910156,4.3322754,3.2182617,3.2182617,6.2302246,3.0944824,6.477783,10.52124,3.011963,4.0021973,7.220459,3.1357422,7.1379395,3.0532227,4.579834,7.5092773,8.210693,3.1357422,8.293213,6.312744,5.817627,5.4050293,3.6721191,3.2182617,13.863281,4.8686523,6.4365234,13.698242,12.831787,3.6721191,3.2595215,3.3007812,10.47998,5.074951,6.5603027,3.713379,3.6721191,6.2302246,4.538574,4.4973145,8.953369,10.892578,6.4365234,3.2182617,14.234619,8.169434,3.9609375,11.717773,3.0944824,6.023926,4.9924316,13.244385,3.177002,23.02295,13.203125,5.487549,3.177002,5.611328,18.236816,7.426758,10.810059,3.2595215,3.0944824,9.448486,3.0944824,25.085938,6.519043,5.1574707,4.909912,12.33667,3.50708,6.9729004,3.2595215,4.043457,4.0021973,23.971924,4.786133,5.23999,8.87085,4.0021973,4.8273926,3.50708,42.37378,6.6015625,5.817627,9.531006,3.878418,3.7546387,4.043457,5.652588,5.446289,4.4973145,3.713379,5.32251,3.7546387,14.11084,3.011963,3.5895996,4.414795,3.713379,3.9196777,8.169434,4.043457,4.4560547,4.3322754,23.353027,9.035889,4.2910156,6.312744,3.011963,9.365967,9.118408,4.208496,5.446289,8.74707,4.9924316,3.0532227,5.982666,6.477783,5.9414062,9.572266,5.28125,
Basic - Perimeter,13.111516,58.246906,20.398827,110.059616,47.006783,33.780907,65.428185,12.50011,24.553345,23.46297,17.138266,42.514675,15.065172,29.545954,29.173016,26.078407,16.689764,12.248032,25.84319,12.804188,12.572219,16.664377,11.952485,27.701176,16.442766,16.976984,19.619438,11.890328,14.386531,11.544204,11.011609,18.851625,12.807438,19.409407,27.042845,11.433297,10.485922,16.325157,9.98522,20.711235,12.061563,11.1527815,18.683641,25.34269,12.842782,22.295408,20.650906,19.43622,15.27358,7.2066717,7.132735,24.56655,15.932109,17.467531,21.645407,26.075155,17.3615,8.518656,11.527345,18.016783,15.523828,15.387735,9.914735,11.45686,14.766171,9.283015,11.991078,23.066673,25.317701,17.29447,11.550906,33.515423,22.7305,14.939234,19.78397,9.741672,14.250439,15.154141,30.768969,10.637047,35.183487,24.05772,15.617875,9.587093,20.030968,34.432735,19.747002,25.737562,11.607985,11.013235,23.308392,9.498125,62.9068,14.32275,12.708313,11.930548,32.76447,11.189751,23.451187,9.362032,15.9790325,14.539485,36.685593,16.743393,14.077375,20.72972,8.498547,16.647718,9.094923,67.675766,14.436907,11.226719,16.837437,11.512312,9.194047,17.260952,18.34097,18.03364,10.710984,11.073767,13.111516,11.166188,21.699032,10.11786,11.705485,12.216141,9.657578,12.521845,17.873985,12.291703,9.741672,11.339251,60.210514,21.30436,14.334531,19.708406,9.830641,16.859375,18.24022,14.156391,12.303484,30.713516,14.9191265,8.129063,13.054437,18.68039,16.264626,29.416565,13.939656,
Basic - Circularity,3.07005,12.207994,5.7325215,14.0484085,10.195492,4.8693113,5.333621,3.2059975,3.2845922,4.8262153,4.9260554,7.497011,3.7413273,5.5936193,6.7272286,2.987865,2.595335,3.403902,7.0006404,3.1620405,2.5834808,4.390174,3.1311011,7.4371533,2.402998,5.1470776,2.7598422,2.6219099,3.8017735,3.2953136,2.9982672,4.5392494,4.218195,4.6279454,5.531309,3.4536915,2.1862755,2.9372442,2.5302596,4.782217,3.7917423,2.161259,3.6992617,6.224661,4.1856995,4.7697783,5.3758874,5.1673503,3.4345808,1.1254932,1.2580009,3.4642754,4.1488514,3.772262,2.7218037,4.2165456,6.532025,1.7716521,3.2035532,2.464814,3.7788174,2.8722064,2.1066048,2.8444908,2.7849813,1.5109456,2.5442126,4.7290463,4.682826,3.697884,3.299141,6.279625,5.032875,4.4838266,2.6581037,2.4404452,2.6826682,3.6605022,5.6883225,2.8340976,4.2786517,3.4883685,3.5371675,2.3022187,5.6902103,5.1734967,4.178238,4.876373,3.2896516,3.119119,4.575647,2.319946,12.553215,2.504143,2.4918919,2.3069446,6.9246607,2.8410919,6.2763386,2.1398165,5.0250254,4.2032933,4.467642,4.6611423,3.0095603,3.854888,1.4360877,4.56864,1.876906,8.601205,2.512417,1.7240504,2.3670278,2.719322,1.7915769,5.863633,4.735735,4.751779,2.029998,2.6279168,2.5702744,2.6426027,2.6553268,2.7046921,3.0375469,2.6899714,1.9987448,3.1832914,3.1120098,2.9734554,1.6947536,2.361798,12.353545,3.997203,3.810632,4.8963785,2.5533135,2.4150186,2.9035628,3.7893815,2.211799,8.581962,3.5478463,1.722315,2.2667918,4.2868233,3.543146,7.1938157,2.9279087,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.954589770191003,Infinity,Infinity,Infinity,Infinity,12.261830952036279,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.54982445178869,Infinity,13.568983496592692,Infinity,Infinity,Infinity,Infinity,13.222196010368036,14.148409796207115,Infinity,Infinity,Infinity,13.796227278095754,Infinity,Infinity,Infinity,Infinity,Infinity,7.975781291117194,6.5107121354535265,Infinity,Infinity,Infinity,Infinity,15.653559774527022,Infinity,Infinity,Infinity,13.546349804879155,Infinity,Infinity,Infinity,Infinity,15.954589770191003,Infinity,Infinity,9.32972913810352,Infinity,13.529708133559936,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.583658833907457,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.118977188505571,Infinity,Infinity,7.573759203105024,11.524256666810972,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.872722599781101,Infinity,Infinity,Infinity,Infinity,Infinity,7.290196906691232,11.332883930578731,Infinity,Infinity,Infinity,Infinity,Infinity,12.011144721165973,15.954589770191003,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.541290006109751,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,14.056962678900561,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
Curve - Max Dff,1.6413618,1.4586275,1.6422637,0.8503817,1.5093518,0.9579053,0.590386,1.027815,0.87645316,0.74871653,0.7689716,0.8320477,0.80925107,0.61688626,0.73663163,0.4665813,0.8625154,1.5173763,0.86600935,1.0209937,1.8817546,0.682894,1.0678695,1.2572669,0.7217934,0.89126915,1.1745869,0.8527893,0.6768192,1.1868676,0.69616866,0.9541376,1.5107754,1.0715824,0.62298316,0.76014906,0.44772407,1.0516,0.93814325,0.8177192,0.76753867,1.1437186,0.7656128,0.47784418,1.7539328,1.4545617,0.6581372,0.50028586,0.47104594,1.420735,1.4242942,0.8363235,0.70926493,0.64886564,0.8959156,0.7265971,0.8716756,1.2368566,0.8210554,0.85417724,1.0133672,0.48458603,1.0542948,0.8053881,0.47336805,0.7999514,0.5321334,0.9332984,0.7917171,0.9319182,0.93753994,0.67363566,0.697375,0.67953575,0.9508061,1.2708012,0.70159554,0.9121886,0.7958525,0.7783151,0.5581435,0.5468266,0.67613965,0.60445255,0.59590745,0.57373923,0.80402625,0.91965026,0.732414,0.6859402,0.5915083,0.52155393,0.45051566,0.7165288,0.8494401,0.75561464,0.7077105,0.9659295,0.46396777,0.63580227,0.5606236,0.90593785,0.43350783,0.6511001,0.7333985,0.8336164,0.67926234,0.57280755,0.74622273,0.4967381,0.9768035,0.8528905,0.8685828,0.6441783,0.69687474,0.6831461,0.47883853,0.7776316,1.0053275,0.640089,0.56907487,0.8118297,0.7048928,0.819296,0.849997,0.8060554,0.58555764,0.876741,0.58543175,0.67635536,0.7398719,0.5676685,0.68478066,0.77724403,0.7131105,0.7319599,1.0628564,0.63058436,1.0051726,0.6184172,0.7541792,0.7395004,0.8328664,0.58284414,0.66678447,0.5865115,0.71173453,0.5161384,1.1474049,
Curve - Duration 50% to 50%,16.848,11.988,23.004,7.452,20.088,11.988,11.664,4.86,3.5640001,15.876,14.58,11.016,11.664,7.452,7.1280003,2.592,8.424,9.72,13.284,16.2,8.748,10.692,3.888,20.412,7.452,8.748,2.592,5.184,8.1,17.496,17.172,3.5640001,14.58,2.916,7.1280003,8.748,3.5640001,4.5360003,3.24,6.804,2.916,4.212,3.24,7.776,6.156,5.508,11.988,4.86,5.508,3.888,1.944,6.156,8.1,2.916,9.72,3.888,10.692,2.916,4.86,3.5640001,2.916,2.916,4.212,10.692,1.296,1.944,1.296,4.212,9.0720005,11.664,5.184,9.396,3.888,3.888,3.5640001,3.5640001,2.592,6.804,5.508,10.044,4.212,10.368,5.184,0.972,6.48,6.156,5.184,5.832,5.508,1.62,5.184,5.184,9.72,3.24,7.1280003,1.296,16.524,20.088,2.2680001,0.972,8.424,3.5640001,2.916,6.804,1.62,4.86,3.24,11.016,6.48,11.34,2.2680001,6.48,1.944,6.156,2.916,8.748,2.592,3.5640001,16.848,2.2680001,3.24,1.944,3.24,6.804,2.592,1.944,2.2680001,6.156,4.86,3.888,3.5640001,2.2680001,7.1280003,5.184,6.48,8.1,2.2680001,3.5640001,4.5360003,3.888,1.296,4.5360003,5.184,1.62,7.452,1.62,4.86,8.424,3.24,
Curve - Duration 10% to 10%,16.848,12.312,24.3,8.748,20.736,13.608,11.664,4.86,3.888,16.2,20.736,12.96,11.664,15.552,7.452,4.212,8.748,9.72,15.228,16.524,8.748,11.664,5.508,20.736,10.044,17.172,3.24,5.184,8.1,19.44,19.44,3.888,14.58,4.212,7.1280003,8.748,8.1,5.184,7.1280003,6.804,5.508,7.776,4.212,10.692,6.156,6.156,11.988,4.86,5.508,7.1280003,4.86,6.48,8.1,3.5640001,10.044,7.1280003,10.692,11.34,5.184,4.5360003,5.832,6.804,5.184,12.636,3.5640001,7.452,2.592,4.5360003,9.0720005,11.988,11.988,9.396,3.888,4.5360003,3.5640001,4.212,4.212,9.396,5.832,10.044,4.86,12.636,5.184,1.944,7.1280003,8.424,7.452,6.48,5.508,5.184,5.184,6.804,9.72,5.184,7.452,2.2680001,16.848,23.004,3.5640001,5.184,12.312,3.5640001,3.888,7.452,7.776,4.86,3.24,11.34,10.692,13.284,2.916,7.452,2.592,11.664,5.184,8.748,5.184,3.888,17.172,5.508,7.776,5.832,7.776,12.96,9.72,3.888,11.34,7.1280003,7.1280003,21.06,3.5640001,3.888,7.776,12.312,23.004,8.1,2.2680001,6.804,6.156,10.368,3.5640001,9.72,7.776,4.212,7.776,6.804,15.228,9.72,8.748,
Curve - Rising Duration 10% to 90%,5.184,4.86,4.5360003,3.24,3.888,7.1280003,1.944,3.5640001,1.62,1.62,9.396,6.804,8.748,4.212,4.86,1.296,4.212,4.5360003,6.804,5.184,2.916,6.48,1.296,15.876,0.972,3.888,0.648,2.916,2.592,8.424,4.5360003,0.972,2.2680001,2.916,3.24,2.916,5.184,2.592,2.2680001,1.296,1.62,4.86,2.592,5.184,2.916,1.296,8.424,2.2680001,1.944,0.324,0.324,1.296,2.916,1.296,3.888,2.592,4.212,5.832,1.296,2.2680001,1.296,4.86,1.62,5.508,2.2680001,1.62,0.648,1.62,3.24,5.184,9.396,2.916,1.296,0.972,1.944,1.944,1.296,3.5640001,1.296,6.804,2.916,3.888,4.86,0.324,4.212,5.184,2.2680001,1.62,0.648,1.62,3.24,4.86,3.5640001,2.2680001,0.648,0.972,3.5640001,7.1280003,0.648,0.648,5.508,1.944,0.972,2.916,4.212,2.916,0.972,7.452,6.48,2.2680001,0.972,4.86,0.648,3.888,1.944,3.888,2.2680001,1.944,10.368,1.62,1.62,3.24,5.508,2.916,8.1,1.296,3.24,0.324,1.296,13.608,0.972,1.944,1.62,7.1280003,8.748,3.5640001,1.62,4.212,0.972,6.48,1.296,2.916,3.24,0.324,2.2680001,2.592,8.748,4.86,0.648,
Curve - Decaying Duration 90% to 10%,11.016,6.804,18.792,4.212,11.988,4.5360003,7.776,0.972,1.944,14.58,11.016,5.508,2.916,11.016,2.592,2.2680001,3.5640001,5.184,8.424,11.016,4.212,5.184,4.212,4.86,9.0720005,13.284,2.2680001,2.2680001,5.508,11.016,14.904,2.592,12.312,1.296,3.888,5.832,2.916,2.592,4.86,5.184,3.888,2.916,1.62,5.508,3.24,4.212,3.24,2.592,3.5640001,6.804,4.5360003,4.86,4.86,1.62,4.212,4.212,6.156,5.508,3.888,2.2680001,4.5360003,1.944,3.5640001,7.1280003,1.296,5.832,1.944,2.916,5.508,5.508,2.592,6.48,2.2680001,3.24,1.296,2.2680001,2.916,5.832,4.212,2.916,1.62,8.1,0.324,1.62,2.916,2.2680001,4.86,4.5360003,4.212,3.5640001,1.944,1.944,6.156,2.916,6.804,1.296,11.988,15.552,2.916,4.5360003,6.804,1.296,2.2680001,4.5360003,3.5640001,1.62,1.62,3.5640001,4.212,7.452,1.944,2.592,1.944,7.776,3.24,4.212,2.916,1.944,6.156,3.888,5.832,2.592,1.944,10.044,1.62,2.592,7.452,6.804,5.184,7.452,1.944,1.62,5.508,4.5360003,14.2560005,4.5360003,0.648,2.592,4.5360003,3.888,2.2680001,6.156,4.212,3.5640001,5.508,4.212,5.832,4.86,7.776,
