Index,1,2,3,4,7,9,10,14,15,16,17,19,21,22,23,24,26,34,36,37,43,46,51,52,54,56,59,62,63,64,65,71,74,76,77,78,79,89,92,95,97,100,101,104,105,118,122,123,130,132,134,139,140,141,153,154,155,156,157,158,160,172,180,181,185,196,204,205,207,212,216,218,219,220,222,224,225,226,231,234,236,243,244,250,251,255,258,262,266,267,268,271,272,274,275,276,277,289,293,294,296,298,300,308,309,316,318,320,333,336,344,349,356,359,363,365,367,379,380,386,389,392,397,398,400,402,403,405,411,419,420,422,432,433,435,437,449,455,458,460,466,467,469,472,476,488,490,492,496,498,504,507,512,513,517,520,522,524,526,528,534,537,538,539,541,543,548,551,561,562,565,566,570,572,574,575,578,579,583,590,592,594,595,596,601,607,611,614,618,628,629,631,633,638,639,644,654,662,666,669,670,672,675,681,687,692,710,716,718,720,721,722,729,733,738,740,742,743,746,748,751,752,756,765,774,778,786,788,792,794,796,799,801,802,803,825,830,832,835,842,847,848,849,850,863,868,879,883,886,889,891,899,901,908,909,910,915,924,927,936,940,941,
Basic - Area,19.722168,191.1565,170.40283,4.4560547,56.897217,13.945801,13.615723,13.698242,4.8273926,16.545166,188.63965,4.8273926,8.375732,9.2421875,11.263916,4.8686523,211.74512,9.861084,9.654785,20.176025,8.458252,9.613525,13.285645,8.912109,3.2182617,5.7351074,12.212891,43.322754,31.60498,22.404053,41.796143,7.01416,8.74707,9.118408,16.751465,25.869873,4.0021973,18.649414,6.684082,4.2910156,178.90234,10.149902,5.074951,46.788574,7.426758,17.70044,65.76807,45.261963,4.2910156,14.564697,6.6015625,6.4365234,23.683105,3.1357422,3.6721191,3.0532227,3.3007812,13.326904,14.688477,4.909912,4.2910156,5.611328,12.460449,3.6721191,37.21631,4.909912,18.319336,14.482178,6.8078613,7.8393555,14.647217,3.2182617,5.0336914,34.616943,63.62256,14.5234375,3.3007812,127.28638,7.1379395,8.416992,8.78833,3.2595215,4.579834,9.984863,15.307373,12.914307,15.637451,10.686279,14.647217,15.142334,7.0966797,5.32251,6.9316406,11.635254,3.0532227,105.37744,51.615967,6.023926,7.715576,36.102295,6.6015625,4.373535,35.40088,29.748291,34.121826,23.889404,6.0651855,7.963135,13.326904,7.921875,7.7980957,4.4560547,8.994629,5.611328,5.23999,3.4245605,18.030518,8.623291,3.2182617,25.044678,3.011963,12.25415,11.759033,6.8078613,4.4560547,12.542969,4.249756,11.428955,17.70044,11.800293,5.0336914,4.8273926,4.414795,3.1357422,4.4560547,3.011963,5.1987305,10.727539,14.605957,5.5700684,3.50708,4.4560547,3.878418,4.6210938,4.0021973,11.305176,32.884033,4.414795,19.39209,3.2182617,8.045654,4.084717,5.446289,16.132568,20.093506,7.921875,10.067383,3.878418,17.61792,4.043457,4.579834,3.6721191,25.333496,3.177002,5.982666,5.0336914,7.01416,7.7980957,109.79224,6.519043,7.8393555,6.684082,7.220459,8.416992,4.1672363,9.737305,21.496338,13.326904,58.753906,12.25415,8.004395,5.28125,5.4050293,4.9924316,7.715576,13.615723,6.354004,33.33789,6.9729004,4.1259766,3.878418,3.6721191,3.0532227,8.664551,38.371582,3.1357422,3.7546387,6.3952637,7.5092773,7.220459,4.249756,48.356445,4.084717,3.6721191,34.493164,4.4973145,4.208496,7.756836,18.319336,3.878418,4.0021973,13.079346,3.2182617,5.776367,10.067383,9.531006,3.342041,17.287842,47.036133,7.5092773,15.059814,13.574463,5.3637695,3.9609375,10.64502,8.705811,6.023926,8.416992,25.127197,6.0651855,8.251953,4.373535,4.579834,3.4245605,3.8371582,3.3833008,3.50708,3.8371582,3.3833008,9.118408,4.0021973,20.588623,4.0021973,3.878418,6.0651855,3.342041,30.862305,19.020752,4.1259766,36.96875,5.776367,4.3322754,9.737305,4.744873,6.519043,7.3029785,3.5895996,11.222656,3.4245605,3.2182617,15.678711,13.739502,
Basic - Perimeter,37.590717,161.17055,157.6764,13.442407,87.62143,22.449984,33.84469,29.035093,13.833827,36.56961,300.8456,16.99547,13.240906,25.178156,28.086092,12.501736,190.36002,14.517547,38.13509,41.761894,23.83936,30.389126,29.026766,13.2795,9.550125,15.693438,31.534954,67.87422,37.726814,36.275486,60.612095,23.271421,30.612564,20.294624,36.873688,54.732437,9.892797,38.89438,20.822344,13.790156,240.23878,27.778563,10.7445,56.68102,17.793344,31.39033,68.245125,57.467308,15.194563,29.33247,21.756313,19.236343,34.14531,11.718891,12.132048,8.617782,12.098532,29.472015,42.974953,16.99039,13.870796,13.69611,33.080326,12.043078,72.53594,15.999342,48.29866,35.67586,16.704796,22.276922,28.190094,10.885673,13.235827,40.443203,90.02521,28.096046,13.6071415,145.68185,17.905874,16.095016,29.724096,12.1355,13.887655,18.089094,26.95205,36.52431,37.20783,22.527374,27.627436,33.609467,17.314579,12.063188,18.471983,28.715984,11.401405,161.07448,47.504032,19.061655,22.614513,79.23703,12.570593,13.753187,91.35568,48.137173,64.73452,37.49525,13.341658,14.704016,29.008282,20.514812,24.637234,10.4639845,19.533718,20.244251,12.098532,13.454187,33.315548,17.065952,10.736173,34.0143,10.097752,27.115158,30.957062,17.559954,14.972752,22.350863,18.11936,20.555235,32.38483,21.11972,9.929766,13.255938,11.831422,6.2978907,17.16508,13.587031,15.295313,27.839094,22.006563,11.344329,12.978875,13.261017,12.493204,15.228079,10.38497,21.016937,52.65609,13.528125,45.58531,9.998625,20.012484,14.724125,13.373548,37.86961,31.350111,23.854393,25.875282,12.735328,29.23497,9.933219,11.466812,7.957625,54.43344,9.066282,15.014798,9.929766,12.355484,19.684845,126.26697,14.55289,15.14094,13.875875,16.691189,25.304094,10.047375,21.143078,56.959908,28.468985,75.44875,23.481455,12.286626,14.6150465,16.588814,10.55986,19.493298,24.228952,15.298764,57.09966,15.313797,16.859375,11.77089,10.884047,13.041032,18.982641,52.08003,11.110735,10.973017,13.884204,18.875189,20.45428,13.793609,70.44436,9.946626,12.043078,66.395676,16.058046,11.796079,21.146328,31.963139,12.671345,8.27511,33.495316,7.8081245,10.304327,21.413641,27.59047,15.60447,33.619625,63.21738,20.360235,23.027874,33.347435,10.924266,8.579187,27.555328,18.932266,16.499844,18.356205,30.567266,16.736689,19.066734,10.583422,8.977312,7.4016724,9.513156,9.432515,12.177547,12.614266,7.609875,23.951687,10.941126,38.00916,17.279438,13.015842,13.393657,10.998204,60.20381,40.292076,10.71261,66.0532,16.076532,13.971749,25.586437,18.917234,16.642641,23.461346,10.855407,16.451094,11.208235,7.4973435,40.650185,32.863594,
Basic - Circularity,5.7015996,10.813653,11.610389,3.226961,10.737911,2.875933,6.6946898,4.8974695,3.15473,6.432202,38.180756,4.7615013,1.6657227,5.4583726,5.572927,2.5545948,13.618467,1.7007948,11.986629,6.878835,5.3468585,7.644408,5.046669,1.5746102,2.2552094,3.4173129,6.4797173,8.462211,3.5837266,4.674014,6.994755,6.144129,8.525639,3.5944557,6.4590774,9.214789,1.9459419,6.455035,5.161876,3.5266993,25.672037,6.049895,1.8102173,5.4641876,3.3923922,4.4299397,5.6353164,5.8062863,4.281604,4.7009535,5.7057667,4.574923,3.9175413,3.4851608,3.1896396,1.9356313,3.528895,5.186573,10.005625,4.678678,3.5680654,2.6602283,6.9886937,3.143029,11.25028,4.1487823,10.133292,6.993671,3.2618334,5.037559,4.3174577,2.9300787,2.769528,3.7600405,10.13695,4.325249,4.463825,13.268418,3.5744426,2.449154,8.000205,3.5954366,3.351184,2.6078444,3.7763572,8.220214,7.045192,3.7790687,4.1468296,5.936364,3.3616989,2.175694,3.9172485,5.639774,3.3880394,19.592775,3.479101,4.799895,5.274682,13.839223,1.9048243,3.4416304,18.76062,6.1985383,9.773042,4.683142,2.3354235,2.160618,5.024639,4.227633,6.1942034,1.9553919,3.3758,5.812031,2.222926,4.2063,4.898644,2.6876838,2.8501503,3.6761887,2.693952,4.7745366,6.4854183,3.6043432,4.003528,3.1694098,6.147689,2.9419038,4.715083,3.0079713,1.5587683,2.896666,2.5232105,1.0065608,5.2617626,4.8774147,3.5810432,5.7491045,2.6385453,1.8385999,3.8222454,3.14046,3.2024562,3.9933336,2.1443818,3.1092215,6.709687,3.2987912,8.527376,2.472005,3.9612365,4.223643,2.6132605,7.0740523,3.8923564,5.7160873,5.292291,3.3277888,3.8604755,1.9418573,2.284682,1.3722724,9.307362,2.0588803,2.9987094,1.5587683,1.7319446,3.9542632,11.555746,2.5852633,2.3271022,2.2922878,3.0704348,6.053615,1.9277344,3.6533208,12.010587,4.839548,7.710056,3.5806093,1.5008142,3.218502,4.0515647,1.7774376,3.9191546,3.430984,2.9312668,7.782499,2.676347,5.482092,2.8428514,2.5671673,4.4325695,3.3094618,5.6250043,3.1328194,2.5519612,2.3986874,3.7755013,4.6109853,3.5627222,8.166354,1.927435,3.143029,10.170368,4.5627036,2.631107,4.5874934,4.4379177,3.2944348,1.3615676,6.826094,1.5075171,1.4627651,3.624554,6.3557906,5.797976,5.2027755,6.7613206,4.3929634,2.802065,6.5191703,1.7705351,1.478715,5.676163,3.2763186,3.5964181,3.185657,2.9590976,3.6752353,3.5057907,2.0380259,1.4003385,1.2730486,1.8768505,2.0926883,3.3648376,3.2999277,1.3620863,5.0066047,2.3802123,5.583922,5.936779,3.4760027,2.3536634,2.8801951,9.345655,6.7920637,2.2133698,9.391676,3.5605748,3.585714,5.350212,6.0017905,3.381044,5.997855,2.61238,1.9190401,2.9191723,1.3899001,8.386965,6.2553163,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.47746851547134,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.109491730176746,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.0142989666427615,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.393414705904561,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.11769625381457,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,14.423110853148748,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,14.492191772292047,Infinity,Infinity,7.20192112862344,Infinity,10.289837824891535,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.494579455650106,Infinity,Infinity,Infinity,Infinity,15.653559774527022,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
Curve - Max Dff,2.1314416,1.6537023,1.30727,1.1170509,1.0881673,1.9333929,0.7344853,0.8219585,1.3970073,1.3141854,1.0188643,0.9590392,2.0931923,2.0387433,0.68721795,1.4320624,2.0836155,0.9693173,1.0749551,0.5762088,0.5629402,0.48859248,1.604108,1.8058174,2.2363963,0.95683753,0.61167824,1.4032571,1.679884,1.3591994,2.087761,2.0775158,1.150177,1.5088991,0.49624616,1.894732,1.681046,1.416073,2.212008,1.7425172,1.0878767,1.2117038,1.4303757,1.0436845,2.1572526,1.1735529,1.2550856,1.176047,1.4212044,1.3366985,0.99880123,1.3327115,1.5244818,1.7011517,1.6803513,1.6751198,1.7241968,1.5555865,0.6912118,0.84306955,1.9320415,1.3664198,1.155005,1.748865,1.4442155,1.7509055,1.3676747,0.98555344,0.8560227,1.0602262,0.4817186,1.5224832,1.7778305,1.3123347,1.1160139,1.5317292,1.831953,1.0499076,1.1159182,1.1863519,0.7429006,2.0072072,1.572082,1.2500962,1.1070749,0.9546394,1.3995943,1.5472225,1.277525,1.5126188,1.5141501,1.0642781,1.4296881,1.4011983,2.1011117,1.3442441,1.4369402,0.9016107,1.162355,1.2527287,1.0863001,1.7739367,1.3048156,1.2370785,1.0166271,1.4994142,1.6277964,0.98870355,1.3938985,1.5608902,1.6417598,1.1718276,1.1688929,1.2112353,2.387744,1.569686,1.3510622,1.0944774,1.773068,1.1751255,1.2473668,1.5327522,0.9302519,1.1509578,1.470433,0.65123487,1.615684,1.0191947,1.2939649,0.99443126,0.80227256,1.2358781,1.0177096,1.01355,1.1746227,0.52689093,0.9177659,1.0823493,1.4603174,1.2624853,1.4409343,1.1229527,1.6500341,1.4259768,1.7816863,1.3581666,1.1462996,1.2589182,0.7835564,0.90056735,0.87078273,2.0361016,0.9785116,0.67146426,0.912452,1.6559606,0.76476085,1.6931509,1.0964177,0.97443366,1.4157747,1.1064858,1.1466548,1.0679641,1.6644884,1.451015,1.283147,0.8315028,1.4235364,0.6840483,1.3346117,1.351431,1.7036229,1.5147067,1.3501445,1.4185162,1.3053141,1.1039277,1.0944995,1.1323804,1.291594,2.1016998,1.2060823,1.223293,1.3598517,1.2714959,1.0819851,1.9783865,1.2608241,1.4331741,1.1954294,1.9769946,1.5813879,1.2076881,0.6844754,1.1113453,1.7569457,0.85939825,0.8468563,1.2729763,2.0408409,1.3748975,1.5476347,1.9260981,0.86664504,0.92590386,0.96567655,1.0503259,1.0798125,1.0685781,1.5071139,1.1530681,1.1672778,1.8565197,0.7491864,1.5143654,1.4783973,0.97622144,1.2413512,1.1587833,1.1556884,0.9762769,1.101998,1.2175394,1.6391807,0.9379797,0.87325436,1.5349458,1.25811,1.1592944,1.0236132,0.8552249,1.0786005,0.86365616,1.1412807,1.3612343,1.1022553,0.9475399,1.3388627,1.512496,1.3838348,0.9471399,1.4343126,1.1809266,1.2992802,0.9118769,0.9879339,0.9503354,0.97203135,1.1589085,1.443045,1.7045327,0.9536927,1.6172527,1.5234114,0.82847095,1.1221439,1.1561884,1.0145227,1.022212,1.5259215,1.3672435,
Curve - Duration 50% to 50%,18.144001,11.664,15.876,2.592,7.776,5.184,2.916,1.62,7.776,7.776,14.904,3.5640001,2.592,9.72,3.888,4.86,5.184,2.916,2.916,2.916,4.5360003,1.944,3.5640001,4.86,2.592,3.5640001,2.916,7.452,9.0720005,8.424,10.368,6.48,2.916,5.184,1.944,8.424,7.776,6.48,18.468,5.508,11.016,3.24,6.48,3.24,5.832,1.62,5.184,2.916,3.24,7.776,4.86,3.24,2.916,3.24,5.508,9.0720005,4.5360003,6.156,5.184,4.212,2.916,1.944,3.5640001,2.592,8.424,16.848,6.48,3.24,0.972,1.944,2.916,11.664,11.664,3.24,7.452,1.62,12.312,10.692,1.296,2.2680001,2.2680001,4.5360003,8.424,6.48,4.86,1.62,2.2680001,10.368,4.86,1.62,5.184,1.944,5.508,9.396,11.664,8.424,13.608,4.5360003,1.62,10.044,4.5360003,4.86,21.384,9.72,1.944,2.916,4.212,5.184,2.2680001,2.2680001,5.508,2.2680001,2.916,3.888,3.5640001,16.524,8.424,2.2680001,2.592,4.5360003,1.62,3.888,1.62,2.916,4.86,2.2680001,9.72,2.592,2.592,1.62,1.944,1.944,1.944,2.592,7.1280003,1.944,1.62,0.972,8.1,1.296,14.904,0.648,10.692,4.5360003,4.86,1.62,7.1280003,3.888,5.832,2.592,2.592,7.452,4.86,3.24,8.748,2.592,2.2680001,2.592,4.5360003,1.296,3.5640001,2.592,3.5640001,2.2680001,2.916,1.296,1.296,1.62,10.044,2.916,2.2680001,2.592,5.184,5.508,2.916,2.592,15.552,5.832,5.184,3.888,7.1280003,3.5640001,0.972,1.296,4.5360003,4.212,0.648,2.916,4.212,9.0720005,1.62,2.2680001,2.592,5.184,2.592,8.1,6.156,4.5360003,1.296,2.592,6.48,8.1,9.396,4.5360003,7.1280003,0.972,0.648,1.62,2.916,2.2680001,2.916,1.62,2.2680001,4.212,0.648,4.212,4.86,1.944,8.424,3.5640001,1.62,5.832,1.296,2.916,2.916,3.5640001,1.296,2.592,3.888,2.592,0.972,3.888,1.296,3.888,3.5640001,6.804,1.944,0.972,11.016,2.592,10.044,1.944,5.832,2.592,3.24,1.944,10.044,7.1280003,1.296,3.888,4.86,3.888,3.5640001,3.24,7.452,2.592,1.62,3.5640001,1.62,0.972,11.664,12.636,
Curve - Duration 10% to 10%,20.088,16.2,15.876,6.156,8.424,5.832,2.916,1.62,9.396,10.044,19.116,3.5640001,3.5640001,10.044,8.1,5.184,5.508,3.5640001,7.1280003,5.832,6.156,6.48,4.5360003,5.508,4.212,4.5360003,5.832,8.748,9.72,9.396,10.692,6.804,3.5640001,6.804,4.86,12.312,7.776,6.48,19.44,7.776,11.34,3.5640001,6.48,6.804,6.48,3.888,7.1280003,4.212,7.452,7.776,6.156,3.24,2.916,3.24,6.804,10.692,6.48,8.424,5.184,4.212,2.916,6.156,6.48,2.592,8.424,18.792,6.48,3.5640001,3.24,2.592,4.5360003,11.664,11.664,4.212,8.748,3.24,13.284,14.58,2.592,4.212,4.86,4.5360003,8.748,10.044,6.48,2.2680001,4.212,12.312,7.452,3.5640001,5.832,4.212,5.508,9.72,11.664,10.368,14.58,5.832,12.312,10.044,8.1,4.86,21.384,11.016,5.832,5.508,5.508,8.1,9.0720005,11.664,6.156,2.916,3.888,3.888,3.888,16.524,8.748,3.888,7.452,4.86,11.664,6.156,1.944,5.184,4.86,5.508,10.044,3.5640001,2.916,3.5640001,3.888,7.776,3.24,2.916,8.1,3.24,5.184,2.2680001,11.664,8.1,14.904,0.972,14.58,4.5360003,4.86,1.62,7.1280003,3.888,11.016,7.452,3.5640001,7.452,6.48,3.888,8.748,2.592,5.184,2.592,4.5360003,8.1,4.5360003,4.212,6.156,2.592,4.86,6.156,3.888,5.508,11.34,2.916,3.24,8.424,5.184,8.1,6.48,3.5640001,15.552,6.804,5.508,4.86,7.452,5.508,3.24,1.944,4.86,8.1,1.62,2.916,4.86,9.0720005,3.24,2.2680001,5.184,5.184,4.86,10.692,6.156,5.184,1.944,5.832,6.48,8.424,10.368,11.988,7.1280003,3.5640001,1.296,2.2680001,2.916,2.2680001,4.5360003,2.592,2.2680001,6.804,4.212,4.212,4.86,7.452,12.636,5.508,3.24,6.156,3.24,5.832,2.916,4.212,1.62,3.24,6.804,5.184,1.62,7.452,3.888,12.636,3.888,6.804,5.508,7.452,15.552,2.916,10.044,4.5360003,8.1,3.888,4.212,5.184,11.664,7.1280003,1.944,4.5360003,4.86,3.888,3.888,3.24,12.96,8.424,2.592,5.184,2.916,3.5640001,12.636,12.636,
Curve - Rising Duration 10% to 90%,5.832,4.5360003,4.86,1.62,1.944,2.592,1.296,0.648,3.888,5.184,3.5640001,0.972,0.324,1.296,1.296,0.324,1.62,0.648,0.972,3.5640001,1.62,3.888,1.62,1.944,1.944,1.62,2.2680001,1.62,3.888,3.5640001,6.156,1.62,1.944,3.5640001,1.296,6.48,2.916,1.296,5.832,4.5360003,4.212,1.296,2.2680001,2.592,2.916,0.648,4.212,1.62,5.184,0.648,1.944,2.592,0.972,0.648,3.888,2.916,3.888,0.972,2.592,0.324,0.324,0.648,1.944,1.62,2.916,7.776,0.972,1.944,0.648,0.648,0.648,1.62,3.888,2.2680001,4.212,1.296,9.72,3.24,1.296,1.62,2.2680001,1.944,2.592,4.212,2.592,1.296,1.944,2.2680001,3.24,0.648,1.944,1.62,2.2680001,0.972,8.748,10.044,2.916,3.5640001,10.044,2.2680001,2.592,2.2680001,4.86,4.86,0.972,3.24,1.296,1.296,3.24,2.2680001,1.296,1.62,1.296,0.972,0.972,4.5360003,2.2680001,1.296,1.296,2.2680001,7.1280003,1.944,0.648,2.916,2.592,2.916,4.5360003,1.62,1.296,1.62,2.592,4.5360003,1.944,0.324,2.592,0.324,4.212,0.648,5.832,0.972,8.748,0.324,7.776,1.62,3.24,0.648,2.916,0.648,8.748,3.24,1.296,3.24,2.2680001,0.972,1.296,0.324,0.972,1.296,1.944,1.944,2.916,1.296,1.62,0.324,3.5640001,3.5640001,0.324,0.648,2.916,1.944,0.972,2.2680001,3.888,4.5360003,2.592,0.972,5.832,0.972,1.296,3.5640001,0.972,2.2680001,0.972,0.648,3.24,1.296,0.324,0.972,2.916,1.62,1.944,1.944,3.24,2.916,0.648,5.508,1.944,2.2680001,0.648,3.888,1.944,4.212,2.916,0.972,4.5360003,1.296,1.296,0.972,0.972,0.972,2.592,0.972,0.972,2.916,0.324,1.944,1.62,1.296,7.1280003,1.944,0.972,3.24,0.972,2.592,1.62,1.944,0.972,0.972,3.24,2.916,0.972,3.888,1.944,5.832,1.296,4.212,2.916,2.916,2.592,0.648,5.832,2.2680001,3.24,1.62,1.62,2.2680001,4.86,3.24,0.972,1.944,2.916,0.648,1.62,2.2680001,6.156,2.916,1.944,2.916,0.648,2.916,3.24,2.592,
Curve - Decaying Duration 90% to 10%,7.452,6.804,7.452,3.888,5.832,1.944,1.62,0.972,5.508,3.24,13.932,2.2680001,2.592,8.424,6.156,2.916,1.944,2.2680001,6.156,2.2680001,3.5640001,2.592,2.592,2.916,2.2680001,2.916,3.5640001,5.184,4.86,5.508,1.296,5.184,1.62,3.24,3.5640001,4.212,4.86,2.916,12.96,3.24,4.5360003,1.944,4.212,3.5640001,3.24,3.24,1.944,1.944,2.2680001,6.804,4.212,0.648,1.944,2.592,2.592,7.776,2.592,6.48,2.2680001,2.592,2.592,5.508,4.5360003,0.972,4.86,11.016,5.184,1.62,2.592,1.944,3.888,10.044,7.452,1.62,1.62,1.944,3.5640001,8.748,1.296,2.2680001,2.592,2.592,5.832,5.508,3.5640001,0.972,1.944,7.452,3.5640001,2.916,3.24,2.592,2.916,7.776,2.916,0.324,9.0720005,2.2680001,2.2680001,7.776,5.508,2.592,10.044,6.156,4.5360003,2.2680001,4.212,6.804,5.832,9.396,4.86,1.296,2.592,2.2680001,2.592,11.988,5.508,2.592,6.156,1.944,4.212,3.888,1.296,2.2680001,2.2680001,2.2680001,5.508,1.62,1.296,1.62,1.296,3.24,0.972,1.62,5.184,2.916,0.972,1.62,4.86,7.1280003,6.156,0.648,6.48,2.916,1.62,0.972,3.888,3.24,2.2680001,4.212,1.944,3.888,2.916,1.944,6.804,1.62,4.212,1.296,1.944,6.156,1.62,2.592,4.5360003,1.944,0.972,2.592,3.5640001,4.5360003,3.888,0.972,2.2680001,6.156,1.296,3.5640001,3.888,2.2680001,6.156,4.212,3.888,1.296,6.48,2.916,2.2680001,1.296,1.296,5.508,1.296,1.62,1.944,7.452,0.972,0.324,1.944,2.2680001,3.5640001,5.184,2.916,2.916,0.972,1.296,4.212,2.916,7.1280003,11.016,2.592,2.2680001,0.324,1.296,1.62,0.972,1.944,1.62,1.296,3.24,3.888,1.62,3.24,6.156,4.5360003,3.5640001,2.2680001,2.916,2.2680001,3.24,1.296,2.2680001,0.648,2.2680001,3.24,1.944,0.648,3.5640001,1.944,6.48,2.592,2.592,2.592,4.5360003,12.96,1.296,3.888,1.944,4.86,1.944,2.592,2.916,5.832,3.888,0.972,2.592,1.944,3.24,2.2680001,0.972,6.804,5.508,0.648,1.296,2.2680001,0.648,8.1,9.0720005,
