MC_DataTool ASCII conversion

t           	Fi H6       
[ms]        	[µV]        
0.000       	-0.06       
1.000       	0.61        
2.000       	0.73        
3.000       	-1.89       
4.000       	0.92        
5.000       	1.04        
6.000       	0.12        
7.000       	2.20        
8.000       	-1.40       
9.000       	1.59        
10.000      	3.36        
11.000      	0.37        
12.000      	-1.22       
13.000      	3.23        
14.000      	1.95        
15.000      	2.26        
16.000      	2.38        
17.000      	3.42        
18.000      	1.22        
19.000      	3.36        
20.000      	4.15        
21.000      	-0.67       
22.000      	3.05        
23.000      	0.79        
24.000      	1.46        
25.000      	5.55        
26.000      	2.38        
27.000      	4.03        
28.000      	0.67        
29.000      	2.93        
30.000      	2.75        
31.000      	3.30        
32.000      	1.71        
33.000      	4.15        
34.000      	1.46        
35.000      	1.77        
36.000      	0.00        
37.000      	-0.79       
38.000      	0.55        
39.000      	-0.37       
40.000      	2.08        
41.000      	2.56        
42.000      	2.44        
43.000      	0.43        
44.000      	1.95        
45.000      	4.94        
46.000      	2.93        
47.000      	-0.24       
48.000      	1.89        
49.000      	1.83        
50.000      	-2.38       
51.000      	-1.53       
52.000      	0.67        
53.000      	-1.04       
54.000      	0.37        
55.000      	-0.85       
56.000      	-2.99       
57.000      	-0.18       
58.000      	-2.20       
59.000      	0.67        
60.000      	-0.37       
61.000      	-1.53       
62.000      	-2.50       
63.000      	1.65        
64.000      	0.37        
65.000      	-2.26       
66.000      	-4.21       
67.000      	-2.56       
68.000      	-2.93       
69.000      	-0.18       
70.000      	0.31        
71.000      	-3.17       
72.000      	-3.60       
73.000      	-3.78       
74.000      	-0.98       
75.000      	-3.60       
76.000      	-3.91       
77.000      	-0.18       
78.000      	-1.34       
79.000      	-1.40       
80.000      	-1.10       
81.000      	-3.60       
82.000      	0.73        
83.000      	-2.75       
84.000      	-5.43       
85.000      	-1.34       
86.000      	1.46        
87.000      	-2.32       
88.000      	-3.05       
89.000      	1.65        
90.000      	1.65        
91.000      	3.72        
92.000      	2.44        
93.000      	-2.93       
94.000      	0.55        
95.000      	-0.92       
96.000      	0.92        
97.000      	-1.59       
98.000      	-3.85       
99.000      	-2.14       
100.000     	-2.14       
101.000     	-0.12       
102.000     	-0.55       
103.000     	-2.20       
104.000     	-1.59       
105.000     	-5.07       
106.000     	-1.53       
107.000     	-1.53       
108.000     	-0.67       
109.000     	-0.49       
110.000     	-5.55       
111.000     	-2.26       
112.000     	-1.10       
113.000     	-0.67       
114.000     	1.04        
115.000     	0.37        
116.000     	0.00        
117.000     	-2.99       
118.000     	1.65        
119.000     	0.61        
120.000     	-0.12       
121.000     	1.04        
122.000     	-2.87       
123.000     	-2.01       
124.000     	-2.20       
125.000     	-5.07       
126.000     	-4.27       
127.000     	-5.07       
128.000     	-4.82       
129.000     	-1.95       
130.000     	-0.06       
131.000     	0.00        
132.000     	-1.95       
133.000     	1.59        
134.000     	0.18        
135.000     	-2.87       
136.000     	-3.85       
137.000     	-5.49       
138.000     	-4.52       
139.000     	-7.75       
140.000     	-3.30       
141.000     	0.18        
142.000     	-0.06       
143.000     	-0.43       
144.000     	-1.28       
145.000     	0.43        
146.000     	-1.53       
147.000     	-0.79       
148.000     	-3.05       
149.000     	0.43        
150.000     	-2.87       
151.000     	-1.22       
152.000     	-3.97       
153.000     	-1.53       
154.000     	-3.78       
155.000     	-0.55       
156.000     	-1.83       
157.000     	-2.20       
158.000     	-4.52       
159.000     	-1.16       
160.000     	-0.24       
161.000     	-1.77       
162.000     	-1.46       
163.000     	1.83        
164.000     	-0.12       
165.000     	-1.83       
166.000     	2.08        
167.000     	-0.31       
168.000     	-2.32       
169.000     	0.06        
170.000     	1.83        
171.000     	-0.06       
172.000     	1.77        
173.000     	-1.71       
174.000     	-0.24       
175.000     	1.16        
176.000     	-0.49       
