Index,1,5,7,11,15,16,17,22,25,28,33,35,38,41,42,43,48,50,59,60,62,66,67,68,73,74,76,77,79,81,83,84,87,89,90,91,92,95,100,104,105,107,109,111,112,116,119,125,126,133,135,137,142,144,147,150,151,154,157,158,160,161,166,171,176,177,181,182,187,191,194,196,200,201,204,206,210,211,214,222,225,226,232,233,234,237,242,243,246,253,256,265,266,268,273,284,304,307,310,312,313,314,318,320,323,332,333,341,356,367,371,378,379,383,385,390,394,397,399,404,415,418,421,423,424,426,435,439,440,443,450,452,456,459,461,464,468,469,471,473,474,491,492,498,507,518,528,529,534,564,566,572,573,576,579,586,587,589,602,608,619,627,628,631,647,649,656,662,679,683,687,690,692,700,704,710,715,716,728,734,741,753,758,779,784,787,807,808,811,813,815,826,830,834,837,
Basic - Area,9.984863,3.3833008,8.458252,27.850342,10.191162,4.6623535,203.41064,6.1064453,36.597412,5.116211,5.487549,4.579834,5.1987305,3.0532227,3.0944824,6.477783,16.215088,6.3952637,12.171631,17.947998,7.715576,5.074951,19.845947,6.0651855,33.874268,10.397461,5.611328,7.963135,22.115234,4.951172,10.975098,3.177002,18.484375,34.94702,3.9609375,7.0966797,8.78833,6.0651855,8.664551,10.64502,22.239014,8.78833,6.519043,20.712402,7.426758,17.989258,39.320557,14.193359,19.185791,29.78955,5.7351074,32.01758,6.9729004,14.399658,5.28125,23.930664,5.982666,12.089111,3.7958984,26.860107,7.921875,35.689697,8.78833,12.625488,55.494385,7.179199,4.3322754,3.0944824,4.8686523,51.698486,3.1357422,3.5895996,22.445312,11.263916,4.084717,16.792725,3.3007812,8.499512,10.975098,6.312744,8.416992,30.532227,5.9414062,10.892578,10.191162,6.6428223,3.4658203,3.50708,4.8686523,4.7036133,23.600586,126.46118,4.744873,10.47998,8.705811,6.0651855,4.373535,30.490967,11.965332,31.85254,10.810059,18.814453,27.272705,3.50708,30.325928,20.918701,8.5407715,4.249756,6.890381,5.982666,39.815674,5.5700684,6.0651855,5.28125,6.2302246,8.623291,15.101074,3.3007812,10.232422,4.373535,21.08374,13.203125,19.680908,5.116211,8.74707,6.5603027,3.5483398,7.01416,5.23999,9.654785,10.975098,9.531006,14.275879,8.953369,30.03711,3.7958984,4.414795,10.108643,4.4560547,14.234619,3.7958984,5.5288086,4.951172,11.552734,19.062012,6.477783,5.982666,25.416016,7.4680176,16.668945,8.045654,3.011963,29.91333,5.6938477,3.0532227,3.8371582,17.287842,5.28125,6.0651855,3.9196777,5.23999,10.191162,7.1379395,6.684082,5.1574707,31.192383,11.428955,4.249756,28.22168,3.713379,3.011963,13.739502,17.205322,12.419189,3.2182617,5.6938477,4.084717,7.220459,19.763428,8.994629,5.0336914,6.312744,4.786133,3.342041,3.4245605,5.817627,17.45288,3.0944824,4.744873,10.067383,5.7351074,4.0021973,5.5288086,9.9436035,6.6428223,
Basic - Perimeter,23.435953,8.908454,24.030703,55.25487,23.073174,9.760157,178.49467,15.6749525,70.244484,14.840109,10.307781,13.585202,10.978094,8.409577,8.261703,11.876922,23.488155,14.573001,20.598703,34.45792,22.39636,12.254735,45.019405,25.265503,68.211815,18.398046,18.500828,17.78664,37.7975,14.08083,16.855923,12.35061,36.35938,63.528156,13.770047,17.34647,26.32886,20.432344,16.016,32.33283,50.625046,12.847859,13.297985,32.811596,15.088736,23.110142,76.48875,31.107985,29.560982,40.33412,18.517485,54.700542,14.991235,34.866,13.701187,67.86589,14.17833,27.111702,9.277938,42.00727,12.266516,56.5368,29.221764,21.984623,68.87726,24.067673,12.89986,12.315266,13.331499,50.599857,10.865562,11.241751,43.18824,31.854065,8.4800625,33.10897,10.847078,17.22236,18.57944,14.478952,18.354376,39.356483,22.219843,34.325077,24.633781,17.655626,13.541532,12.830999,14.102564,9.478016,47.589546,212.5498,15.110469,16.57033,24.692688,17.008875,14.137907,33.162594,28.504328,41.713142,20.88775,34.928158,41.493156,8.369157,51.799515,45.558704,21.038874,10.710984,21.858688,15.74889,64.23889,13.523047,14.929078,10.847078,17.539642,27.894344,31.393782,10.999829,27.080015,13.353437,45.93814,28.244125,49.546654,13.456017,27.41578,16.761877,13.808641,23.311846,18.035267,22.234877,22.444906,17.902626,20.922892,24.407095,42.52808,11.962438,13.373548,17.899172,10.443875,26.239891,14.55614,15.290235,12.931749,20.607235,22.619595,18.823187,12.52022,52.424324,26.90167,30.579046,19.619438,8.673235,45.998676,16.244516,6.101266,8.439641,39.206783,20.793703,14.881953,12.065016,11.414813,26.755625,12.041453,15.715376,21.383173,63.002262,24.271,8.256625,65.85678,12.360562,11.545829,26.088566,30.943455,34.938107,11.245203,15.238234,15.162674,14.724125,40.95894,17.726109,14.441982,13.958141,20.978546,8.293594,11.972594,14.060719,42.89919,10.99475,15.55389,0.5711875,13.050984,10.181845,15.6582985,16.333689,14.070673,
Basic - Circularity,4.37737,1.8666126,5.4330344,8.723701,4.15701,1.6259176,12.464274,3.201947,10.729123,3.4254363,1.5407852,3.2068055,1.8447891,1.843232,1.755259,1.732892,2.707501,2.6425893,2.7740936,5.264441,5.173407,2.3548656,8.126767,8.37533,10.930485,2.5906353,4.854079,3.1615052,5.1407294,3.1866813,2.060093,3.8207574,5.691389,9.189936,3.8094563,3.3740938,6.2769384,5.477501,2.355875,7.8150373,9.170763,1.49467,2.158629,4.1363225,2.439476,2.362556,11.840378,5.4256115,3.6245003,4.3458166,4.75787,7.43678,2.564788,6.7180347,2.8285887,15.315759,2.6739025,4.8384843,1.8045897,5.2279487,1.5114876,7.127049,7.732085,3.0463514,6.80288,6.420699,3.0566387,3.9002254,2.9049547,3.9410403,2.9960856,2.8016381,6.612954,7.1685357,1.4009618,5.1946983,2.8366055,2.7770362,2.50292,2.64269,3.185022,4.0370507,6.612761,8.607609,4.7383657,3.7342532,4.2103643,3.7356436,3.2507048,1.5198244,7.6364317,28.428524,3.8293178,2.0849323,5.573367,3.7957466,3.63687,2.870225,5.4036474,4.3470225,3.2117774,5.160002,5.0235977,1.5893072,7.040888,7.8958364,4.1241837,2.1482503,5.5181704,3.2990983,8.247686,2.6126351,2.9242334,1.7728785,3.9294147,7.1804123,5.1936126,2.9170594,5.7030807,3.2444692,7.9650645,4.8080573,9.925985,2.8162727,6.8379936,3.4080937,4.2762866,6.1654925,4.939748,4.0749,3.6527278,2.6759925,2.4402297,5.294633,4.791633,2.9999564,3.2238355,2.522105,1.9478835,3.849181,4.441892,3.365014,2.6877985,2.9251275,2.1359499,4.352613,2.0850635,8.60495,7.711579,4.4640584,3.8071668,1.9874799,5.628803,3.688059,0.97022295,1.4771628,7.075739,6.51504,2.9058013,2.955259,1.9787788,5.5898046,1.6164976,2.9403424,7.0550103,10.126371,4.101653,1.2765307,12.229488,3.2741408,3.5220115,3.9420269,4.428584,7.8216,3.1268237,3.2452903,4.4789867,2.389375,6.754998,2.779929,3.29729,2.4559932,7.3173895,1.6378115,3.3309019,2.7043276,8.391144,3.1086571,4.0573606,0.0025788788,2.3633883,2.061316,3.5289679,2.1350837,2.3717408,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.608074514174389,Infinity,Infinity,Infinity,Infinity,Infinity,12.965585154492466,Infinity,Infinity,Infinity,15.653559774527022,Infinity,5.6867735655825244,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,7.656671410250696,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.107657511315616,Infinity,Infinity,Infinity,Infinity,Infinity,11.276408395998404,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.117158019731046,Infinity,Infinity,12.387210462540025,9.047670817206658,Infinity,Infinity,Infinity,Infinity,7.228283964378532,Infinity,Infinity,Infinity,Infinity,Infinity,6.127294920907214,Infinity,Infinity,Infinity,9.45947244436276,Infinity,11.647521819529706,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.672447800589565,Infinity,9.742480772208493,Infinity,Infinity,7.184182326683838,15.653559774527022,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,9.547665706897233,Infinity,11.232243827715422,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.885551005204933,Infinity,Infinity,7.585033796684939,11.040511184801892,Infinity,Infinity,Infinity,10.498281444358378,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,14.653559774527022,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.2689279280531047,Infinity,Infinity,Infinity,Infinity,9.96032146189665,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
Curve - Max Dff,1.4468286,1.095023,0.7731591,0.8197925,0.6006731,0.58691895,0.8332566,1.7041545,1.7948192,0.53245884,1.3295535,0.57320297,1.8099139,0.7917782,2.28853,0.64574486,0.85533375,0.7804238,0.8160058,1.1837764,1.3510267,0.7406987,0.8530295,0.726674,0.5799253,1.0349691,0.8566792,0.662984,1.0880697,0.99524635,0.9306809,2.0820353,0.9512843,0.36676678,1.6242912,1.0103291,0.50428015,0.69553745,1.8410025,0.91733974,0.6702872,2.5753672,0.62700486,0.82029897,0.599612,0.76136047,0.82794446,0.68234414,0.9145767,0.7071181,0.32147932,0.97397745,1.208537,1.2086986,0.8730949,0.761622,0.43212357,0.8472029,1.0581455,0.8888244,0.65845585,0.9204806,1.7095332,0.86873907,1.0589705,1.0594132,1.2083228,0.31891087,1.0481045,1.409837,0.5692511,0.39042234,0.55154955,0.7937757,0.5262472,1.3209798,0.32996014,1.1444298,0.7236312,0.6622766,0.54248846,0.4946548,0.42678925,0.89703834,1.2655197,0.735316,0.7277077,0.8358527,0.34322804,0.54649836,0.82002115,0.6797697,0.8377712,0.7028268,0.624338,0.62702656,0.87600386,0.8361819,0.71465635,1.0250775,0.6042016,0.9434023,0.74930245,1.518316,0.5314646,1.4106592,1.140372,0.7159082,0.70838374,0.49094892,0.85663337,0.60890037,0.62798446,0.5661875,0.49741322,1.098799,1.3366771,0.4718641,0.7460442,0.5076902,1.1011684,0.7648516,0.6174793,0.71674126,0.82511437,0.58730775,0.6170853,0.5481163,0.7618552,0.5540862,0.5448116,0.53185177,1.0699531,0.33547565,0.8101722,0.60245353,0.5454966,0.5516851,0.9900789,2.1898758,0.53040147,0.7122163,0.8574829,0.48020566,0.7913295,1.4046509,0.6080547,1.114031,0.66938096,1.2151953,0.46940747,0.39919862,0.45792595,0.7186876,0.7343361,0.5913495,0.3629049,1.3213407,0.90924686,0.40273806,0.8091014,0.8085166,0.45060533,0.64890873,0.59711194,1.4253765,0.86097425,0.51159495,0.8464903,0.69563323,0.44676626,0.79458845,0.73513204,0.70639014,1.3213623,1.3032606,0.8758286,0.6198733,0.8387675,0.563041,0.65721685,0.527663,0.576693,0.64356637,0.61343056,0.3569185,1.3531932,0.6306097,0.86607206,1.1194923,0.6005744,0.6415033,0.659425,0.45868605,0.4362917,
Curve - Duration 50% to 50%,7.1280003,4.212,3.888,17.82,1.944,0.972,4.5360003,1.62,9.396,0.972,2.592,2.916,0.972,4.212,1.62,6.156,2.592,4.212,2.916,2.2680001,1.296,4.212,7.1280003,5.832,5.832,1.296,4.212,3.5640001,4.86,1.296,1.296,4.86,3.888,2.592,3.888,1.296,4.212,1.296,1.62,4.86,5.508,1.296,1.296,4.212,5.508,1.296,7.452,5.184,7.776,4.212,1.62,3.888,3.5640001,4.86,2.592,7.1280003,2.916,2.2680001,4.86,3.24,1.944,1.296,5.184,2.592,8.1,6.156,2.2680001,0.972,5.508,5.184,1.296,0.648,1.296,1.944,1.944,1.296,0.648,1.296,1.296,0.972,1.296,3.24,3.24,1.296,2.916,3.888,4.5360003,4.86,0.648,0.648,5.832,11.988,6.804,0.648,2.2680001,0.972,2.2680001,8.748,3.888,6.804,2.592,3.5640001,5.508,4.86,1.62,5.184,3.5640001,0.648,1.62,1.296,2.592,1.62,0.972,2.916,1.62,1.296,4.212,1.944,7.1280003,3.888,6.48,3.5640001,6.804,3.24,2.2680001,1.62,1.62,3.24,1.62,1.62,2.592,1.944,1.944,0.972,4.86,0.972,1.62,1.62,1.296,1.944,5.832,3.24,2.916,3.24,2.592,4.212,0.972,6.156,2.916,1.62,0.648,0.972,3.24,0.972,2.592,4.212,1.944,2.916,5.508,0.972,1.944,6.156,3.24,2.916,3.24,9.72,3.24,1.296,5.508,1.296,0.972,2.2680001,2.916,2.2680001,0.648,2.2680001,3.24,1.296,6.804,2.2680001,4.212,0.972,1.944,1.296,6.804,1.296,4.212,2.592,4.86,7.1280003,1.62,1.296,1.296,5.832,2.2680001,
Curve - Duration 10% to 10%,7.1280003,4.212,3.888,18.792,2.592,4.212,8.424,1.62,9.72,3.24,2.592,2.916,1.944,4.212,2.592,8.424,3.5640001,4.212,3.24,4.212,1.62,4.212,7.1280003,5.832,5.832,2.916,4.212,3.5640001,4.86,5.184,1.62,5.184,4.212,2.592,4.212,2.916,4.86,2.916,4.212,6.48,6.804,5.184,5.184,5.832,6.48,4.86,7.452,5.184,8.1,4.5360003,9.72,3.888,4.86,4.86,2.592,7.1280003,2.916,3.5640001,5.832,4.212,2.916,3.24,6.156,4.212,8.1,6.156,11.34,9.0720005,9.0720005,8.748,1.944,1.296,2.916,4.212,10.368,1.944,4.212,1.62,1.944,2.2680001,2.916,5.832,3.24,3.5640001,7.452,3.888,4.5360003,4.86,0.648,2.2680001,6.156,13.284,6.804,2.916,5.508,2.2680001,8.1,11.016,4.212,6.804,3.888,4.212,5.508,4.86,3.24,5.184,4.5360003,1.62,2.592,1.944,4.5360003,2.2680001,3.888,5.508,2.592,4.5360003,7.1280003,6.804,7.1280003,8.424,6.804,3.5640001,6.804,3.888,2.592,4.5360003,3.888,3.24,1.62,2.2680001,4.86,3.24,4.212,2.592,6.48,7.1280003,3.24,2.916,2.2680001,1.944,5.832,4.5360003,3.888,3.888,2.916,4.212,2.592,6.156,2.916,4.5360003,1.296,3.24,4.212,4.86,2.592,4.5360003,4.5360003,5.184,8.1,3.888,2.2680001,6.156,5.508,2.916,3.888,12.96,7.452,3.5640001,5.508,3.888,3.5640001,7.1280003,3.24,4.212,2.2680001,2.2680001,3.5640001,2.916,6.804,3.24,4.212,3.888,1.944,9.72,8.1,2.2680001,4.212,2.592,6.48,7.1280003,8.748,2.2680001,5.508,11.664,7.452,
Curve - Rising Duration 10% to 90%,6.156,1.62,2.2680001,2.592,0.648,0.324,2.916,0.648,2.916,0.648,0.972,0.324,1.62,1.62,2.2680001,1.944,1.944,1.944,0.648,0.972,0.324,2.2680001,5.184,2.592,2.2680001,0.324,2.916,1.296,2.916,0.648,0.648,2.592,0.972,0.324,1.296,1.62,3.888,0.972,0.648,1.944,2.916,2.916,3.24,0.972,4.212,0.648,1.296,2.2680001,1.296,2.592,0.324,0.972,2.592,1.944,1.944,2.592,0.972,1.944,1.944,0.972,1.296,0.648,4.212,1.62,3.24,1.944,4.212,4.86,5.184,2.2680001,1.296,0.324,1.296,2.592,3.24,0.648,0.972,0.648,0.972,1.62,1.296,2.916,1.62,1.944,1.62,1.62,0.972,0.324,0.324,1.944,2.2680001,3.24,2.592,0.648,0.972,1.296,2.2680001,7.452,2.592,4.212,1.62,1.944,0.972,3.24,2.2680001,1.62,2.2680001,0.324,1.296,0.648,2.916,0.648,0.972,2.2680001,0.972,2.2680001,2.592,2.592,1.296,3.24,3.888,1.296,1.62,1.296,1.296,2.592,0.648,1.62,0.972,0.648,1.62,2.592,0.972,1.944,3.888,3.888,0.648,2.2680001,1.296,0.648,3.888,1.296,2.2680001,2.592,1.296,1.62,1.296,1.944,0.972,1.944,0.648,0.648,2.2680001,0.648,1.62,0.648,2.2680001,1.296,3.5640001,2.2680001,0.324,5.508,2.916,0.972,0.324,2.916,0.972,1.944,3.5640001,2.916,0.324,1.944,0.972,1.62,1.944,0.648,1.944,0.972,1.296,0.324,2.2680001,1.296,0.648,0.324,0.324,0.648,1.944,1.296,0.324,0.324,3.5640001,0.648,3.5640001,4.5360003,2.916,
Curve - Decaying Duration 90% to 10%,0.648,1.62,1.62,13.284,1.62,3.888,3.24,0.648,5.832,2.592,1.62,2.2680001,0.324,2.592,0.324,6.156,1.62,2.2680001,2.2680001,2.916,1.296,1.944,1.62,1.62,2.916,2.2680001,1.296,1.944,1.944,4.5360003,0.972,2.592,2.916,0.972,2.916,1.296,0.648,1.944,3.5640001,3.5640001,3.888,2.2680001,1.62,4.5360003,2.2680001,4.212,4.86,2.916,6.156,1.62,9.396,2.2680001,2.2680001,2.2680001,0.648,4.212,1.944,1.62,3.5640001,2.592,1.296,2.2680001,1.296,2.592,2.2680001,3.888,7.1280003,4.212,2.916,6.156,0.648,0.972,1.62,1.62,7.1280003,1.296,3.24,0.972,0.972,0.648,1.62,2.916,1.62,1.62,5.832,2.2680001,3.5640001,4.5360003,0.324,0.324,3.5640001,7.1280003,3.24,2.2680001,4.212,0.972,5.832,3.24,1.62,2.2680001,2.2680001,2.2680001,4.212,1.62,0.972,2.592,1.944,1.296,1.296,0.972,1.296,1.62,2.916,3.24,1.62,2.2680001,3.5640001,3.888,5.832,5.184,2.592,1.944,3.5640001,2.592,1.296,1.944,3.24,0.972,0.648,1.62,3.24,0.324,3.24,0.648,2.592,2.916,2.592,0.648,0.972,1.296,1.944,2.916,1.62,1.296,1.62,2.592,1.296,3.5640001,1.296,2.592,0.648,2.592,1.62,4.212,0.972,3.888,1.944,3.5640001,4.5360003,1.62,1.62,0.648,2.592,1.944,3.5640001,9.72,6.48,1.62,1.62,0.972,3.24,4.5360003,1.296,2.2680001,0.324,1.62,1.62,1.944,4.86,2.592,1.62,2.592,0.972,8.748,7.452,1.62,2.2680001,1.296,6.156,6.156,5.184,1.62,1.944,7.1280003,4.5360003,
