Index,5,6,7,9,12,13,19,23,31,38,40,42,44,46,48,50,51,53,55,59,63,67,73,74,75,77,80,82,85,86,88,89,92,93,94,95,96,105,106,107,109,115,117,118,119,124,125,126,128,131,134,136,139,141,145,146,150,158,166,168,169,170,171,173,175,176,177,178,179,182,184,186,187,193,194,195,196,203,204,207,209,212,213,214,217,219,220,221,223,224,227,230,232,234,235,241,246,247,250,252,253,255,256,257,260,263,265,266,271,273,275,277,278,281,282,283,286,288,292,294,296,298,299,301,302,306,316,318,329,334,336,339,344,347,350,351,353,354,355,356,357,361,362,370,374,377,381,384,386,388,398,402,406,408,409,410,414,415,423,424,425,426,432,433,439,451,454,455,456,458,460,465,466,473,476,481,485,489,492,493,495,512,513,515,516,528,529,530,538,540,541,551,553,557,560,562,563,565,566,569,574,580,581,582,583,586,591,592,600,602,607,610,611,617,623,625,626,635,637,
Basic - Area,16.875244,11.098877,4.373535,28.675537,37.09253,5.32251,11.263916,15.2248535,6.023926,35.44214,34.245605,14.936035,4.579834,29.211914,18.525635,17.824219,19.845947,3.6721191,3.7546387,7.6743164,3.0532227,7.6743164,36.184814,84.25244,31.068604,4.1259766,25.704834,6.5603027,83.13843,3.2595215,15.307373,3.3007812,17.782959,15.266113,4.249756,8.004395,121.22119,20.299805,8.78833,9.654785,14.440918,7.179199,3.3007812,19.639648,6.2714844,16.132568,4.3322754,27.025146,89.90503,5.0336914,7.963135,9.2421875,4.4973145,7.179199,4.208496,4.373535,4.4560547,3.3833008,17.411621,57.76367,16.215088,83.05591,22.73413,5.3637695,15.967529,35.35962,8.994629,209.68213,3.7546387,8.87085,8.128174,62.508545,29.129395,5.3637695,7.921875,9.448486,24.384521,8.5407715,8.210693,10.933838,14.06958,32.677734,3.342041,8.169434,7.01416,5.0336914,8.210693,43.570312,3.2595215,13.038086,4.249756,3.5895996,4.043457,3.5895996,3.1357422,7.921875,4.9924316,11.470215,3.177002,4.1672363,5.4050293,67.29468,70.7605,3.2182617,6.6015625,12.37793,4.3322754,3.3007812,3.2182617,8.045654,6.023926,4.6623535,4.4560547,148.61768,4.6623535,3.177002,9.2421875,8.82959,4.2910156,4.1672363,12.666748,8.045654,9.654785,16.421387,9.159668,6.725342,3.713379,4.8686523,18.938232,3.4245605,7.179199,123.07788,3.0532227,10.026123,5.776367,5.3637695,32.223877,64.406494,25.168457,7.963135,5.28125,4.8273926,41.878662,3.6308594,8.82959,3.6308594,6.0651855,44.808105,4.373535,6.477783,20.95996,5.5700684,3.342041,6.312744,12.955566,16.256348,8.582031,3.2595215,9.613525,3.9609375,12.25415,3.713379,8.499512,6.6428223,3.2595215,11.140137,7.963135,4.249756,3.50708,5.1574707,5.116211,6.849121,16.710205,5.5288086,7.385498,7.220459,6.0651855,6.849121,80.37402,12.5842285,4.208496,5.23999,3.0532227,9.778564,7.01416,4.249756,6.684082,3.0944824,3.2595215,6.312744,7.3029785,5.5288086,3.0532227,6.5603027,10.60376,8.664551,5.23999,4.8273926,6.477783,7.880615,49.924316,14.02832,17.411621,6.8078613,8.004395,21.537598,4.414795,7.0966797,4.9924316,6.6015625,3.177002,3.342041,20.464844,3.5895996,6.477783,3.0532227,32.430176,6.890381,12.873047,
Basic - Perimeter,34.026077,25.174706,11.60453,74.590546,55.577232,16.940016,20.845703,31.665966,20.894455,70.847565,43.445187,32.93591,15.295313,39.26569,30.172592,30.125673,26.557375,10.13472,15.898392,17.401922,10.257406,14.4639225,28.257126,76.15258,33.318798,12.38575,42.734657,15.752344,86.354126,12.15561,37.997375,8.523735,46.008827,28.218733,17.42711,20.885923,114.78839,28.213657,17.121407,35.85217,27.953249,21.394953,8.846296,38.103203,16.394016,33.31717,9.731516,49.26614,121.459206,18.243671,17.62861,20.156906,11.986001,13.947985,9.310031,10.181845,10.267359,10.42539,31.173798,67.17364,32.86542,113.57205,33.782734,13.891109,30.317013,63.590714,29.574394,147.29102,6.808547,14.82508,20.353533,57.871937,51.512096,14.510844,17.126484,14.324376,42.660923,19.765486,15.74889,15.849642,26.904922,52.25472,13.296359,19.00275,20.381971,16.68286,21.93933,46.62673,11.967516,31.417343,10.022188,8.945422,10.4304695,11.744078,10.805031,16.531734,13.209017,31.316391,10.863734,13.015842,12.573844,83.80958,87.70186,8.982391,16.906298,19.070189,15.402766,11.357735,9.12336,20.71469,18.91561,20.264565,18.414907,150.32529,10.912485,10.6319685,25.226906,17.447422,10.1952505,12.651236,19.142296,20.71469,20.22922,28.405205,16.259546,14.803141,7.782938,15.433235,42.11147,8.068531,14.194985,156.61081,10.97972,23.452812,18.761032,16.47811,42.702766,75.862114,31.633873,15.354218,17.470781,16.687939,64.65875,10.269188,23.205812,9.158704,14.966047,42.828705,12.8647175,12.288454,36.801376,14.764547,10.163361,14.934156,35.43739,28.044048,15.711922,11.8365,22.54911,9.283015,29.49192,9.647625,14.652017,16.287985,7.9911404,18.236765,22.624672,11.557609,13.24761,14.877079,10.141422,17.889221,23.839157,10.136344,13.644111,19.459782,13.049358,10.998204,73.6647,15.6582985,10.448954,14.709094,8.449797,23.147112,19.940376,11.381297,14.882157,14.094234,10.154828,13.865719,21.253984,17.48764,7.7443438,14.018672,19.476439,17.692595,15.832983,10.173312,19.733797,19.935093,46.0911,29.173016,32.74436,20.66431,19.090298,42.733032,10.34475,15.659922,17.79172,12.81922,9.516609,9.760157,36.658375,10.141422,16.056423,9.990296,58.71227,19.001125,26.592518,
Basic - Circularity,5.4596376,4.5440164,2.4502628,15.439959,6.6267033,4.290435,3.0699677,5.241101,5.767301,11.2699,4.386,5.7795515,4.064968,4.200071,3.91059,4.0518484,2.82806,2.225855,5.3570833,3.1401103,2.7422483,2.1693149,1.7559807,5.4774303,2.8434596,2.958748,5.6537395,3.0099318,7.137638,3.6073625,7.5057945,1.7515934,9.472584,4.1508465,5.686918,4.3367963,8.649829,3.1204486,2.6543772,10.59445,4.3058605,5.0738406,1.8866718,5.8827367,3.4102836,5.475488,1.7395426,7.146924,13.057711,5.2617235,3.1055765,3.498349,2.5420582,2.1564384,1.638949,1.8862987,1.8825959,2.5564315,4.441507,6.2163157,5.300895,12.358409,3.994858,2.862819,4.5806303,9.100598,7.738176,8.233438,0.98249614,1.9716009,4.055802,4.2637014,7.248984,3.1239595,2.9464464,1.7281415,5.9393153,3.6400557,2.4038656,1.8283377,4.0942326,6.6495037,4.209629,3.5174758,4.713102,4.3999176,4.6650577,3.9707215,3.4965868,6.0244193,1.8808376,1.7739681,2.1411397,3.0576088,2.9627962,2.745358,2.7811153,6.803964,2.9561803,3.2350914,2.3277063,8.306092,8.650015,1.9950452,3.4454062,2.3380408,4.3578424,3.1099746,2.0581565,4.2441,4.7266254,7.0090556,6.0559,12.099955,2.032508,2.8313923,5.4795303,2.7435453,1.9276396,3.0563836,2.302041,4.2441,3.372918,3.9099946,2.2968214,2.5928867,1.2980995,3.8930979,7.4516335,1.5127747,2.23349,15.858189,3.142058,4.3656306,4.8489623,4.0284204,4.5032325,7.1106677,3.1640131,2.3559248,4.5991554,4.5907426,7.9442334,2.311282,4.853367,1.838437,2.938734,3.2576427,3.0113277,1.8550612,5.141949,3.1143675,2.4595351,2.811469,7.713601,3.8498921,2.2890677,3.4204473,4.2088776,1.7312918,5.6482387,1.994627,2.0099764,3.1781342,1.5590277,2.3757198,5.115295,2.501279,3.9821677,3.4149842,1.5997032,3.7182462,2.7063885,1.4788402,2.005861,4.173508,2.234212,1.4053965,5.372709,1.5504318,2.0644712,3.2857273,1.8609048,4.360223,4.5110865,2.425547,2.636818,5.1084023,2.5175693,2.4235766,4.922331,4.4017057,1.5631509,2.3838558,2.8467503,2.874929,3.80702,1.7060913,4.7839327,4.0129757,3.3861964,4.827776,4.900315,4.9913874,3.623156,6.747149,1.9289441,2.7498822,5.0456123,1.9809184,2.2684913,2.2682552,5.225503,2.2800367,3.1670966,2.6012878,8.458602,4.169707,4.371472,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,15.35252977886304,Infinity,Infinity,Infinity,Infinity,Infinity,13.925205992505793,11.673829343864737,Infinity,Infinity,Infinity,Infinity,9.18152357879452,5.569817818045737,Infinity,10.594134580438377,Infinity,Infinity,Infinity,Infinity,7.334357410419363,Infinity,Infinity,Infinity,11.401471678040698,Infinity,Infinity,Infinity,Infinity,9.365370486623926,6.5056067176234516,Infinity,7.132545613240367,Infinity,Infinity,Infinity,Infinity,11.400040043353266,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.07105324814473,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.954589770191003,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.893891929837391,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.136363876577049,Infinity,Infinity,Infinity,Infinity,6.998280912354612,Infinity,Infinity,Infinity,11.699775929156129,14.913197085032778,Infinity,Infinity,6.144373929424229,15.47746851547134,Infinity,Infinity,Infinity,Infinity,14.436075830313117,12.258146007052003,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.339230592551273,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.119216317720994,Infinity,13.442706409212128,Infinity,Infinity,Infinity,Infinity,12.981000146763746,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,9.310107064159457,Infinity,Infinity,Infinity,Infinity,Infinity,13.711551721504708,7.016026145464867,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,9.72288194385922,Infinity,15.47746851547134,Infinity,Infinity,Infinity,10.748982165338836,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
Curve - Max Dff,0.68213475,1.1116599,1.7380544,1.205596,0.6365215,0.6688129,1.5311007,1.7304792,0.48201227,1.1144037,0.9702987,0.7011461,0.8385449,0.9020486,1.4825202,1.5105977,0.40142527,1.1438254,0.7888622,0.87392324,1.1180097,2.3664021,1.8552454,1.0101607,1.3105356,0.7429673,1.41515,2.558786,0.67584753,0.53814536,0.42001334,2.9667232,0.79403585,0.33350042,0.70066124,0.51744866,0.58983266,0.5200305,0.7251928,1.3690002,1.1267419,1.2601804,0.7981103,1.8878384,1.0055343,1.3017292,2.491064,0.7428609,0.38377082,0.34836978,0.5349607,1.7333935,0.57525647,2.4177866,1.114265,0.886408,1.2536732,0.6694494,1.4550226,0.69095325,0.74682415,0.60337585,0.84549755,0.60854983,0.6898365,1.0964458,0.77661544,1.0391525,2.8441732,0.8069574,0.5988411,1.6493833,0.43597168,0.8481426,0.96365744,0.69874877,1.2963891,0.6724862,1.7513003,1.4571179,1.1458585,0.7715626,1.123715,0.884015,0.8874067,1.3498439,2.459215,1.1197176,0.83261317,0.8851642,0.42671177,0.783404,1.0711447,0.94103867,2.1045573,1.0031536,1.0887835,0.50228125,0.58553904,1.4147284,0.8348171,0.78663313,0.6648348,0.6825367,1.1924232,1.3998315,0.756116,1.2010441,0.6473434,1.278461,1.0012994,0.541393,0.7251355,0.5725598,2.1579623,2.104123,2.1551807,1.4854113,0.6958649,1.375023,0.95555156,1.278461,1.4650536,2.119011,1.1971792,1.3290143,0.69957334,0.47369808,0.53430414,0.95677924,0.86731106,1.1238428,0.78703606,0.5779328,0.935672,2.8424702,1.1295527,0.7090885,0.8593569,1.0748419,0.79991734,0.72895026,0.72233665,1.7947204,1.3663267,0.74108934,1.4960444,1.8280487,0.8851528,1.0683372,1.3932395,1.1453981,1.1356477,0.4648143,0.4394471,0.83892757,1.2740678,0.6703925,1.8708409,0.64289445,1.4876603,1.5044729,1.2175668,1.6355997,0.83274883,1.4099836,1.298822,1.5632204,0.6724291,0.8199651,0.8122663,0.9641005,1.8248675,1.103227,0.6242521,0.8369,1.1711856,1.5841044,1.5822804,1.4986582,1.0772558,0.87459016,0.9921781,1.0439348,1.2412645,0.5984014,0.6906508,0.89357924,1.325869,1.468378,0.65608156,0.6306263,1.0499449,0.55790615,1.0665843,0.6594093,1.3381807,0.9084147,2.1295474,1.5732365,1.7523257,1.522364,1.426228,0.79424953,1.1969359,1.2863433,1.1884124,1.3218713,1.0466523,1.1917667,0.82228595,1.6448786,1.9126304,1.1321759,1.2293712,0.99631715,0.7411277,1.3982874,1.0288734,
Curve - Duration 50% to 50%,5.184,10.044,2.916,5.508,4.212,6.804,13.608,16.848,4.212,5.832,5.508,7.452,1.944,10.044,2.592,6.804,0.648,9.396,8.424,2.2680001,8.748,1.296,6.156,4.212,10.044,3.888,3.24,1.296,5.184,5.184,2.592,1.296,4.5360003,2.592,4.212,0.972,4.86,1.296,11.016,11.664,4.86,5.184,3.24,13.932,2.2680001,1.296,1.62,9.72,6.48,10.368,13.284,5.508,1.62,1.296,5.184,2.592,4.86,5.508,1.944,5.508,2.916,5.508,3.5640001,1.944,8.424,6.156,4.5360003,5.508,8.748,5.184,2.2680001,8.1,1.296,6.48,3.888,5.184,8.1,3.888,1.296,1.944,9.0720005,4.86,1.944,6.804,6.48,9.0720005,3.5640001,2.2680001,3.24,6.48,5.508,4.5360003,15.552,12.636,6.156,3.888,8.748,7.1280003,1.296,4.86,1.296,10.044,4.5360003,4.5360003,6.156,1.944,2.916,2.2680001,1.944,0.972,5.832,2.2680001,6.48,14.904,1.62,3.24,5.832,4.212,0.972,3.5640001,1.944,1.944,1.62,2.2680001,1.944,11.016,1.944,4.212,3.888,1.296,9.72,14.58,2.916,3.5640001,6.48,7.452,3.5640001,8.1,6.804,14.904,5.508,2.2680001,2.2680001,6.156,3.5640001,2.916,2.916,3.24,8.748,1.944,5.184,1.944,6.156,4.86,1.62,1.944,2.2680001,0.972,1.296,3.24,3.888,1.944,2.2680001,3.888,3.888,2.592,11.34,11.664,4.5360003,1.296,5.832,7.1280003,2.916,0.972,5.184,6.48,1.944,4.5360003,10.368,1.62,2.916,1.62,2.916,2.592,5.184,11.016,3.5640001,3.5640001,2.2680001,1.296,2.916,3.24,1.296,3.5640001,1.296,1.62,3.888,2.592,3.24,2.916,4.5360003,9.0720005,6.804,1.62,0.972,1.944,1.62,2.592,9.72,1.296,2.2680001,5.184,1.944,0.972,4.212,1.62,7.452,2.916,10.044,
Curve - Duration 10% to 10%,6.48,10.044,2.916,6.156,6.156,7.776,13.608,17.172,4.212,5.832,10.368,8.424,1.944,11.664,8.748,11.34,3.888,9.396,8.424,2.592,10.368,1.62,11.988,9.396,12.96,3.888,4.212,2.592,9.0720005,5.184,2.916,2.592,6.48,3.24,6.156,1.944,10.692,1.62,11.016,11.988,5.832,5.508,6.804,18.468,4.212,5.184,1.62,12.312,9.396,10.368,16.848,5.832,3.5640001,9.0720005,6.156,2.916,6.804,6.48,6.156,7.1280003,6.156,6.804,4.86,2.592,10.044,6.48,4.5360003,8.748,14.2560005,7.1280003,2.2680001,11.34,3.5640001,7.776,4.5360003,6.48,8.424,4.86,3.24,2.916,9.396,5.508,2.2680001,7.1280003,7.1280003,9.396,4.5360003,5.184,6.48,7.1280003,6.156,5.508,18.468,23.976,11.016,4.5360003,11.988,9.396,8.424,5.832,3.888,10.692,10.044,5.832,6.804,1.944,2.916,2.916,4.5360003,5.508,13.608,4.5360003,9.0720005,17.82,1.944,6.156,8.1,8.748,8.748,5.832,3.888,3.5640001,3.24,4.86,2.916,12.312,8.748,7.1280003,7.1280003,4.5360003,10.044,20.412,10.044,4.86,6.48,7.452,7.1280003,10.044,8.1,15.552,9.396,2.592,5.508,9.72,7.1280003,11.34,5.184,6.156,8.748,4.86,6.48,3.24,6.156,8.424,6.48,3.888,8.1,5.184,4.212,3.24,3.888,3.24,4.212,3.888,11.34,2.916,13.284,11.664,8.748,1.944,8.1,7.1280003,3.24,2.592,5.508,6.804,1.944,6.804,11.988,2.916,5.508,3.24,3.24,4.212,8.424,11.34,4.86,5.508,3.888,1.62,7.1280003,5.508,7.776,3.888,3.888,1.62,5.184,3.888,7.1280003,6.156,7.776,9.396,9.396,3.24,4.5360003,11.016,3.5640001,3.24,10.692,1.944,5.184,5.184,5.832,3.888,4.5360003,6.804,8.424,9.72,10.368,
Curve - Rising Duration 10% to 90%,2.592,6.156,0.648,3.888,1.944,3.24,4.212,7.1280003,0.648,0.972,4.5360003,1.944,0.324,5.832,0.648,1.944,3.24,2.592,0.648,0.648,2.916,0.648,1.944,3.5640001,2.916,1.62,1.944,1.62,1.62,0.324,1.62,1.62,3.5640001,2.2680001,1.944,0.648,3.888,0.648,3.24,1.62,3.5640001,1.944,2.2680001,5.184,1.944,0.324,0.648,3.24,5.184,2.916,6.156,1.296,1.296,0.324,3.24,1.62,3.5640001,1.62,2.2680001,4.86,1.296,2.2680001,1.62,0.648,3.5640001,1.296,1.944,3.888,9.0720005,4.5360003,1.296,3.888,1.62,1.944,1.296,3.24,3.888,1.296,0.972,0.972,1.62,1.944,0.324,4.212,2.2680001,2.2680001,3.24,0.972,3.888,1.62,5.184,3.24,4.212,7.1280003,8.748,2.592,5.184,4.5360003,5.508,2.2680001,2.2680001,4.5360003,6.156,1.62,1.62,0.648,0.972,2.2680001,2.2680001,3.24,3.5640001,2.592,0.972,4.5360003,1.944,4.86,3.888,2.592,2.916,3.5640001,1.944,0.648,1.296,3.24,0.648,4.86,5.508,5.508,0.972,2.2680001,2.2680001,6.48,1.944,2.2680001,1.944,4.212,1.944,3.5640001,2.592,4.212,3.5640001,0.648,1.62,4.86,1.296,4.5360003,2.916,1.944,2.916,0.972,2.592,1.62,2.2680001,3.24,2.916,2.592,3.888,3.5640001,2.2680001,1.944,2.592,1.62,1.296,0.648,8.1,1.296,8.424,2.592,1.944,0.972,1.944,3.5640001,1.296,0.648,1.62,3.888,0.648,1.62,2.592,0.648,0.324,1.296,1.296,1.296,2.916,4.86,1.62,4.86,1.944,0.648,4.5360003,5.184,5.184,1.944,1.296,0.648,1.62,1.944,5.184,1.296,2.2680001,2.2680001,4.212,2.2680001,2.916,2.592,1.296,1.62,2.592,1.296,4.212,2.592,0.972,1.296,0.648,4.212,1.944,4.86,4.5360003,
Curve - Decaying Duration 90% to 10%,3.5640001,2.592,2.2680001,2.2680001,3.888,3.5640001,8.1,9.0720005,3.5640001,4.212,5.508,5.508,1.62,4.86,8.1,8.424,0.648,5.832,7.776,1.944,7.452,0.972,8.424,5.184,8.1,1.944,1.296,0.972,4.86,4.86,0.972,0.972,2.592,0.972,3.888,1.296,6.48,0.972,6.804,9.72,2.2680001,3.24,4.5360003,11.34,2.2680001,4.5360003,0.972,8.1,3.888,6.804,9.72,3.888,2.2680001,8.748,2.916,1.296,3.24,4.86,3.888,0.972,4.5360003,3.5640001,2.592,1.944,6.48,3.5640001,2.2680001,3.5640001,3.24,2.2680001,0.972,5.508,1.944,5.832,2.592,3.24,3.888,3.24,2.2680001,1.944,7.776,3.24,1.296,2.916,4.5360003,7.1280003,1.296,3.888,2.592,4.212,0.972,2.2680001,14.2560005,16.524,1.944,1.62,5.508,4.86,2.916,3.5640001,1.62,2.916,2.916,4.212,4.212,0.972,1.296,0.324,2.2680001,2.2680001,9.72,1.296,8.1,11.988,0.324,0.972,3.5640001,4.212,5.832,1.296,1.944,2.916,1.944,1.62,1.944,7.1280003,3.24,1.62,5.832,2.2680001,7.452,11.34,8.1,2.592,4.5360003,2.916,4.86,5.508,4.5360003,10.368,5.832,1.62,3.5640001,3.5640001,5.832,6.804,1.944,3.888,5.832,3.888,2.916,1.62,3.888,5.184,3.24,1.296,3.888,1.62,1.62,1.296,1.296,1.62,2.592,3.24,3.24,1.296,4.212,9.0720005,6.804,0.972,6.156,3.24,1.296,1.944,3.888,1.944,0.972,4.5360003,7.452,2.2680001,5.184,1.944,1.62,2.592,5.508,6.48,3.24,0.648,1.944,0.972,2.2680001,0.324,2.592,1.296,2.592,0.972,3.5640001,1.296,1.62,4.212,3.24,6.804,4.5360003,0.972,1.62,8.424,2.2680001,1.62,7.776,0.648,0.972,2.592,4.5360003,2.592,3.888,2.592,5.508,4.5360003,5.184,
