Index,1,9,12,13,16,25,27,28,30,32,33,34,35,38,40,41,42,46,49,51,56,57,58,59,60,61,62,63,65,69,83,85,86,87,88,90,96,101,108,109,110,111,120,121,123,124,125,127,131,132,137,140,141,142,143,144,145,147,150,151,153,154,157,159,160,162,171,173,176,179,185,186,188,189,191,192,194,195,198,199,200,202,206,207,211,214,216,218,220,221,222,230,237,238,245,246,249,253,254,256,257,259,260,262,263,265,267,268,272,274,278,284,285,289,290,292,293,295,296,297,298,299,300,301,306,308,310,311,314,315,317,320,321,324,326,327,331,332,333,334,335,337,339,340,342,343,346,347,351,352,353,354,355,359,362,365,367,373,374,377,379,381,382,385,391,392,393,394,397,398,402,403,406,413,414,415,424,428,434,435,439,440,441,443,444,445,446,449,450,451,454,455,464,467,475,478,479,480,485,489,490,494,496,499,506,511,515,518,522,525,526,535,537,539,541,
Basic - Area,79.79639,12.460449,11.924072,53.225098,10.026123,12.542969,4.8273926,3.342041,3.2595215,127.616455,27.850342,11.1813965,9.324707,5.611328,13.863281,18.690674,12.089111,8.375732,4.1672363,79.09497,3.1357422,3.0944824,140.9021,70.80176,3.177002,3.50708,147.6687,81.5293,18.030518,3.0944824,142.80005,3.713379,8.582031,13.533203,11.1813965,3.0944824,22.89917,4.6210938,161.28442,8.582031,3.011963,5.5700684,4.951172,47.65503,14.564697,39.485596,11.016357,17.782959,7.5092773,11.676514,5.32251,3.2182617,9.2421875,3.011963,3.3007812,19.26831,4.0021973,28.345459,19.680908,19.639648,7.01416,4.4973145,43.157715,5.7351074,3.1357422,60.858154,8.664551,3.878418,33.21411,6.4365234,13.203125,9.737305,11.1813965,12.212891,11.924072,8.82959,4.043457,9.489746,8.623291,7.591797,5.9414062,5.8588867,3.50708,7.426758,14.317139,3.6308594,7.6330566,3.50708,7.220459,6.312744,44.601807,3.342041,24.920898,5.4050293,9.819824,3.713379,4.084717,12.460449,8.169434,18.608154,3.011963,13.698242,7.6743164,6.3952637,3.177002,27.355225,5.1574707,17.411621,10.975098,4.744873,5.7351074,4.1672363,21.826416,3.2182617,6.312744,12.5842285,14.11084,104.26343,10.026123,10.149902,3.7546387,4.8273926,230.43579,31.439941,8.169434,172.34204,19.43335,6.354004,3.9196777,14.812256,5.487549,15.596191,12.089111,3.9196777,4.9924316,3.0532227,18.731934,19.845947,5.982666,11.098877,9.654785,4.373535,12.419189,8.582031,3.0532227,14.729736,6.312744,4.8686523,5.817627,7.426758,8.086914,25.374756,5.28125,35.44214,3.0944824,4.8273926,4.1259766,3.2595215,3.4245605,18.690674,4.9924316,5.6938477,3.2182617,10.067383,6.2714844,5.116211,14.936035,3.3007812,5.28125,26.24121,7.550537,8.334473,3.3007812,8.375732,4.3322754,6.5603027,28.26294,13.904541,5.074951,11.800293,4.3322754,4.2910156,4.6623535,19.43335,8.664551,6.9729004,7.2617188,8.458252,7.220459,16.751465,16.875244,3.5483398,4.1672363,5.0336914,8.375732,3.0532227,3.50708,41.589844,5.3637695,5.5700684,6.519043,4.208496,3.878418,4.8686523,38.165283,3.5895996,4.4560547,4.414795,29.253174,16.957764,8.045654,4.084717,31.81128,12.790527,13.987061,
Basic - Perimeter,96.561966,34.807297,39.06581,51.029877,26.265076,18.712282,13.314844,10.255782,10.848704,72.79106,53.924202,25.341063,17.060875,14.324376,24.690859,47.903984,19.938545,21.35453,10.668938,106.634125,9.399,7.0941405,121.44072,79.40319,6.3498907,14.399939,125.69234,84.243256,34.69456,9.909657,158.96988,13.200486,16.062922,24.027454,20.553406,9.395546,39.106236,14.484032,106.01967,23.328703,12.039625,15.804344,14.131203,85.66918,26.29697,59.953564,20.304783,35.279358,14.932531,20.1435,14.497437,9.262906,29.477097,7.665328,7.665328,30.377344,8.42461,52.199265,29.659908,36.638268,13.224048,14.473876,56.18722,15.711922,9.16886,85.14513,23.840982,9.420938,46.600124,17.319656,28.003624,20.096579,19.985468,27.471233,25.840141,13.699562,11.132671,17.996672,17.756374,19.594252,15.501891,10.228766,9.152,19.810783,33.238358,12.443032,13.089782,9.951704,17.08789,14.193361,59.551983,9.076439,43.371246,15.337358,19.276564,12.842782,9.802203,29.858358,15.144189,30.419392,9.906202,24.922829,20.561735,17.867283,7.1461406,57.08097,12.31872,42.09136,24.37683,10.0087805,14.02375,8.978937,45.82561,9.778641,17.220533,23.99211,28.833794,118.0408,17.803501,23.973625,13.408891,14.915672,176.56337,73.06346,20.398827,169.18161,31.756561,12.066641,8.846297,27.543344,16.746843,28.443794,27.434263,12.216141,11.77089,8.313704,22.513968,29.308908,14.405014,23.910046,18.794546,12.321969,29.315813,22.831251,9.835719,19.67672,16.244516,17.93289,13.050984,19.009655,18.767735,37.950455,11.797704,37.485096,9.891172,12.763767,11.382921,12.046532,9.587093,31.61702,12.859439,11.739,7.9174066,16.000969,11.851531,14.956095,34.133736,7.797969,18.226814,30.709862,16.649345,17.558126,9.869234,20.476015,10.81011,14.915672,37.557205,27.624186,10.294375,15.74889,10.139796,17.887392,10.726016,29.139297,16.091564,15.048314,18.139467,17.596922,22.31572,33.752266,43.65522,9.094923,15.580907,16.357048,20.01411,8.809329,9.096547,50.11947,12.40261,10.331344,14.233782,9.07136,10.941126,11.52572,51.78774,8.995797,11.723969,9.76361,35.87086,28.559782,13.397111,14.746062,63.595192,18.36453,22.542406,
Basic - Circularity,9.298633,7.737435,10.1849575,3.8933434,5.475382,2.2214847,2.9224677,2.5044706,2.8733733,3.3039963,8.308585,4.5702896,2.484034,2.9098854,3.4994233,9.770312,2.6168733,4.3325877,2.1736238,11.440202,2.2418838,1.2942008,8.329163,7.0863404,1.0099623,4.705066,8.513719,6.927025,5.3125706,2.525337,14.082879,3.7342272,2.3924844,3.3947284,3.006503,2.270106,5.3145,3.6126366,5.5458813,5.046395,3.829715,3.5684743,3.2095222,12.255488,3.7783318,7.24405,2.9781654,5.569644,2.3629737,2.765329,3.1423612,2.121599,7.481433,1.5523943,1.4165597,3.8110628,1.4112087,7.6495414,3.5570061,5.4390907,1.9840074,3.7068634,5.8211236,3.4253676,2.1334403,9.47962,5.220263,1.821058,5.202854,3.7086625,4.726524,3.3006208,2.8426456,4.9173145,4.456104,1.6914648,2.4391363,2.7159386,2.909549,4.0244164,3.2186239,1.4210899,1.9005377,4.2052727,6.140631,3.3933852,1.7863085,2.2471879,3.21812,2.5394664,6.327471,1.9615949,6.0066214,3.4633248,3.011242,3.5345905,1.8718697,5.6936173,2.2340362,3.957199,2.5927157,3.608444,4.383994,3.972361,1.2791332,9.478346,2.341448,8.097236,4.3086,1.680072,2.7288327,1.5395433,7.656393,2.3644264,3.7382226,3.639992,4.688575,10.634631,2.5157528,4.506047,3.810726,3.6674414,10.765678,13.511666,4.053298,13.216158,4.1296134,1.8235406,1.5887766,4.0757008,4.0670323,4.128066,4.954301,3.0297573,2.208496,1.8014439,2.1533349,3.4444318,2.7600868,4.098943,2.9114625,2.7625983,5.5068183,4.833475,2.5214124,2.0917056,3.3264847,5.2563214,2.3298652,3.8720355,3.4660194,4.5167103,2.0972412,3.1549137,2.5159247,2.6855626,2.4990263,3.5429118,2.1357932,4.256053,2.6358583,1.9259566,1.5500106,2.0237932,1.7822503,3.4791896,6.207582,1.4660082,5.005817,2.8599732,2.921505,2.9435294,2.3482282,3.9834394,2.146517,2.6986833,3.9715438,4.3672943,1.6617217,1.6726198,1.8885676,5.9336796,1.9636397,3.4769673,2.3781576,2.584356,3.6057847,2.9132848,5.488417,5.4118185,8.986952,1.8550816,4.63583,4.2297373,3.8057473,2.022634,1.8775764,4.806354,2.2821605,1.5249065,2.4731297,1.5559943,2.4561765,2.1712883,5.5921082,1.7940042,2.4546466,1.7183057,3.5002635,3.8276422,1.7752154,4.2362375,10.117135,2.09827,2.8911073,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.282676757749416,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.459598323564851,Infinity,Infinity,Infinity,Infinity,13.37824841998521,Infinity,Infinity,Infinity,11.207932222715375,Infinity,Infinity,Infinity,Infinity,14.556649761518965,11.992978862099722,Infinity,Infinity,Infinity,Infinity,Infinity,10.857565118571355,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.954589770191003,10.456312306765387,Infinity,10.983109813897457,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.85518539784546,8.872729642386409,Infinity,Infinity,10.700542253881968,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.39798595430225,Infinity,Infinity,13.618130036342475,Infinity,4.987170512770788,Infinity,3.5018538561915933,7.212543353167145,10.40845938858481,Infinity,Infinity,11.786534466731863,Infinity,Infinity,12.896163745733999,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.1248489627995735,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.172748263026058,Infinity,12.58667503139725,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.835333880913067,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.460435176172561,Infinity,11.036832264413464,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.870371083451765,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,7.720913097660858,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.117001331955493,Infinity,Infinity,Infinity,Infinity,Infinity,15.954589770191003,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,14.59286193417341,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.91189615201236,Infinity,9.94017886892638,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.84771922571235,Infinity,Infinity,Infinity,Infinity,14.222196010368036,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
Curve - Max Dff,0.3929266,0.33490184,0.6614293,1.1237104,0.33866763,3.374094,1.0309607,2.228589,0.30235422,0.75585896,0.54411113,0.6035745,0.41188627,2.4967554,0.7900462,0.48087206,0.45377555,1.1633868,0.9035816,0.49915317,0.6670817,2.1792243,0.45568576,0.7459509,2.3852623,1.7377315,1.07409,0.61334234,1.0890242,0.5791521,0.40058544,1.0138663,1.6515124,1.6658882,0.41172397,0.49934474,0.62257564,1.3713909,0.71403617,0.6933592,0.46289718,0.42595768,2.5844777,0.69061875,1.5475433,2.5357049,0.73373455,1.3480351,0.70733345,1.6183169,2.1451404,0.797543,1.1310301,1.8315634,0.61143273,1.1075467,1.3311169,0.9702418,0.8247912,1.7827377,0.91995347,2.3712826,1.0044458,0.63686526,0.6607987,0.7874677,1.3288307,0.83949655,1.4022884,0.76263314,0.82795364,1.0813352,1.2384647,1.3191497,0.55462205,1.0010861,1.3285614,2.268942,1.8380053,0.85086906,2.6018012,1.258465,1.6481146,0.37701863,0.58258075,0.61519897,1.3573501,1.2475005,0.55595356,1.2931758,2.1625986,1.1743977,1.0911491,0.8435429,1.1337231,1.6024382,1.2014788,0.7786533,1.8693358,1.1009201,0.56368524,1.2331994,0.7950602,2.061056,1.9692862,0.7461824,1.3194114,0.7389631,0.82065934,1.1725761,1.2760769,0.8455417,0.40777487,0.7203196,0.6874285,1.2952147,1.1272857,0.4971878,1.0408356,0.99752903,0.84125555,0.7854778,0.53562915,0.85277003,0.9719369,0.8399403,1.2964877,1.1983457,1.1492599,0.80311614,0.6145692,0.6058972,1.0016314,1.2462568,1.4778383,1.8249732,1.4168948,0.5094482,0.3232202,1.4354848,0.7010836,1.0794393,0.9049507,1.1663668,1.0919949,1.0846837,0.82766193,0.77675354,0.84785587,0.45119774,1.1938471,1.1401064,1.2948402,0.59224856,1.1424632,0.70830095,0.5940913,0.6087047,0.64559627,0.7725291,1.3506951,1.2318561,0.7039755,0.8267213,0.7976423,1.045879,0.6211725,0.84004706,0.7091749,1.5631886,0.8352081,0.7779666,0.84175146,1.5410644,0.76491255,0.7483602,1.1712601,0.46718267,1.0854244,1.4162325,0.59315103,0.7421875,1.0886003,0.90035105,0.97318625,0.7782805,0.98972034,1.0544996,0.70612484,0.79262775,0.7223581,1.0946006,0.6661692,0.6817386,0.9985477,1.1347195,0.8436992,0.89395183,0.9108199,1.0648037,0.764295,1.47354,0.992424,1.1475211,0.7762957,1.0321903,0.91963553,0.6425258,0.9423045,0.8082353,0.932612,0.73159045,0.9408782,1.3855497,0.72718483,
Curve - Duration 50% to 50%,5.508,8.748,7.776,6.48,0.972,1.62,12.96,24.624,3.888,3.24,2.592,3.24,2.2680001,5.832,1.944,12.96,5.832,5.184,4.5360003,3.888,4.5360003,6.48,7.1280003,6.804,7.776,2.592,14.2560005,3.5640001,6.156,7.1280003,3.888,18.792,4.212,3.5640001,2.592,2.2680001,4.86,6.804,9.72,4.86,1.62,2.916,5.508,4.212,2.592,9.0720005,1.944,2.592,1.944,1.62,3.5640001,6.804,7.776,1.944,1.62,3.24,6.156,4.5360003,5.184,1.944,1.62,1.62,5.832,2.592,5.832,5.832,1.62,6.804,5.508,16.2,7.452,1.62,5.184,9.396,9.72,1.296,2.916,6.156,8.1,1.944,2.592,3.5640001,0.972,3.24,6.804,1.944,2.592,2.916,3.5640001,4.86,6.48,3.888,2.916,2.916,9.0720005,8.748,5.508,2.2680001,5.508,1.296,4.5360003,2.592,4.5360003,7.776,2.2680001,11.016,1.296,5.832,5.508,3.5640001,2.2680001,1.944,2.2680001,4.212,10.368,2.2680001,4.5360003,5.832,2.2680001,3.888,5.508,8.1,10.368,7.776,3.24,7.776,4.86,10.692,3.24,2.2680001,1.296,4.212,4.212,2.2680001,1.296,4.86,3.24,11.664,0.648,3.24,5.508,2.592,8.424,5.508,2.2680001,2.916,2.592,8.424,2.592,2.592,4.5360003,7.1280003,4.212,2.2680001,3.888,0.972,3.24,0.972,1.62,7.1280003,8.424,1.62,1.944,1.296,2.916,10.044,3.888,1.62,8.424,4.86,3.5640001,1.944,1.62,1.62,1.296,1.62,6.156,2.916,2.592,2.592,3.888,1.944,6.48,2.916,3.5640001,2.592,2.592,0.972,2.916,3.5640001,10.692,2.2680001,2.2680001,2.592,2.2680001,2.2680001,1.944,5.508,0.972,1.944,0.648,1.944,5.184,1.62,7.452,1.62,0.972,3.888,4.5360003,1.62,1.62,5.184,6.804,2.592,1.944,
Curve - Duration 10% to 10%,10.368,10.368,7.776,8.424,1.944,1.62,19.44,24.948,8.424,7.452,3.888,6.804,4.212,5.832,3.5640001,14.904,6.48,5.508,7.1280003,8.1,4.5360003,8.748,12.312,11.664,9.0720005,2.592,19.116,12.636,6.156,17.172,6.156,21.384,4.212,3.5640001,4.5360003,8.1,6.48,7.1280003,13.608,10.368,2.916,6.156,7.1280003,7.776,2.916,9.0720005,2.592,2.916,2.916,2.592,4.212,7.1280003,7.776,3.24,4.212,3.888,10.692,5.184,5.184,3.888,2.2680001,2.2680001,6.804,3.888,6.48,6.804,2.592,6.804,6.156,16.2,11.016,5.508,6.804,10.368,10.044,1.944,10.692,7.1280003,11.664,4.5360003,3.24,7.1280003,4.5360003,4.5360003,7.776,5.832,4.5360003,5.832,4.5360003,7.1280003,16.524,6.48,7.452,4.5360003,10.692,10.368,6.804,2.916,10.044,4.5360003,20.412,3.24,6.48,7.776,2.2680001,12.96,1.944,8.424,6.48,4.5360003,2.592,4.5360003,5.832,5.184,12.96,2.592,4.86,9.0720005,2.916,5.832,5.508,11.34,11.988,10.692,5.832,9.396,5.508,10.692,4.212,5.508,3.5640001,8.1,4.212,7.1280003,3.5640001,7.1280003,4.212,12.636,0.648,6.48,8.424,3.24,8.748,7.776,6.804,4.5360003,3.5640001,12.636,3.888,3.5640001,7.452,8.748,12.312,4.212,8.424,1.944,4.86,6.48,8.1,8.424,12.636,2.592,4.86,4.86,3.888,11.988,5.508,5.184,9.0720005,5.832,4.212,5.508,2.592,2.2680001,1.62,3.888,11.988,3.888,2.916,2.592,6.156,9.0720005,6.804,6.48,5.184,2.592,4.212,2.916,4.5360003,4.5360003,10.692,3.888,13.932,2.592,4.5360003,8.1,6.156,5.832,6.48,2.592,1.944,3.888,5.184,5.508,8.424,1.62,2.2680001,7.452,5.508,2.2680001,4.212,15.876,9.0720005,2.916,3.5640001,
Curve - Rising Duration 10% to 90%,2.916,4.212,4.212,3.24,0.972,0.648,3.5640001,20.088,3.5640001,3.888,1.62,2.592,2.2680001,2.592,1.62,2.592,4.5360003,0.972,3.5640001,3.5640001,0.972,7.1280003,3.5640001,3.888,5.832,0.324,6.48,2.592,3.888,7.776,2.592,11.016,1.296,1.944,0.972,3.24,2.592,1.62,3.5640001,5.832,1.944,3.24,3.5640001,1.944,1.296,3.5640001,0.648,0.972,0.972,0.972,1.62,4.86,4.86,1.944,1.944,1.944,0.648,2.592,2.2680001,0.972,0.648,1.296,2.592,1.296,1.296,3.5640001,0.972,2.916,1.62,3.888,2.2680001,0.972,2.592,5.508,3.24,0.648,9.396,3.888,0.324,0.648,1.62,2.916,4.212,2.2680001,3.24,0.972,1.944,1.62,0.972,2.2680001,4.212,5.184,1.296,1.62,1.62,3.888,3.24,1.296,3.888,1.296,7.1280003,1.296,4.5360003,4.86,0.648,4.86,0.648,5.184,1.62,1.62,0.972,0.648,1.944,2.916,0.972,0.972,1.62,2.916,0.972,1.944,2.916,2.2680001,2.916,3.5640001,1.944,3.24,3.5640001,4.212,1.296,0.972,1.944,3.5640001,1.944,5.508,0.648,4.212,1.944,3.24,0.324,1.944,4.5360003,1.296,2.592,1.296,3.888,1.296,1.944,4.5360003,0.972,1.296,5.184,2.592,2.916,1.944,2.592,0.972,3.5640001,2.916,2.592,3.24,5.508,1.296,3.5640001,2.592,0.648,4.5360003,3.24,0.972,6.156,1.62,1.62,1.944,0.648,0.972,0.324,2.2680001,5.184,2.2680001,0.972,1.296,2.916,6.156,1.944,1.62,2.592,0.972,1.62,1.296,1.62,1.296,7.776,1.296,1.296,0.648,2.2680001,5.508,1.944,1.62,0.648,1.62,0.648,2.916,0.972,1.944,3.888,0.648,0.972,3.24,2.592,0.972,1.296,1.944,1.944,1.296,1.296,
Curve - Decaying Duration 90% to 10%,6.804,6.156,3.5640001,3.5640001,0.972,0.648,15.876,3.5640001,4.86,3.24,2.2680001,4.212,1.944,1.944,1.944,11.988,1.944,3.888,3.5640001,3.888,3.5640001,1.62,7.452,5.508,2.2680001,2.2680001,10.368,9.72,1.296,9.396,2.592,10.368,2.2680001,1.296,2.916,4.86,3.5640001,5.508,9.396,4.5360003,0.972,2.916,2.916,5.184,1.62,4.212,1.944,1.62,1.944,1.62,2.2680001,2.2680001,2.916,1.296,2.2680001,1.62,10.044,2.2680001,2.2680001,2.916,1.62,0.972,2.2680001,2.2680001,4.86,1.944,1.62,3.5640001,2.916,12.312,7.776,4.5360003,4.212,4.86,6.48,0.972,0.324,2.916,10.692,3.888,0.972,4.212,0.324,2.2680001,2.592,4.5360003,2.592,4.212,3.5640001,4.86,10.692,1.296,5.832,2.916,9.0720005,6.48,2.916,1.296,6.156,2.916,13.284,1.944,1.944,2.2680001,1.62,7.776,1.296,3.24,4.86,2.916,1.62,3.5640001,3.5640001,2.2680001,11.664,1.296,2.916,4.5360003,1.62,2.592,2.592,8.424,5.832,5.184,3.24,5.184,1.62,6.48,2.916,3.888,1.62,4.5360003,1.944,1.62,2.916,2.916,1.944,8.424,0.324,4.212,3.5640001,1.944,6.156,4.86,2.2680001,2.916,1.296,8.1,2.916,1.296,2.2680001,5.508,9.0720005,2.2680001,5.832,0.972,1.296,3.5640001,5.508,4.5360003,2.916,0.972,1.296,1.944,3.24,7.452,2.2680001,4.212,2.2680001,3.5640001,2.2680001,3.5640001,1.944,0.972,1.296,1.62,5.832,1.62,1.944,0.972,2.2680001,2.916,3.888,4.5360003,2.592,1.62,2.592,1.62,2.592,2.592,2.592,2.592,12.636,1.944,2.2680001,2.592,4.212,2.2680001,5.832,0.972,1.296,0.972,3.5640001,3.5640001,3.24,0.972,1.296,3.5640001,2.2680001,1.296,2.916,13.932,6.804,1.296,2.2680001,
