Index,1,3,4,6,11,14,15,16,19,20,22,25,31,36,37,41,45,48,50,51,52,53,55,59,63,64,65,67,69,74,75,76,78,80,85,86,87,90,94,95,96,98,101,103,104,106,110,115,121,126,127,131,137,140,142,143,147,148,154,155,160,162,164,167,174,185,189,194,196,201,203,204,207,208,209,210,217,218,227,229,235,238,244,254,259,270,272,273,275,280,281,285,286,287,288,289,295,298,300,303,306,308,309,311,319,321,323,326,339,346,348,357,367,370,373,374,378,379,382,387,388,420,424,426,427,429,430,439,441,444,445,451,453,458,460,467,470,485,486,487,488,496,497,498,501,507,514,519,523,526,527,530,546,547,548,550,553,561,568,569,582,585,591,592,594,603,605,607,608,612,613,620,634,638,642,643,644,649,653,656,659,663,671,672,677,686,693,700,709,723,724,725,730,731,745,748,752,761,765,766,768,772,777,793,794,796,798,809,816,823,824,846,850,851,852,854,871,
Basic - Area,36.09908,21.923185,11.167638,6.1813498,12.197864,24.313309,52.871147,10.178622,4.326945,12.8984165,7.3352017,4.450572,6.5934396,6.4698124,6.1401405,4.5741987,9.02477,46.318913,3.6676009,7.252784,3.2555106,3.8324368,3.5027647,14.423149,6.6346483,3.379138,6.304977,19.038557,3.2143018,16.359972,6.1813498,10.26104,6.511021,43.10461,3.7912276,3.1318839,3.2143018,84.7257,31.112795,8.736307,7.2115746,13.392924,25.137487,16.112719,18.832512,15.535792,14.711613,97.66532,14.340731,16.895689,4.4917808,9.766533,11.373684,4.986289,12.980835,6.3461857,5.7280507,9.272024,3.5027647,14.876448,22.500113,3.1730928,20.97538,57.939854,46.648586,3.3379288,3.1730928,4.2033176,8.4478445,5.2747517,4.2445264,12.033027,249.6853,26.456175,13.269297,6.0165133,3.8736455,12.980835,3.1318839,3.8324368,4.8214526,15.2061205,16.566017,71.08552,6.8406935,40.632072,9.189606,8.9835615,5.068707,5.068707,36.59359,4.1208997,8.942352,11.414892,31.689718,14.587985,15.7418375,11.044011,7.8297095,4.697826,10.714339,19.32702,3.7500188,4.4917808,11.2912655,39.684265,6.6758575,7.2115746,6.9643207,5.7280507,3.7500188,9.06598,3.1318839,10.508294,4.326945,26.538593,5.8928866,3.4203467,6.4698124,7.788501,9.148397,3.7912276,7.087948,13.887432,5.2747517,60.61844,4.079691,5.2747517,36.799633,13.14567,9.89016,16.0303,3.5851827,11.579728,5.563215,34.697975,19.533066,78.09105,14.711613,29.752895,4.8626614,12.73358,8.406635,3.2555106,4.2445264,11.456101,14.876448,6.923112,6.8406935,7.087948,25.631996,3.379138,52.25301,3.379138,3.2143018,12.568744,6.4698124,14.711613,3.543974,3.5027647,90.82463,5.233543,4.615408,12.774789,8.159382,85.96197,5.3159604,6.6758575,8.324218,15.824255,3.2967198,5.8104687,4.4917808,20.934172,73.228386,5.9340954,83.8191,51.79971,16.359972,3.461556,10.013786,4.326945,3.1730928,12.609954,23.942427,6.0577226,7.1703653,15.659419,7.417619,12.033027,116.99234,49.28596,6.6346483,15.041285,16.359972,88.43451,3.379138,3.0082567,7.8297095,16.524809,3.626392,19.903946,5.4807963,3.0082567,32.47269,9.766533,6.8406935,3.8736455,5.151125,28.310581,5.8516774,7.046738,22.294067,7.2115746,12.857207,10.137414,11.332474,
Basic - Perimeter,66.34161,52.18541,32.25751,12.352956,26.959007,37.0138,121.49876,25.896301,12.415073,32.230713,17.416588,14.904869,20.554157,16.94644,19.733225,13.828766,19.028002,68.794266,13.427436,20.550705,11.278477,13.004382,12.208623,31.78574,21.428883,10.72449,27.390587,45.555634,10.128483,38.157303,13.182414,26.50571,20.132727,48.153023,14.461517,9.028831,14.51856,113.982254,72.9245,26.683739,18.853624,43.405254,50.777004,36.52518,33.25485,40.047432,40.903687,85.52573,36.61592,30.004412,15.705705,19.335344,29.41348,13.788368,21.9443,14.297089,15.1214695,17.41131,10.972962,35.895473,59.555737,13.86226,42.88943,78.590836,98.169174,10.098437,12.564482,16.310036,16.503088,13.744723,15.628361,20.21332,268.88223,38.939255,31.89678,19.42426,13.019405,33.676075,9.43341,10.128483,11.17779,31.062248,31.13614,165.14943,13.561822,73.84287,18.405195,14.736988,14.490141,15.042503,69.602,12.222021,23.634886,20.664995,61.30498,35.883904,24.41562,33.274742,23.252026,10.81848,23.631433,46.097847,8.803907,10.952865,35.84533,70.632835,16.976484,19.64776,14.300537,14.451569,10.3249855,20.127655,8.780359,31.508644,10.648973,55.74299,14.901417,10.35848,17.43486,15.638309,26.789501,13.4107895,18.401949,33.567066,15.621662,83.97968,13.079898,13.308273,62.109066,26.75763,30.66254,42.3054,10.403954,37.13804,19.170914,38.06453,43.902,105.485695,46.49248,44.022984,14.05369,22.343803,17.982145,10.944338,12.433547,23.337894,33.637505,20.27219,17.166288,19.39929,56.572445,12.777835,103.5231,11.693206,13.9276285,29.079544,13.956249,34.906662,10.403749,13.313351,168.81075,13.776596,10.81848,22.041534,20.445145,109.011406,12.624977,22.08031,19.415936,41.388653,8.003073,12.035667,13.486305,50.828968,87.035034,18.70909,177.56938,55.041218,35.831734,9.109422,29.663578,9.849764,8.2566185,25.412758,35.690647,13.004382,14.606051,29.991016,20.055588,26.186594,213.15932,101.80065,18.615099,26.452118,34.591,127.19331,10.551534,8.231446,13.769896,33.96474,9.107799,46.638435,18.959389,11.844237,58.160515,23.809464,15.475705,11.276854,10.625425,40.059208,12.663547,14.621074,42.281853,21.297947,26.927137,28.44984,27.919403,
Basic - Circularity,9.702107,9.885181,7.4146476,1.9644845,4.7414827,4.484081,22.218517,5.242961,2.8347018,6.4090486,3.2908206,3.9721956,5.0989113,3.5322824,5.0467057,3.326917,3.1925695,8.130856,3.9119585,4.6338167,3.1093667,3.5115154,3.3861995,5.574356,5.507713,2.708554,9.469113,8.674417,2.5397577,7.0821137,2.2371583,5.4485087,4.9538884,4.2806873,4.389732,2.0713215,5.218559,12.2025175,13.6018505,6.485681,3.9223804,11.194362,8.162109,6.588796,4.6729574,8.214972,9.050129,5.9599595,7.439758,4.2401814,4.3700504,3.0461657,6.0531554,3.0341597,2.9520993,2.5631413,3.176664,2.6018274,2.7354386,6.8923965,12.544479,4.8192053,6.9788017,8.483139,16.440004,2.431204,3.9591002,5.0362554,2.5655155,2.8501003,4.5791807,2.7020326,23.042065,4.560772,6.1014905,4.9903865,3.4821906,6.952331,2.261111,2.1301193,2.0621684,5.0493736,4.6569505,30.532557,2.139568,10.679191,2.9334192,1.9237962,3.296387,3.5524926,10.534854,2.8845901,4.971019,2.9770691,9.437637,7.0241566,3.0134935,7.977976,5.4949794,1.9825569,4.1476765,8.749566,1.6447793,2.125333,9.055505,10.004263,3.43541,4.25977,2.3367705,2.9014378,2.262224,3.556,1.9588856,7.5182605,2.0855675,9.317357,2.9985905,2.4963882,3.7388272,2.4987097,6.2427273,3.7750175,3.8018699,6.456467,3.6816509,9.258355,3.3371181,2.6719697,8.34174,4.3341374,7.5648985,8.884645,2.4025679,9.478284,5.2571445,3.322974,7.8521457,11.339032,11.692175,5.183461,3.2321897,3.1199944,3.0609126,2.927858,2.898351,3.7833507,6.052551,4.723785,3.4280157,4.225142,9.936137,3.8450215,16.321247,3.219967,4.8023944,5.3539395,2.395719,6.590927,2.4304092,4.026743,24.968168,2.8858795,2.0179596,3.0263565,4.076742,11.000886,2.3859954,5.8115697,3.603822,8.614488,1.5460432,1.9838979,3.2222376,9.821028,8.231877,4.6939764,29.935278,4.654134,6.245155,1.9076575,6.9926033,1.7842693,1.7096679,4.075494,4.2338047,2.221571,2.3676338,4.570849,4.315155,4.5349584,30.905897,16.732777,4.156262,3.7019122,5.820145,14.557839,2.6218956,1.7923695,1.9271069,5.5553355,1.820297,8.696387,5.2190943,3.7109873,8.2895,4.6190104,2.7860627,2.612439,1.7441374,4.510722,2.1808233,2.4141295,6.3812957,5.005362,4.4877005,6.3536406,5.473658,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.819670341333103,5.170318167576158,15.47746851547134,Infinity,6.352159431507555,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,14.750469787535078,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.953288837170586,Infinity,Infinity,Infinity,5.488726630552602,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.726266420882988,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,14.169259935180236,Infinity,8.674984233884253,10.167804996645277,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.870433947398263,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.759820559760225,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.903672795728147,Infinity,Infinity,4.7338132532071935,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.790863315162907,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
Curve - Max Dff,1.0008024,0.802369,0.81900275,1.3991811,0.6988406,0.51875925,0.50731087,0.6841109,1.0230774,0.67313135,0.5080493,1.583852,0.7167271,0.47937092,0.41445723,0.7260029,0.80519944,0.52352136,1.2328084,0.7451215,0.62932056,0.4526556,0.612652,0.6092822,0.35483435,0.9953478,0.87237024,0.5992134,1.0328189,0.6537113,0.75992817,0.78585947,0.6372311,0.8441048,0.42027783,0.8233092,1.0743953,0.5522676,0.80698067,0.58854645,0.71313417,0.7062871,0.74138343,0.60114336,0.6048787,0.36335868,0.3861546,0.4984295,0.46038216,0.41462332,0.685254,0.61123943,0.33092818,0.7102277,0.50279146,0.48865822,0.87052864,0.44552073,0.64559317,0.3953473,0.6819515,1.07155,0.44355062,0.6549755,0.69648516,0.73540676,0.7667179,0.66548866,0.39562485,0.5592369,0.42567438,0.44349778,0.5930642,0.4660247,0.56617445,0.6423577,0.44998413,0.60851324,0.45474294,0.5057798,0.54701495,0.53371495,0.35296416,0.940382,0.39772934,0.6029115,0.45933014,0.47451735,0.46895263,0.84326375,0.7295866,0.60438055,0.46395522,0.40823153,0.38997892,0.47000563,0.4077269,0.3251889,0.48179987,0.40643558,0.44975603,0.37503588,0.43707192,0.5220856,0.64696246,0.504611,0.43089616,0.6592267,0.5271324,0.37511232,0.43719256,0.43692446,0.4500232,1.2140819,0.43324882,0.6049005,0.43093705,0.75184035,0.38013372,0.550943,0.4148556,1.3927264,0.7645091,0.54998153,0.5006167,0.37775454,0.5836659,0.5946608,0.5387661,0.62869906,0.5351767,0.4447258,1.1730187,0.36777732,0.34167528,0.77585703,0.5785574,0.40943244,0.6444287,0.4743127,0.4799077,0.36049822,0.35454142,0.61849016,0.49724808,0.3872736,0.38809347,0.35245878,0.32940716,0.48401982,0.5116115,0.3411962,0.63352877,1.0093436,0.31487423,0.7293758,0.36271122,0.6231169,0.3849966,0.44161743,0.60905796,0.37907165,0.39681154,0.3568257,0.40580264,0.93563724,0.38362786,0.5357285,0.30271158,0.42817622,0.36928174,0.36424896,0.49096233,0.42573008,0.640109,0.35091957,0.516732,0.6318891,0.31535304,0.4970661,0.31896704,0.43379062,0.38367307,0.55022794,0.45539108,0.40363416,0.457849,0.67430925,0.41988578,0.55367863,0.7839552,0.44198382,0.3189555,0.47872952,0.3739922,0.6301128,0.50532484,0.3642183,0.43854094,0.35344777,0.5286063,0.49946538,0.43089622,0.6799282,0.3563382,0.48237646,0.3090645,0.46576157,0.39062533,0.48500633,0.3662398,0.43648645,0.4795287,0.3975314,0.3670384,0.44343263,0.29865038,
Curve - Duration 50% to 50%,2.916,7.776,3.5640001,5.508,7.776,3.888,2.916,3.24,3.5640001,2.592,1.944,5.508,2.2680001,3.5640001,1.296,3.888,4.86,4.5360003,2.592,3.888,3.24,1.296,2.592,3.5640001,4.86,1.296,2.916,4.5360003,2.916,4.5360003,3.5640001,3.24,2.916,6.156,0.648,5.184,1.944,5.184,4.86,3.24,2.2680001,8.424,10.044,6.156,1.944,1.944,7.452,3.24,2.592,1.944,2.2680001,1.944,1.62,5.184,1.296,0.972,1.296,1.296,3.5640001,1.62,1.944,3.5640001,3.888,5.508,11.016,8.424,2.916,2.916,0.648,1.62,1.944,4.212,3.888,2.2680001,5.184,5.184,2.2680001,5.184,6.804,6.804,1.296,1.62,3.5640001,5.184,1.296,3.888,1.62,0.972,4.212,5.184,7.452,1.944,4.86,2.592,6.804,0.972,1.296,0.972,1.944,2.916,2.2680001,6.156,0.648,1.296,4.5360003,4.86,0.972,3.5640001,1.296,0.648,2.916,1.62,0.648,8.1,3.5640001,1.944,3.888,1.296,0.972,1.296,1.62,3.888,2.2680001,4.86,1.62,5.184,1.296,1.62,1.62,1.62,3.5640001,2.592,5.184,5.832,1.944,2.592,2.916,6.804,7.452,2.592,1.296,1.62,1.944,1.944,0.972,2.592,1.62,1.296,2.2680001,2.916,5.832,6.156,3.24,8.424,0.648,5.184,1.296,8.748,0.648,2.592,7.776,0.972,0.648,3.24,1.296,4.212,0.972,2.916,1.296,5.508,0.648,1.62,1.62,2.2680001,8.1,3.888,20.412,2.916,2.592,0.648,3.5640001,1.944,0.648,2.2680001,2.2680001,2.592,1.944,1.944,1.944,2.2680001,19.44,10.368,1.296,6.804,2.592,6.804,0.648,0.648,1.62,5.508,1.944,8.748,2.592,3.5640001,2.592,5.184,1.62,3.5640001,2.2680001,2.916,2.2680001,5.184,6.48,4.5360003,0.972,5.832,1.62,
Curve - Duration 10% to 10%,2.916,7.776,6.156,6.48,7.776,3.888,2.916,3.24,3.5640001,3.5640001,3.888,6.48,2.916,4.212,1.944,4.5360003,4.86,4.86,2.592,4.212,3.24,4.5360003,2.592,4.212,4.86,2.592,3.5640001,4.5360003,3.5640001,4.5360003,3.5640001,3.24,2.916,6.156,3.24,7.1280003,4.212,6.48,4.86,3.5640001,2.2680001,8.424,11.664,6.156,2.916,2.2680001,9.0720005,6.48,3.24,3.24,2.2680001,2.592,6.156,5.184,2.2680001,2.2680001,2.592,2.592,5.508,1.944,8.1,3.888,4.5360003,6.804,11.664,8.424,3.5640001,4.212,2.2680001,5.508,2.2680001,4.86,5.508,8.424,6.804,6.156,4.5360003,5.184,6.804,7.452,1.296,1.944,4.5360003,7.776,1.944,3.888,2.592,3.24,4.212,5.184,7.776,3.5640001,4.86,3.5640001,6.804,3.24,2.592,4.86,4.86,6.804,2.592,6.804,0.972,1.62,4.5360003,6.48,1.62,3.5640001,2.592,2.916,3.5640001,3.5640001,6.156,8.1,3.5640001,3.5640001,6.156,1.944,1.944,4.5360003,2.592,3.888,5.184,5.184,2.2680001,6.48,4.212,5.832,6.48,1.944,3.5640001,4.212,6.804,8.1,3.24,3.24,2.916,8.1,8.424,6.156,1.62,2.592,2.592,3.5640001,3.24,4.5360003,5.832,4.212,2.592,4.212,6.156,10.368,6.48,8.424,3.24,5.508,2.2680001,8.748,0.972,6.48,7.776,1.296,2.2680001,5.184,4.86,6.156,1.944,3.888,3.5640001,8.424,2.916,5.184,3.5640001,3.24,8.1,5.184,20.736,3.5640001,3.5640001,1.944,5.508,4.5360003,2.2680001,3.5640001,3.888,2.592,2.916,3.24,2.2680001,4.86,19.764,11.016,2.592,6.804,4.5360003,9.0720005,2.916,1.62,2.916,5.508,1.944,8.748,2.592,4.5360003,3.888,5.184,3.24,3.5640001,7.1280003,4.212,4.5360003,9.0720005,6.804,4.86,3.5640001,6.156,3.5640001,
Curve - Rising Duration 10% to 90%,0.972,7.776,3.24,2.592,1.62,0.972,1.62,0.972,1.296,1.62,0.648,3.24,0.648,1.944,0.648,0.648,1.296,2.2680001,2.2680001,2.916,1.944,4.212,2.2680001,0.972,0.324,0.972,2.2680001,2.2680001,2.2680001,1.944,0.972,0.972,0.648,1.62,2.2680001,4.86,3.888,2.2680001,0.972,0.972,0.648,3.24,3.888,1.62,1.296,1.296,8.424,3.5640001,0.648,1.296,0.648,0.648,1.296,2.2680001,0.972,0.972,0.648,0.648,1.62,0.972,1.62,2.2680001,2.2680001,3.24,4.5360003,4.5360003,0.648,2.2680001,0.324,0.972,0.648,0.972,1.944,1.944,0.972,2.592,0.972,3.5640001,2.2680001,1.944,0.648,0.972,0.648,4.86,0.972,0.972,0.324,0.648,0.972,0.648,2.916,1.62,2.2680001,1.944,3.5640001,1.944,1.62,1.944,1.296,3.888,0.972,0.972,0.324,0.648,3.24,2.2680001,0.324,1.296,1.62,0.648,0.972,0.648,1.62,3.5640001,1.62,1.62,1.944,1.62,0.972,1.62,1.296,0.972,2.2680001,0.648,0.972,2.592,1.944,4.212,0.972,0.648,1.296,2.2680001,4.5360003,4.212,1.62,1.62,0.648,2.592,4.5360003,1.296,0.648,0.648,0.972,2.592,2.2680001,1.296,2.916,0.972,0.972,1.62,1.62,7.1280003,1.296,3.5640001,1.944,1.296,1.62,3.24,0.324,2.592,5.832,0.324,0.324,1.296,4.212,3.888,0.648,0.648,0.648,3.24,0.972,2.592,1.296,0.972,2.592,2.592,14.2560005,1.296,1.944,0.648,2.2680001,2.916,0.648,1.296,1.296,1.296,1.62,0.972,1.296,0.648,5.184,1.944,0.648,3.888,1.62,1.62,0.324,0.648,1.944,2.2680001,0.324,1.944,1.944,2.2680001,1.62,2.592,0.324,1.62,4.5360003,1.62,1.62,6.48,1.62,3.24,0.648,0.972,0.648,
Curve - Decaying Duration 90% to 10%,1.296,0.324,2.592,2.916,6.156,2.592,0.972,1.944,1.944,1.62,3.24,0.324,1.944,1.944,1.296,3.888,3.24,1.62,0.324,0.972,0.972,0.324,0.324,2.916,4.5360003,1.62,0.972,2.2680001,1.296,1.944,2.592,1.62,2.2680001,4.212,0.972,2.2680001,0.324,4.212,3.5640001,1.944,1.296,5.184,6.156,4.212,1.62,0.972,0.324,1.62,2.592,1.944,1.62,1.296,4.86,2.916,1.296,1.296,1.944,1.944,3.888,0.972,6.156,1.62,1.944,2.916,5.832,3.888,2.916,1.944,1.944,4.5360003,1.62,3.888,2.916,6.48,5.832,2.592,3.5640001,1.296,4.5360003,5.184,0.648,0.648,3.5640001,1.296,0.648,2.916,1.944,2.592,3.24,3.888,4.212,1.944,2.592,0.648,2.592,1.296,0.648,2.916,3.5640001,2.916,1.62,5.508,0.648,0.972,1.296,4.212,1.296,2.2680001,0.972,2.2680001,2.592,2.916,4.5360003,3.24,1.944,1.944,3.5640001,0.324,0.972,2.916,1.296,2.916,2.916,4.212,1.296,3.5640001,2.2680001,1.62,5.508,1.296,2.2680001,1.944,2.2680001,3.888,1.62,1.62,2.2680001,5.184,2.592,4.212,0.972,1.62,1.296,0.972,0.972,2.592,2.916,3.24,1.62,2.592,4.5360003,3.24,4.86,4.5360003,1.296,3.888,0.648,5.184,0.972,3.888,1.62,0.972,1.944,3.24,0.648,1.296,1.296,3.24,2.916,5.184,1.944,2.2680001,2.2680001,1.944,5.184,2.2680001,4.5360003,1.944,1.62,1.296,3.24,1.62,1.62,1.62,2.2680001,1.296,1.296,2.2680001,0.972,4.212,12.312,8.424,1.62,2.2680001,2.592,6.804,2.592,0.972,0.972,2.592,1.62,5.832,0.648,2.2680001,1.944,2.2680001,2.916,1.944,2.592,2.2680001,2.916,1.944,4.212,1.62,2.916,5.184,2.592,
