Index,25,28,36,42,49,55,68,73,77,80,82,89,110,115,127,149,153,160,168,169,180,185,186,190,192,198,205,207,209,214,221,238,239,244,249,254,255,259,267,273,279,280,282,283,285,289,290,292,294,299,300,301,310,312,314,321,322,324,325,329,332,337,338,339,340,341,351,358,
Basic - Area,4.084717,21.04248,16.091309,4.4973145,17.040283,5.1574707,7.6743164,3.7958984,6.849121,5.9414062,5.4050293,3.3007812,9.531006,5.1574707,4.414795,35.52466,6.023926,13.739502,4.3322754,4.8273926,3.342041,3.8371582,9.819824,5.23999,8.623291,4.414795,4.4560547,16.792725,5.982666,6.2714844,11.635254,5.6938477,11.263916,7.3442383,3.2595215,6.6428223,10.768799,4.2910156,3.2595215,3.4658203,4.0021973,29.83081,53.678955,9.324707,4.538574,20.093506,3.342041,3.2595215,9.200928,4.951172,9.819824,5.817627,7.220459,6.5603027,77.40332,7.426758,5.9414062,6.0651855,50.99707,3.713379,3.4658203,20.134766,6.2714844,3.2595215,38.289062,3.50708,19.47461,16.297607,
Basic - Perimeter,11.038423,48.667934,35.660828,15.584359,25.678656,12.632751,15.045063,11.9439535,20.57189,17.77669,14.24536,10.06586,24.522875,17.779938,12.75036,41.610767,11.493828,26.616076,9.121735,12.573844,12.404234,11.12922,17.388515,11.7759695,17.78989,8.978937,13.585202,42.711296,16.131985,19.684845,17.98672,13.590281,25.77453,21.233673,9.518234,16.1135,24.694109,13.946359,7.6299844,8.031563,9.000875,63.047768,79.42168,16.629234,10.595,39.887047,8.42461,8.144094,24.4725,13.349984,15.130578,16.650967,17.561577,18.539423,124.2867,16.943266,11.320766,13.969922,52.978455,11.661812,9.435969,34.60722,15.350562,9.160328,82.13806,8.219657,24.838734,39.41661,
Basic - Circularity,2.3737895,8.957339,6.289,4.297489,3.079342,2.462347,2.3471372,2.9906924,4.9170394,4.2325554,2.9877136,2.4427283,5.0210457,4.877686,2.9303837,3.8785703,1.7451787,4.1030536,1.5283715,2.6062355,3.663686,2.5686793,2.4502559,2.105974,2.9205432,1.4532137,3.2958834,8.644791,3.461553,4.9168143,2.2126777,2.5813158,4.6933427,4.885327,2.2118165,3.1104076,4.506191,3.6070461,1.4212929,1.4810995,1.6108725,10.603873,9.351132,2.3599317,1.9682155,6.3008366,1.689966,1.6192797,5.1798263,2.8644657,1.8552287,3.792479,3.399009,4.169257,15.881073,3.0759914,1.7165346,2.5605545,4.379691,2.9144251,2.044359,4.7334414,2.9899805,2.0486054,14.021817,1.5330342,2.5210433,7.58621,
Curve - P Value on max Dff (-log10),15.653559774527022,14.523226006032017,Infinity,13.478918581866573,Infinity,15.653559774527022,Infinity,Infinity,13.840646417884166,Infinity,Infinity,Infinity,Infinity,15.954589770191003,11.52142821436168,Infinity,Infinity,Infinity,Infinity,Infinity,13.925205992505793,Infinity,Infinity,Infinity,11.924597594813156,Infinity,14.374806173574193,Infinity,Infinity,Infinity,11.890693732065008,Infinity,Infinity,Infinity,12.649668608290112,Infinity,Infinity,7.8390613728956495,Infinity,10.967571856262866,13.498223737061961,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.954589770191003,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.954589770191003,Infinity,Infinity,Infinity,Infinity,Infinity,
Curve - Max Dff,0.5308377,0.29049566,0.42798272,0.389088,0.34349164,0.37383327,0.57713354,0.47713923,0.47535086,0.44914034,0.44855753,0.3431884,0.32384166,0.31693146,0.4872175,0.37479058,0.43930784,0.4298667,0.6220389,0.5171594,0.5270766,0.49408412,0.45536068,0.43396637,0.32611057,0.40489185,0.47809488,0.35306048,0.37703097,0.35836828,0.3752255,0.4262238,0.5052613,0.48001662,0.39405662,0.40837374,0.81477875,0.4875951,0.33567357,0.56799036,0.5010552,0.4265439,0.32072017,0.57562584,0.3464775,0.320628,0.7511411,0.48608166,0.4139178,0.37934947,0.5887697,0.4703476,0.49592203,0.44928676,0.3861546,0.5197778,0.43210495,0.47279072,0.41023895,0.40175638,0.52598417,0.4580147,0.3929826,0.40363806,0.44559705,0.5378539,0.41305837,0.50725394,
Curve - Duration 50% to 50%,7.776,8.424,8.1,7.776,6.804,5.832,7.776,10.692,7.776,13.284,3.5640001,6.156,2.592,9.0720005,2.592,3.24,10.368,1.296,5.184,4.212,7.1280003,2.592,3.24,7.1280003,14.58,1.296,4.212,8.424,4.86,3.5640001,3.24,4.212,1.296,7.1280003,4.212,3.5640001,3.24,2.592,4.86,2.916,3.888,6.156,7.452,9.0720005,0.648,4.86,6.804,2.916,1.296,1.944,2.2680001,2.916,6.804,8.1,8.424,4.86,2.916,8.748,6.804,1.944,7.776,2.592,4.212,4.212,9.396,2.916,2.916,7.776,
Curve - Duration 10% to 10%,7.776,8.748,8.1,7.776,9.0720005,5.832,9.396,12.312,7.776,13.284,6.156,7.452,2.592,14.2560005,3.24,7.1280003,13.284,5.508,6.156,6.156,9.72,5.508,3.888,10.044,17.82,3.5640001,11.016,12.312,8.748,7.776,4.212,4.212,2.592,8.1,13.932,5.508,4.86,2.592,9.72,14.2560005,3.888,6.804,9.72,9.0720005,2.2680001,9.0720005,7.776,6.804,2.2680001,5.832,4.212,4.212,10.368,8.748,12.312,6.48,3.5640001,10.044,7.452,8.748,18.144001,5.832,4.212,9.0720005,11.664,7.1280003,6.48,9.396,
Curve - Rising Duration 10% to 90%,3.5640001,3.5640001,2.2680001,2.2680001,2.592,2.916,1.944,5.832,2.592,4.212,2.2680001,2.2680001,1.944,1.62,1.296,1.62,3.5640001,0.648,4.86,1.944,4.5360003,1.62,0.648,2.592,10.368,0.972,2.2680001,5.508,0.648,2.592,2.592,1.296,0.648,2.2680001,10.368,2.2680001,0.972,0.648,5.184,13.932,2.916,2.916,3.24,2.592,0.648,4.5360003,4.5360003,4.5360003,0.648,4.212,2.2680001,1.944,2.2680001,3.5640001,2.592,0.972,1.62,1.944,2.916,1.944,5.832,1.296,0.648,4.5360003,5.832,2.2680001,1.944,5.832,
Curve - Decaying Duration 90% to 10%,3.5640001,4.86,4.86,5.508,6.156,2.916,5.832,6.156,4.86,9.0720005,3.5640001,4.86,0.648,12.636,1.944,4.86,4.212,4.86,1.296,3.888,4.86,3.888,2.916,7.452,7.452,2.2680001,8.748,6.156,7.776,5.184,1.62,2.2680001,1.944,4.212,3.5640001,3.24,3.5640001,1.944,4.5360003,0.324,0.972,3.888,4.212,3.888,1.62,4.5360003,2.916,2.2680001,1.62,1.62,1.62,2.2680001,8.1,5.184,7.776,4.5360003,1.944,7.452,2.916,6.804,12.312,4.212,3.5640001,4.5360003,4.5360003,4.86,4.5360003,3.24,
Curve - Decay Tau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Propagation - Onset - Overall,0.65256834,14.980206,6.4406853,2.8427093,10.603089,1.9726584,5.4370804,1.2455604,3.8369904,2.9511776,2.6182606,0.69395685,5.44872,2.716484,1.329398,21.4637,0.5258198,2.8639703,1.306033,3.4123325,1.818164,1.6745511,1.2002761,2.322101,1.3292272,0.12121199,0.27293313,8.895769,1.3790665,0.0,5.6826715,0.9903664,0.0,1.7453663,0.0,0.0,12.60607,1.5939226,0.4193491,1.24781,0.15578017,28.709831,36.10609,4.057697,0.0,21.862572,1.7665011,0.0,4.127125,0.4047221,5.880877,0.0,0.7717289,1.8010951,56.307392,2.317413,1.9354088,3.3102179,25.745066,1.7559884,0.62651074,9.153332,0.28193897,0.33909243,35.262672,0.12348669,5.261023,24.70919,
Propagation - Onset - One Direction - Anterior,0.019491807,5.3033166,0.71317184,0.84322166,1.9230047,0.7067985,0.9826384,0.3322544,1.9250058,1.6842449,1.1403826,0.44202763,0.08914052,0.7019245,0.2145877,8.2049465,0.10653759,0.8376537,0.7710843,2.3353965,0.46204668,1.4185987,0.0,0.73411167,0.43606585,0.0,0.18337691,3.354111,0.3277203,0.0,0.96141696,0.11541371,0.0,1.122725,0.0,0.0,12.322324,0.001257211,0.089323,0.62350893,0.051504776,7.384534,1.0796583,2.1761143,0.0,0.93241274,0.0802828,0.0,0.0,0.0,2.1342347,0.0,0.021950051,0.32805845,7.9864874,1.4519206,0.12631202,0.12542762,2.9937294,0.0,0.32315338,5.5284038,0.0,0.16135508,4.8405523,0.0,2.0974925,7.979341,
Propagation - Onset - One Direction - Posterior,0.012582861,8.595895,1.863462,0.7732651,2.4349196,0.60619175,2.8303008,0.8062128,0.8497977,0.58849835,0.965622,0.043163985,3.4821978,0.43931115,0.82280856,2.8845077,0.17106903,1.1841972,0.22775781,0.912119,0.14386842,0.0,0.9955375,1.4749479,0.23725682,0.05919449,0.08955623,4.591084,0.741056,0.0,2.7530072,0.51655746,0.0,0.11731677,0.0,0.0,0.0076529086,0.9375001,0.089323,0.067359194,0.002570793,0.28718787,22.851044,0.55607545,0.0,13.140365,0.27918693,0.0,1.7887373,0.33731455,1.2342724,0.0,0.5845938,0.8069751,14.090741,0.41504312,1.4919935,2.6496134,17.131163,0.7250744,0.01719638,0.019278914,0.28193897,0.1071846,5.881374,0.12348669,1.309396,1.8202251,
Propagation - Onset - One Direction - Left,0.62049365,0.57328373,2.946565,0.14129183,6.21071,0.002850905,0.008635238,0.03385423,0.15499222,0.2290901,0.0,0.026201323,0.49813983,0.88123834,0.20648557,1.4301205,0.16639023,0.8420454,0.2835459,0.15132965,0.12695312,0.0,0.13942024,0.0,0.2962671,0.032394975,0.0,0.21455806,0.074238986,0.0,0.595215,0.093750015,0.0,0.3232203,0.0,0.0,0.1848658,0.28843752,0.2407031,0.0923295,0.10170459,20.897179,11.751135,0.8360457,0.0,0.25072008,1.1835938,0.0,0.0,0.0656391,0.0,0.0,0.16518503,0.4431931,7.431122,0.44306284,0.0,0.34321734,4.167006,0.16927087,0.0,0.05786696,0.0,0.07055278,0.0,0.0,1.783358,7.5336947,
Propagation - Onset - One Direction - Right,0.0,0.50770986,0.917486,1.0849307,0.03445533,0.6568174,1.615506,0.07323903,0.9071945,0.44934404,0.5122559,0.18256389,1.3792418,0.69401026,0.08551611,8.944125,0.08182293,7.399917E-5,0.023645058,0.013487317,1.0852958,0.25595248,0.065318406,0.11304138,0.3596375,0.029622525,0.0,0.73601586,0.23605114,0.0,1.3730325,0.26464522,0.0,0.1821044,0.0,0.0,0.09122683,0.36672786,0.0,0.4646124,0.0,0.14093083,0.42425156,0.4894613,0.0,7.539074,0.22343758,0.0,2.3383875,0.0017684251,2.51237,0.0,0.0,0.22286844,26.799042,0.0073863566,0.31710327,0.19195926,1.4531685,0.8616431,0.28616098,3.5477824,0.0,0.0,24.540745,0.0,0.07077652,7.375928,
Propagation - Onset - One Direction - Ratio - Anterior,0.029869372,0.3540216,0.11072919,0.29662606,0.18136269,0.35829747,0.18072906,0.26675093,0.5016968,0.5707027,0.4355497,0.636967,0.016359901,0.25839448,0.1614172,0.38227084,0.20261237,0.29247987,0.5904018,0.6843989,0.25412816,0.8471516,0.0,0.31614113,0.32805967,0.0,0.6718749,0.37704563,0.23763925,,0.16918397,0.11653638,,0.64326036,,,0.9774913,7.887528E-4,0.2130039,0.49968258,0.33062473,0.25721273,0.029902386,0.53629297,,0.042648815,0.045447353,,0.0,0.0,0.36291096,,0.028442698,0.18214388,0.14183728,0.6265265,0.06526374,0.037891045,0.11628362,0.0,0.5157986,0.6039772,0.0,0.47584394,0.13727129,0.0,0.39868528,0.3229301,
Propagation - Onset - One Direction - Ratio - Posterior,0.019282058,0.5738169,0.28932667,0.27201694,0.22964247,0.30729687,0.52055526,0.6472691,0.22147508,0.19941136,0.36880288,0.062199812,0.6390855,0.1617205,0.6189332,0.13439006,0.32533777,0.41348097,0.17438902,0.26730072,0.07912841,0.0,0.8294237,0.63517815,0.17849231,0.48835507,0.32812518,0.5160975,0.5373606,,0.4844565,0.5215822,,0.06721613,,,6.070813E-4,0.58817166,0.2130039,0.05398193,0.016502697,0.01000312,0.6328861,0.13704214,,0.6010439,0.15804516,,0.43341005,0.83344734,0.20987897,,0.75751185,0.44804692,0.25024673,0.1790976,0.7708932,0.80043477,0.6654154,0.41291526,0.02744786,0.0021062181,1.0,0.31609255,0.16678752,1.0,0.2488862,0.07366592,
Propagation - Onset - One Direction - Ratio - Left,0.9508485,0.038269415,0.45749244,0.04970323,0.58574533,0.0014452097,0.0015882123,0.02717992,0.040394217,0.077626675,0.0,0.037756413,0.09142327,0.324404,0.15532261,0.06662973,0.31643966,0.29401332,0.2171047,0.04434786,0.069824904,0.0,0.1161568,0.0,0.22288673,0.26725882,0.0,0.024119113,0.053832784,,0.10474211,0.09466195,,0.18518767,,,0.014664825,0.1809608,0.5739922,0.073993236,0.6528725,0.72787535,0.3254613,0.20603946,,0.011468005,0.67002153,,0.0,0.16218314,0.0,,0.21404542,0.24606869,0.13197418,0.19118854,0.0,0.10368422,0.16185649,0.09639635,0.0,0.006321956,0.0,0.20806357,0.0,0.0,0.33897552,0.30489445,
Propagation - Onset - One Direction - Ratio - Right,0.0,0.03389205,0.14245161,0.38165376,0.0032495556,0.33296052,0.2971275,0.05880006,0.23643388,0.15225923,0.1956474,0.26307672,0.25313136,0.25548106,0.06432694,0.4167094,0.15561022,2.5837966E-5,0.018104488,0.0039525214,0.5969185,0.15284841,0.05441948,0.048680644,0.27056134,0.24438609,0.0,0.082737744,0.17116734,,0.24161743,0.2672195,,0.10433591,,,0.0072367387,0.23007883,0.0,0.37234226,0.0,0.0049088006,0.011750138,0.1206254,,0.3448393,0.12648596,,0.56658995,0.00436948,0.42721012,,0.0,0.12374052,0.4759418,0.0031873283,0.16384304,0.057989918,0.056444544,0.49068838,0.4567535,0.38759464,0.0,0.0,0.69594115,0.0,0.0134529965,0.2985095,
Propagation - Offset - Overall,0.032074668,6.7237163,3.3690934,2.847291,0.6938797,2.412867,3.4880593,1.9332459,4.381482,3.1879406,2.2965062,0.50590885,1.163807,1.4485455,1.1972587,7.222705,0.47642967,2.5892947,1.3196517,3.4520955,0.8651692,1.5312854,0.0,2.3351758,1.2266097,0.05919449,0.7995702,8.637251,2.6254053,0.0,4.1148996,0.7977764,0.0,1.6482311,0.0,0.0,0.60406953,1.3919518,0.4193491,1.5145494,0.05407557,1.74929,8.402538,1.9987643,0.0,7.6977353,0.6626865,0.0,0.0,0.44800067,2.6635993,0.0,1.3858073,1.3109102,14.2987,1.8004054,0.17741251,1.6843544,11.429472,0.7250744,0.48517048,4.111919,0.31612194,0.6454736,7.0560617,0.34896556,3.23958,7.075683,
Propagation - Offset - One Direction - Anterior,0.012582861,3.0995078,0.80662715,0.7732651,0.1616905,0.60619175,1.63236,0.8062128,0.8497977,0.58849835,0.965622,0.043163985,1.0689437,0.43931115,0.82280856,1.4524399,0.17106903,1.1841972,0.22775781,0.912119,0.14386842,0.0,0.0,1.44882,0.2349954,0.05919449,0.08955623,4.591084,0.741056,0.0,2.7530072,0.51655746,0.0,0.11731677,0.0,0.0,0.0076529086,0.9375001,0.089323,0.067359194,0.002570793,0.28718787,4.081077,0.55607545,0.0,4.436932,0.27918693,0.0,0.0,0.33731455,1.2342724,0.0,0.5845938,0.8069751,5.5679,0.050242722,0.12631202,1.0339671,6.6563206,0.7250744,0.01719638,0.019278914,0.28193897,0.1071846,1.248431,0.12348669,0.8520384,1.1295261,
Propagation - Offset - One Direction - Posterior,0.019491807,2.5502737,0.7115165,0.84322166,0.48896053,0.7067985,0.9826384,0.3322544,1.9250058,1.6842449,1.1403826,0.44202763,0.08914052,0.7019245,0.2145877,1.6738828,0.10653759,0.8376537,0.7710843,2.3353965,0.46204668,1.4185987,0.0,0.73411167,0.43606585,0.0,0.18337691,2.2607396,0.3277203,0.0,0.7056812,0.11541371,0.0,1.122725,0.0,0.0,0.5492466,0.001257211,0.089323,0.62350893,0.051504776,1.2282063,0.79290146,1.238909,0.0,0.9161856,0.0802828,0.0,0.0,0.0,0.0,0.0,0.021950051,0.32805845,4.077401,1.4519206,0.0,0.12542762,1.7188493,0.0,0.32315338,3.1801958,0.0,0.16135508,2.226972,0.0,1.9366238,3.2279232,
