Index,5,44,76,90,91,120,151,153,155,179,197,200,216,251,267,293,319,333,371,377,393,414,422,460,474,477,514,532,534,555,567,569,585,589,602,604,610,611,616,619,621,
Basic - Area,27.396484,3.878418,4.0021973,3.4245605,3.011963,3.1357422,3.0532227,3.3833008,4.1259766,3.342041,9.324707,6.4365234,8.74707,4.249756,3.3007812,4.744873,6.147705,6.312744,3.2182617,3.342041,22.280273,3.7958984,5.982666,7.921875,3.1357422,3.8371582,3.342041,3.1357422,3.6721191,4.084717,3.3007812,3.3833008,10.892578,4.0021973,3.2595215,3.4658203,3.011963,3.3833008,4.4560547,3.4658203,5.652588,
Basic - Perimeter,66.66481,11.282171,15.181158,14.751141,13.887655,10.121312,12.9183445,9.630766,14.08083,8.978937,19.58247,14.521,17.27761,11.357735,12.081672,11.302281,16.65097,16.207546,12.1355,9.98522,41.81572,9.642547,17.580061,14.519171,9.877766,8.636266,14.216921,12.558813,10.158281,8.673235,8.293594,11.695328,24.091236,11.545829,11.8415785,11.910437,6.8505936,7.3242807,16.523405,12.266516,10.556406,
Basic - Circularity,12.90888,2.6116858,4.582489,5.0563426,5.095636,2.5997012,4.3495603,2.1815803,3.8240175,1.9196774,3.2725768,2.6069448,2.715782,2.4155142,3.5190666,2.1423862,3.5888577,3.3113606,3.641532,2.3740706,6.245235,1.9492118,4.1108923,2.117609,2.4760945,1.5467937,4.8127074,4.002644,2.2362165,1.4655155,1.6582842,3.2171721,4.2401147,2.650586,3.4233828,3.2571628,1.2399293,1.261768,4.8757195,3.4548287,1.5688267,
Curve - P Value on max Dff (-log10),Infinity,Infinity,7.710208609348564,7.0654309387630745,5.280583914058001,Infinity,Infinity,5.521714811527312,Infinity,10.367339154334445,Infinity,Infinity,Infinity,15.954589770191003,10.823776933593837,8.688294557284625,Infinity,Infinity,Infinity,Infinity,Infinity,11.130763553038255,Infinity,Infinity,14.808461734512765,Infinity,Infinity,7.844041161581086,8.940851707980118,Infinity,Infinity,10.472326627712135,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.81622706456946,11.185663221572126,Infinity,
Curve - Max Dff,0.17313883,0.21250547,0.31632388,0.35194588,0.16508518,0.2883282,0.23891866,0.22733521,0.24627349,0.26371166,0.36357272,0.39195377,0.35582885,0.45956603,0.32407367,0.25122073,0.37971145,0.35364944,0.30450177,0.55738527,0.27041033,0.3310062,0.36757243,0.42568204,0.37452996,0.3279179,0.5129642,0.32592803,0.36704063,0.3465195,0.33867916,0.30480662,0.39010158,0.447013,0.5500782,0.39608717,0.45392084,0.44726455,0.3223027,0.31523383,0.32914162,
Curve - Duration 50% to 50%,8.1,2.916,4.5360003,5.508,2.592,4.5360003,11.016,4.212,0.648,1.944,6.48,5.184,6.156,2.592,2.2680001,4.212,12.636,5.184,2.2680001,7.776,8.748,2.592,7.776,6.804,1.62,9.396,10.368,1.296,4.86,1.62,5.508,2.2680001,16.524,6.804,6.156,2.592,4.5360003,3.24,1.944,6.156,7.452,
Curve - Duration 10% to 10%,8.424,6.48,4.5360003,5.508,11.34,11.664,11.016,9.0720005,12.636,12.96,7.776,10.692,9.0720005,5.832,3.24,7.1280003,12.636,8.748,6.804,7.776,9.0720005,3.888,15.876,12.312,4.212,13.608,14.2560005,7.452,7.452,6.804,17.496,5.832,16.524,10.044,8.1,9.396,11.016,4.212,5.508,24.624,9.72,
Curve - Rising Duration 10% to 90%,2.2680001,0.972,1.296,1.944,3.24,1.62,2.2680001,2.2680001,2.2680001,0.324,2.592,5.184,2.916,0.972,1.944,3.888,4.5360003,4.86,1.944,2.2680001,1.944,2.916,4.212,5.184,2.2680001,1.296,7.452,0.324,2.2680001,2.592,5.832,0.648,4.212,1.944,4.86,0.648,5.508,1.62,3.888,4.86,4.5360003,
Curve - Decaying Duration 90% to 10%,4.5360003,5.508,3.24,3.24,8.1,10.044,7.776,6.804,10.368,12.96,5.184,5.508,6.156,4.86,1.296,3.24,8.1,3.888,4.86,5.508,6.48,0.972,11.664,7.1280003,1.944,11.988,6.804,7.1280003,5.184,4.212,11.664,5.184,12.312,8.1,3.24,8.748,5.508,2.592,1.62,19.44,5.184,
