Index,1,3,5,7,8,9,10,11,12,14,15,16,17,18,19,22,23,24,25,26,27,28,29,31,34,36,37,43,45,46,47,48,49,52,54,55,56,59,60,66,72,73,74,77,82,85,87,88,90,92,93,94,98,100,101,103,107,110,115,117,119,122,123,125,131,133,135,137,138,141,143,152,153,154,156,163,165,176,177,179,180,182,184,186,188,189,191,192,194,198,200,202,205,209,212,214,217,219,222,223,226,227,229,231,232,235,237,241,243,244,247,252,259,261,263,264,265,267,268,269,271,276,277,282,285,286,287,290,296,297,300,302,308,314,316,317,325,326,329,331,334,335,336,337,338,340,344,347,348,355,359,363,367,371,372,374,380,382,383,386,390,391,394,397,401,403,407,410,419,426,444,449,451,456,468,469,471,472,477,480,485,488,490,502,503,509,525,527,528,529,533,535,538,540,542,543,549,550,558,564,566,567,574,580,587,590,596,605,610,614,618,620,623,626,628,636,647,653,662,672,677,680,682,686,711,713,721,733,734,746,748,750,764,769,770,772,776,783,784,788,790,796,807,810,814,823,832,850,851,860,862,864,867,868,875,879,887,889,914,915,925,926,932,942,946,958,963,971,980,984,
Basic - Area,24.838379,45.344482,7.3442383,25.333496,64.03516,39.485596,3.177002,10.47998,47.24243,4.208496,54.50415,20.547363,6.2714844,9.324707,9.861084,5.28125,7.756836,87.016846,3.9196777,5.5288086,14.482178,13.285645,31.109863,4.909912,12.790527,11.470215,7.6743164,27.891602,5.5288086,5.9414062,5.446289,5.652588,3.177002,9.283447,5.9414062,3.342041,37.505127,14.564697,7.05542,126.25488,37.21631,4.9924316,5.23999,11.511475,7.756836,5.9001465,22.651611,12.460449,7.6743164,21.950195,8.82959,48.480225,19.22705,18.113037,9.572266,6.519043,3.0532227,15.101074,16.792725,3.50708,18.484375,7.3442383,8.004395,10.64502,23.930664,16.132568,14.770996,3.2595215,5.9001465,5.5288086,6.684082,6.188965,3.177002,7.921875,3.1357422,8.87085,13.409424,6.519043,8.623291,3.6308594,35.23584,3.4658203,4.249756,5.7351074,3.0532227,3.9196777,7.2617188,9.118408,6.5603027,42.25,8.251953,7.7980957,15.389893,12.212891,3.0532227,4.4560547,9.778564,5.487549,3.2182617,3.5895996,5.0336914,28.427979,26.901367,12.749268,23.889404,5.3637695,5.1987305,18.319336,6.725342,4.1672363,8.045654,14.5234375,29.335693,22.89917,3.0532227,10.397461,4.414795,28.22168,3.0532227,5.5700684,13.491943,7.756836,18.278076,3.0944824,5.6938477,3.3007812,10.768799,5.7351074,6.9729004,10.067383,47.902588,3.177002,7.756836,15.596191,5.1987305,6.6015625,6.147705,4.8273926,3.7546387,25.127197,8.416992,5.776367,6.849121,7.220459,6.188965,5.28125,31.274902,11.1813965,3.713379,7.179199,16.627686,3.6308594,7.880615,27.355225,4.909912,7.880615,10.149902,5.23999,7.220459,3.2182617,6.1064453,10.273682,4.6623535,4.8273926,3.878418,12.914307,46.375977,9.365967,98.61084,25.498535,6.147705,16.545166,8.004395,4.414795,28.551758,5.8588867,4.414795,6.147705,4.4973145,17.49414,10.64502,3.2182617,6.849121,6.684082,4.538574,6.684082,3.3833008,5.5700684,14.729736,3.011963,9.448486,17.205322,9.407227,5.1987305,4.249756,4.538574,5.074951,11.511475,4.0021973,12.914307,4.9924316,10.438721,10.232422,7.4680176,8.251953,24.178223,3.9196777,3.3833008,4.373535,3.4245605,5.652588,6.477783,6.8078613,4.043457,6.725342,31.52246,4.8686523,3.177002,72.82349,5.4050293,3.177002,3.50708,5.074951,41.342285,6.188965,3.011963,3.0532227,5.9001465,10.727539,3.4245605,17.45288,5.116211,3.2595215,3.8371582,9.613525,3.9609375,4.7036133,3.2595215,3.342041,8.912109,4.909912,4.084717,25.911133,3.3007812,3.011963,9.531006,3.177002,4.1672363,11.717773,5.5288086,5.611328,6.1064453,4.084717,8.334473,7.426758,8.912109,6.9729004,4.1259766,8.210693,3.6308594,13.203125,37.587646,14.564697,12.542969,4.579834,3.9609375,9.077148,4.4973145,16.999023,18.855713,
Basic - Perimeter,64.68739,61.68541,11.967516,35.711,78.39203,47.762814,7.952548,18.322485,43.334282,14.680455,73.88489,25.196644,15.102142,19.179266,18.055374,11.982547,17.401922,57.603203,7.876985,12.998984,23.929953,22.895233,37.294968,13.467594,28.675766,14.455393,22.16439,40.055237,14.211844,15.654843,12.728421,15.567501,7.6937656,16.69972,17.464079,12.726798,53.966454,36.164577,17.632065,149.20953,43.544315,10.163361,21.311062,24.50622,21.470516,12.103611,49.076424,21.850359,13.2795,34.08661,23.76197,67.91139,32.6755,31.48275,19.488424,16.189062,7.7224064,33.288532,24.391861,9.128438,29.27356,13.714593,15.290235,22.7305,40.796032,36.9393,24.207222,11.725594,12.898234,13.887655,16.496593,16.588814,6.5800314,26.784063,8.617782,15.940438,26.276861,18.446796,29.379593,12.30511,59.75856,6.827031,15.255095,11.989453,7.7794843,8.026485,15.816125,15.372704,14.870375,74.1134,20.1435,14.3142185,27.608952,26.115377,8.125609,10.541376,17.848797,14.477328,8.083563,10.253954,11.547453,46.704124,55.545544,23.434328,35.82536,16.28311,13.709517,40.27705,20.153656,14.709094,18.537594,24.371752,39.50741,46.78639,10.458906,25.908798,12.632751,43.19311,9.414031,10.42539,30.345455,15.008094,39.33455,8.4296875,16.3605,11.339251,20.872515,13.257562,19.316984,16.098267,89.0894,6.161797,16.413921,22.202986,14.4454365,18.124233,12.473094,17.626984,11.265313,30.824223,13.643908,17.999924,12.557188,21.559689,18.770985,18.779516,60.603565,31.62575,11.910437,15.723704,33.626328,10.294375,19.296875,57.887177,11.327469,16.479734,20.541626,10.924266,14.71072,11.759312,13.758266,18.246922,12.248032,14.578077,13.553312,21.147953,64.60533,19.276766,113.879395,48.715065,16.919907,42.09644,17.408627,12.268141,50.40161,14.250439,11.621391,15.127531,13.294531,44.849594,26.56916,11.414813,14.740984,17.33814,9.338469,14.149687,9.397172,12.817391,26.137314,9.43414,23.498314,25.683735,22.162563,16.456171,10.405282,11.9774685,15.031656,25.504173,11.20986,32.665344,10.537922,24.049189,30.696457,19.369188,16.862625,49.724804,12.140579,9.93322,11.733921,7.609875,17.877235,18.80125,15.441359,14.14786,19.790874,53.341644,16.607298,9.5720625,83.263374,11.246829,7.5174527,9.835719,16.775282,70.20244,17.485813,7.3007193,12.080047,18.878641,25.20172,10.349829,25.614674,10.354703,10.695749,12.214517,16.99364,14.727577,10.768063,11.409734,12.140579,15.396267,14.85514,12.830999,40.60266,8.27511,10.458906,22.581,11.05711,10.040672,17.65725,12.464766,16.004217,14.359516,14.1245,12.074968,23.513344,23.916548,14.065797,12.876297,14.840109,10.388421,25.591515,55.77569,30.82442,23.120296,14.554516,8.767282,25.63011,11.513937,35.522907,40.36114,
Basic - Circularity,13.406216,6.677757,1.5518559,4.00589,7.6368713,4.5976005,1.5841097,2.5491679,3.1631596,4.075137,7.9702473,2.4587786,2.8939893,3.1391993,2.630743,2.1634738,3.1067047,3.0344505,1.2596788,2.4320774,3.1465886,3.1397686,3.55789,2.9396558,5.116014,1.4497008,5.094036,4.5775733,2.9070966,3.2824519,2.3672194,3.4117768,1.4826907,2.3905578,4.085002,3.856707,6.179414,7.145876,3.506498,14.032501,4.0543365,1.6464657,6.8971524,4.151565,4.729231,1.975865,8.461295,3.0491135,1.8285797,4.2123003,5.0887895,7.5702596,4.4189787,4.354559,3.1573944,3.199261,1.5543076,5.839445,2.819414,1.8907642,3.689236,2.0380237,2.3242881,3.862439,5.5344086,6.7307577,3.1569688,3.3566494,2.2438192,2.7759807,3.2399397,3.5383663,1.0844976,7.2063456,1.8846936,2.2794256,4.0975757,4.1538253,7.9654193,3.3185754,8.065025,1.0701579,4.3576865,1.9945611,1.5773689,1.3079485,2.741264,2.062394,2.6823168,10.34563,3.9129403,2.0909173,3.941435,4.4439,1.7208521,1.984423,2.5925846,3.039405,1.6157509,2.3309171,2.108026,6.105969,9.126709,3.427756,4.2752934,3.9336407,2.8769817,7.046861,4.805997,4.131558,3.3988774,3.2545745,4.234,7.6069303,2.8510458,5.1375656,2.8765738,5.260612,2.3098452,1.5527954,5.4312897,2.3107693,6.736092,1.827364,3.740912,3.09986,3.2193813,2.4387984,4.2584867,2.0484803,13.185094,0.9510152,2.76395,2.5153263,3.1941416,3.9597034,2.0138426,5.121928,2.689729,3.0090566,1.7599922,4.4635115,1.8320616,5.122834,4.530501,5.314008,9.345242,7.1182914,3.0400186,2.7404625,5.4114943,2.3226337,3.7601397,9.747979,2.0796113,2.7423975,3.3082469,1.8123587,2.3850265,3.4192638,2.4667726,2.5789518,2.5604572,3.5033057,3.7690024,2.755851,7.1619906,3.1572273,10.465399,7.406303,3.7057235,8.523338,3.0129411,2.7129207,7.08021,2.7582364,2.4344218,2.962192,3.1273963,9.149862,5.2771487,3.221858,2.524691,3.5789316,1.5290511,2.3836474,2.0770352,2.3470855,3.6907709,2.351501,4.650518,3.0510104,4.154976,4.145247,2.027374,2.5153635,3.5430064,4.496573,2.4985728,6.574966,1.77006,4.4090366,7.3280463,3.9976766,2.7421029,8.137892,2.9923928,2.320757,2.5052083,1.3456756,4.499285,4.342474,2.7870865,3.9392974,4.6345305,7.1829495,4.507952,2.2950053,7.5757685,1.8623112,1.4155136,2.195112,4.4126344,9.48637,3.9313688,1.4082242,3.8033726,4.806941,4.7114043,2.4891531,2.9915802,1.6676964,2.7929215,3.0940902,2.3904538,4.357674,1.9617049,3.1782446,3.5095963,2.1166081,3.576596,3.2073708,5.063056,1.6509007,2.8901012,4.2573338,3.0623574,1.9251634,2.1173427,2.2362833,3.6323974,2.6870842,3.8866405,1.3921435,5.9240627,5.1074796,2.2579033,3.1977563,2.1344426,2.365265,3.9473476,6.5861998,5.1913285,3.391381,3.6807468,1.5442659,5.758928,2.3457654,5.9072204,6.8750215,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.550991238939375,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.32314600117783,Infinity,Infinity,6.594002196733102,Infinity,10.641585671229093,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.481571143199464,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.546349804879155,Infinity,Infinity,Infinity,10.057194731101497,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.690766770372289,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.653559774527022,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.316999984352304,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.886403908444843,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.600481331043602,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.408477913424191,Infinity,Infinity,14.875408524143378,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.04857814491959,Infinity,Infinity,Infinity,Infinity,Infinity,15.653559774527022,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.629135684134749,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.574378528479397,Infinity,Infinity,Infinity,
Curve - Max Dff,1.0219091,0.6741506,1.1860534,0.7004565,0.44108313,0.87304395,1.3315074,0.9737853,0.6700123,0.39237425,0.58137304,0.68615067,0.895001,0.60908335,0.75946236,0.76869524,0.90002906,0.8793369,0.90850616,0.64492434,0.74329656,0.7367144,0.7567252,1.1262491,0.4011268,0.69845265,0.3256594,0.696984,0.5648565,0.5875785,0.48010266,0.9909531,0.6635669,0.8470386,0.6502826,0.490676,0.75318676,0.48733237,0.54407215,0.81749606,0.6551513,0.7538799,0.82068187,0.5865181,1.3223417,0.6309413,0.54754376,1.0517057,0.6227276,0.56854355,1.0891591,0.6703005,0.7380203,0.67159575,0.6183411,0.69314474,1.0860456,0.50548273,0.63873136,0.8488912,0.35214704,0.6367659,0.49460953,0.6292046,0.6184816,0.3213102,0.5589886,0.47185174,0.64273655,0.75768864,0.6901217,0.64136523,0.84108645,0.5483918,0.71205014,0.80008763,0.5228866,0.61624426,0.40491873,0.52808803,0.4555551,0.6307543,0.3158362,0.767963,0.43760473,0.70912385,0.54575956,0.75874597,0.5434582,0.6608886,0.7281777,0.890878,0.6013365,0.42870033,0.6660993,0.83510447,0.62902457,0.6480314,0.67663723,0.64914215,0.6453849,0.47265413,0.8108713,0.5321276,0.35249335,0.43951514,0.81751674,0.545446,0.55850166,0.5338561,0.69314337,0.3739298,0.6896477,0.5829419,0.9401763,0.36076257,0.4556893,0.5427606,0.902876,0.638277,0.41186583,0.44112003,0.5030566,0.63593274,0.46223363,0.36617708,0.44226137,0.58541113,0.34580553,0.6267193,0.65831643,0.6645184,0.50065285,0.67428726,0.40245643,0.5169067,0.5030722,0.5421944,0.7723859,0.76833594,0.5074843,0.6582536,0.5813424,0.3126208,0.6477583,0.71288157,0.57544,0.3024644,0.8448336,0.35375658,0.39255768,0.33324558,0.49292356,0.67107385,0.6035458,0.4894016,0.518671,0.58685184,0.70724803,0.5501218,0.7174259,0.39173964,0.61065924,0.35908177,0.3451498,0.6702085,0.4354199,0.57210314,0.6391783,0.44166866,0.3818342,0.86360425,0.54623914,0.32991463,0.38449624,0.3825443,0.49350402,0.4989602,0.4266164,0.3835677,0.5474106,0.40124986,0.3814773,0.36865395,0.43412665,0.39423952,0.41350603,0.4618081,0.4347963,0.55407494,0.76944864,0.42558864,0.6942657,0.50291365,0.3094174,0.784866,0.43325716,0.7719519,0.46268573,0.4913576,0.4479929,0.726121,0.72766435,0.33653596,0.4480175,0.620636,0.44359678,0.445559,0.54423094,0.5398986,0.3336969,0.5201027,0.66554916,0.56768197,0.42366418,0.84681773,0.5532172,0.70558095,0.63893443,0.5708738,0.5505616,0.93058217,0.4055132,0.61993825,0.55363023,0.4946902,0.38193095,0.57431483,0.34159195,0.31664452,0.8272954,0.42792982,0.3818463,0.47293973,0.73312235,0.39457965,0.3148654,0.44819987,0.4688842,0.5458904,0.43721315,0.49936238,0.7829558,0.38745752,0.7405641,0.47428408,0.39169082,0.40951237,0.4852929,0.583573,0.38725287,0.9430883,0.650338,0.62982136,0.43813586,0.3957318,0.4850918,0.5380969,0.54599565,0.41413024,0.56574684,0.53206074,0.56896234,0.4809626,1.226496,0.41592064,0.38228476,0.35807738,0.60358715,0.37554944,
Curve - Duration 50% to 50%,13.284,3.5640001,1.296,1.62,2.916,3.24,1.296,4.5360003,3.888,3.888,4.86,3.24,3.24,2.2680001,1.944,0.972,6.804,6.48,4.212,0.972,3.24,1.296,2.2680001,1.62,1.296,0.972,0.972,0.972,1.296,1.296,0.972,2.2680001,0.648,2.2680001,0.972,1.296,1.296,0.972,2.916,6.156,1.944,7.776,5.184,0.972,3.888,0.972,1.944,4.212,0.972,2.2680001,4.212,1.296,3.24,1.944,1.296,1.944,1.296,1.62,1.296,2.2680001,2.592,0.972,0.972,2.592,0.972,1.62,1.296,1.944,0.972,1.62,1.944,0.972,1.296,2.592,1.296,1.296,1.62,1.62,0.648,4.86,3.24,2.2680001,1.62,10.692,1.944,2.592,1.296,1.296,1.296,1.944,1.296,1.296,1.62,1.296,0.648,0.972,0.972,1.296,0.972,0.972,1.944,6.156,3.24,1.296,1.944,4.212,0.972,4.5360003,1.944,6.804,1.296,4.212,1.62,2.592,3.888,1.296,1.296,1.944,3.5640001,1.62,1.296,1.296,9.0720005,1.944,0.972,1.944,1.296,2.592,0.648,2.2680001,6.48,1.296,1.944,2.2680001,0.972,2.592,0.972,4.86,1.62,3.24,1.944,3.5640001,0.972,1.296,6.804,3.888,2.916,1.296,3.24,1.944,3.24,2.592,0.972,4.5360003,2.2680001,1.62,2.916,7.776,0.648,5.184,1.296,1.62,1.944,0.972,1.62,3.24,2.2680001,2.592,5.508,4.212,1.296,11.016,0.972,0.972,1.296,1.296,1.296,1.296,0.972,1.62,1.62,0.972,1.62,2.2680001,1.296,0.648,1.296,0.972,0.972,3.24,1.62,2.916,6.156,1.944,0.972,1.62,2.2680001,3.888,1.62,1.944,0.972,1.62,1.944,0.972,2.2680001,2.592,2.2680001,1.62,1.296,1.62,1.62,2.916,1.944,0.648,1.296,1.296,1.944,1.944,6.48,0.648,1.296,1.62,7.1280003,5.508,2.2680001,1.62,0.648,2.916,0.972,0.648,7.452,1.62,0.972,1.296,2.2680001,1.296,0.972,1.62,2.916,0.972,1.62,1.944,2.916,0.648,0.972,1.296,1.296,2.916,1.296,1.296,3.24,4.5360003,0.972,1.296,2.916,1.944,2.592,1.296,0.972,1.296,3.5640001,2.592,1.296,4.212,6.48,1.62,1.62,1.62,5.508,3.24,
Curve - Duration 10% to 10%,13.284,5.508,2.592,3.5640001,4.5360003,6.804,2.2680001,6.156,6.804,4.86,6.48,4.5360003,4.212,3.24,2.2680001,1.62,7.776,13.932,4.5360003,1.296,7.1280003,3.24,2.916,1.944,1.944,1.296,2.916,2.2680001,1.944,2.2680001,2.592,2.592,2.2680001,3.888,0.972,4.212,3.888,2.592,5.832,6.156,4.212,7.776,5.508,3.24,3.888,4.5360003,5.832,12.312,1.944,4.212,4.86,3.888,3.5640001,2.916,3.5640001,4.212,1.62,3.5640001,3.24,3.24,3.24,1.944,1.296,4.86,3.888,1.944,2.592,2.916,1.62,3.5640001,2.916,1.944,2.592,3.5640001,3.5640001,1.944,3.5640001,2.592,1.296,4.86,3.5640001,3.888,3.24,11.34,3.5640001,5.184,1.62,2.592,2.592,4.212,4.212,2.592,5.184,1.62,2.2680001,3.24,2.916,2.916,4.5360003,2.916,4.5360003,6.804,3.24,2.2680001,5.508,5.184,3.888,4.86,2.916,6.804,2.592,5.832,2.2680001,3.5640001,10.368,3.24,4.212,3.888,5.832,2.916,4.212,2.592,9.0720005,5.832,3.24,2.2680001,3.5640001,4.5360003,0.972,5.184,8.1,2.2680001,2.916,2.592,4.212,2.916,7.776,4.86,3.24,3.5640001,2.2680001,5.508,4.86,1.944,7.452,7.776,6.156,1.62,4.212,2.916,6.156,4.212,1.944,4.5360003,2.916,2.2680001,3.5640001,7.776,2.916,6.156,1.296,2.2680001,5.832,1.62,3.5640001,5.832,4.86,3.24,8.748,7.1280003,1.944,12.312,1.944,1.944,2.2680001,3.24,9.396,1.62,4.5360003,3.5640001,4.86,2.592,7.452,3.24,2.592,1.944,3.888,2.592,1.944,3.24,4.212,4.86,7.452,2.2680001,1.62,1.944,3.888,3.888,6.156,3.5640001,1.62,2.2680001,2.916,2.2680001,3.5640001,3.24,6.804,3.5640001,3.888,3.888,2.916,5.184,4.212,3.5640001,4.212,2.592,4.212,2.916,11.664,4.212,7.452,4.212,9.0720005,6.48,5.184,6.804,1.296,2.916,2.592,8.748,9.396,1.944,6.156,2.592,2.592,3.24,1.62,12.312,4.5360003,1.944,2.916,4.5360003,3.5640001,1.296,5.184,6.48,5.832,6.48,2.916,2.2680001,4.86,4.86,4.5360003,2.916,6.804,2.592,3.888,2.916,2.592,3.888,3.888,3.5640001,3.24,5.508,8.748,4.212,4.5360003,5.184,5.508,4.212,
Curve - Rising Duration 10% to 90%,5.508,3.5640001,0.648,1.296,2.592,2.2680001,1.296,3.5640001,1.62,2.592,3.24,2.2680001,1.296,0.648,0.648,0.324,3.888,1.944,2.916,0.324,3.888,0.972,1.296,0.972,0.648,0.648,1.296,0.648,0.648,0.648,0.972,1.944,0.324,1.944,0.324,2.2680001,0.972,0.648,0.648,2.2680001,0.648,0.648,0.972,1.944,3.24,0.972,3.888,1.62,0.324,1.296,1.944,1.62,0.972,1.62,0.648,1.944,0.648,1.296,0.972,1.296,1.944,0.648,0.324,1.62,0.972,0.972,0.648,2.2680001,0.648,0.972,0.648,0.972,1.296,1.62,1.944,0.972,1.62,0.648,0.324,2.916,0.648,1.62,0.324,2.2680001,1.62,2.916,0.972,0.972,0.972,2.2680001,3.24,0.972,1.944,0.648,1.944,1.62,0.972,1.296,2.2680001,1.62,2.2680001,2.592,1.296,0.648,1.296,3.24,0.648,1.62,1.62,5.508,0.648,1.944,0.972,1.62,3.24,2.2680001,1.62,2.2680001,3.24,1.296,2.2680001,1.296,0.972,2.916,0.648,1.296,1.296,1.944,0.324,0.972,1.944,0.324,1.296,1.296,2.592,0.324,2.592,3.888,2.2680001,1.944,1.296,4.212,1.944,0.972,2.916,0.324,3.24,0.972,2.2680001,1.296,1.944,0.648,0.648,1.296,0.972,1.296,1.62,2.916,0.648,2.2680001,0.324,1.296,3.888,0.648,0.648,3.24,1.944,1.296,3.888,1.944,0.972,7.452,0.324,0.972,0.648,0.972,0.972,0.648,1.62,1.944,1.62,0.648,2.916,0.324,1.62,0.648,1.944,0.648,0.972,1.296,1.944,1.944,4.212,0.648,1.296,0.648,1.944,1.296,0.648,2.592,0.972,0.972,1.62,0.972,0.972,1.944,0.972,1.944,0.648,0.324,0.972,2.2680001,1.62,2.592,0.972,1.62,2.2680001,1.944,4.86,1.296,1.296,0.972,3.888,2.2680001,2.916,3.888,0.324,0.972,1.62,1.296,2.916,0.972,0.324,0.972,1.296,0.324,1.296,2.592,1.944,0.648,0.972,1.62,1.62,0.324,2.2680001,3.888,2.916,0.972,0.648,0.648,1.944,2.916,0.324,0.648,1.62,0.972,2.2680001,2.592,1.62,1.944,1.296,1.62,1.944,1.62,4.212,2.2680001,1.62,2.916,3.5640001,1.62,
Curve - Decaying Duration 90% to 10%,1.296,1.944,1.944,2.2680001,1.296,4.212,0.972,1.944,4.212,2.2680001,3.24,1.944,2.592,2.592,1.62,1.296,3.5640001,11.34,1.296,0.972,2.916,2.2680001,1.296,0.972,1.296,0.648,1.62,1.296,1.296,1.62,1.296,0.648,1.944,1.944,0.648,1.944,2.592,1.944,4.86,2.592,3.24,7.1280003,4.5360003,1.296,0.648,3.5640001,1.944,10.692,1.62,2.592,2.916,2.2680001,1.944,1.296,2.592,2.2680001,0.972,2.2680001,2.2680001,1.944,0.972,1.296,0.972,2.916,2.916,0.972,1.62,0.648,0.648,2.592,2.2680001,0.972,1.296,1.944,1.62,0.972,1.944,1.944,0.972,1.296,2.916,2.2680001,2.916,8.748,1.944,1.944,0.648,1.62,1.62,1.62,0.972,1.62,2.916,0.972,0.324,1.62,1.944,1.62,2.2680001,1.296,2.2680001,4.212,1.62,1.62,4.212,1.944,3.24,2.592,0.648,0.972,1.62,3.888,0.972,1.944,7.1280003,0.972,2.592,0.972,2.592,1.62,1.944,1.296,7.1280003,2.916,2.592,0.972,1.944,2.592,0.648,3.5640001,6.156,1.944,1.296,0.972,1.62,2.592,5.184,0.972,0.972,1.62,0.972,1.296,2.916,0.972,4.5360003,7.1280003,2.916,0.648,1.62,1.296,4.212,3.24,1.296,2.592,1.944,0.972,1.944,4.86,2.2680001,3.888,0.972,0.972,1.62,0.648,2.916,2.592,2.2680001,1.944,4.5360003,4.86,0.972,3.888,1.62,0.972,1.62,2.2680001,8.424,0.972,2.916,1.62,3.24,1.944,4.212,2.916,0.972,1.296,1.944,1.944,0.972,1.62,2.2680001,2.592,2.592,1.296,0.324,1.296,1.944,2.2680001,5.508,0.972,0.648,1.296,0.972,1.296,1.944,1.296,5.832,1.296,3.24,3.24,1.944,2.916,2.592,0.972,3.24,0.972,1.944,0.972,5.832,2.916,6.156,3.24,4.212,3.888,2.2680001,2.916,0.972,0.972,0.972,7.452,5.832,0.972,5.832,1.62,1.296,2.916,0.324,9.72,2.592,1.296,1.944,2.916,1.944,0.972,2.916,2.592,2.916,5.184,1.944,1.296,2.916,1.944,4.212,2.2680001,4.86,1.62,1.62,0.324,0.972,1.944,2.592,1.62,1.296,3.24,4.212,1.944,2.592,2.2680001,1.62,2.592,
