Index,1,3,4,5,6,7,8,9,13,17,20,25,26,29,32,33,35,40,43,48,55,56,62,66,78,79,88,91,98,104,107,121,130,136,144,150,151,154,162,164,169,173,177,178,184,188,191,196,198,206,208,210,214,215,216,224,225,227,232,248,249,250,254,260,261,266,269,277,280,286,293,299,302,303,304,322,323,324,331,332,333,336,349,358,359,361,369,372,374,378,379,380,384,385,396,401,405,409,411,418,419,426,445,464,465,479,482,493,503,506,522,529,530,537,543,547,553,576,578,587,592,600,623,624,633,652,668,672,675,685,686,706,722,723,724,726,735,737,742,743,746,748,750,764,766,768,776,779,780,781,
Basic - Area,36.102295,9.200928,9.778564,44.601807,12.790527,3.1357422,9.324707,59.7854,6.4365234,15.719971,41.548584,8.210693,6.477783,4.084717,37.09253,8.78833,3.2595215,3.0944824,6.2302246,9.407227,4.043457,14.5234375,6.312744,8.293213,13.8220215,9.861084,3.878418,5.074951,15.637451,7.591797,6.023926,5.611328,3.9196777,11.759033,3.2182617,7.05542,15.2248535,7.0966797,4.8273926,7.880615,3.9609375,12.419189,7.550537,5.446289,8.87085,9.819824,13.450684,5.446289,3.6721191,4.0021973,14.812256,6.519043,5.6938477,4.744873,7.550537,5.074951,8.87085,4.538574,4.6210938,4.8686523,3.3833008,6.188965,5.5700684,3.6308594,9.2421875,4.043457,3.5895996,6.9316406,12.914307,7.3029785,4.9924316,5.116211,3.6721191,4.786133,3.7958984,3.6721191,3.4245605,3.8371582,5.1574707,4.744873,3.4658203,3.2595215,3.7958984,5.5700684,7.921875,40.31079,9.365967,5.074951,4.2910156,8.169434,33.70923,3.1357422,18.566895,3.1357422,3.6308594,7.220459,6.8078613,13.615723,3.713379,3.7546387,5.4050293,26.983887,6.3952637,10.397461,5.0336914,5.652588,39.238037,4.0021973,3.4658203,12.831787,4.1259766,4.3322754,19.062012,3.342041,3.177002,7.715576,6.023926,3.4658203,15.2248535,5.23999,63.003662,3.5483398,7.0966797,16.751465,3.2595215,32.430176,13.780762,5.074951,9.489746,3.4658203,4.043457,4.6210938,6.312744,3.4245605,5.652588,3.2595215,5.652588,6.725342,6.312744,3.6308594,3.2595215,3.4658203,3.2182617,3.1357422,3.0532227,4.2910156,3.1357422,3.878418,4.744873,3.9196777,
Basic - Perimeter,68.707245,17.020657,15.401142,59.988705,34.463,11.656735,24.588688,59.064686,13.89436,38.037796,62.076828,19.876392,12.046532,14.751141,64.65063,18.132765,9.756704,14.362968,16.017628,21.862143,10.201954,28.775095,24.749765,19.498375,23.95189,34.866,12.160687,12.006109,31.027752,20.892828,14.630077,14.690609,13.0678425,18.757578,8.251546,16.437689,34.97366,20.440876,17.239016,24.071127,12.100156,22.501984,16.216078,19.191046,17.94122,27.03614,25.821451,13.259391,12.9805,14.951016,41.78891,21.633625,15.145813,14.366423,15.6749525,13.659142,15.167749,11.428218,14.6485615,15.654843,8.92186,12.080047,13.054437,12.745282,24.618752,16.09664,9.400625,12.523673,20.017561,20.227596,15.253266,15.275204,15.050141,15.790938,11.171266,11.854984,10.805031,13.617094,9.980141,8.748797,12.709937,9.953328,15.550845,13.106437,21.867018,83.5512,20.523142,18.092346,14.898814,18.233515,49.94133,9.587093,45.062878,9.037845,14.272375,18.130938,12.05486,38.493,10.595,10.638672,13.813718,65.04367,18.488844,26.626232,14.099313,14.895563,83.72853,10.616939,9.115031,25.688812,11.607985,10.914109,43.828484,11.5895,10.027266,19.935093,13.664218,11.508861,39.655487,15.046688,101.60658,10.679094,14.939234,23.21597,12.491578,63.87449,27.66603,13.667672,26.339016,11.030093,10.674016,8.619407,13.242531,9.437594,13.294531,9.723187,15.750516,16.69972,12.66139,10.949453,9.839172,7.932438,12.646156,10.941126,8.142468,14.740984,8.92186,10.351453,12.15561,14.418423,
Basic - Circularity,10.405438,2.5055966,1.9302826,6.4206157,7.389378,3.4482892,5.159714,4.643557,2.3867989,7.32435,7.3806214,3.8290007,1.782739,4.239156,8.967041,2.977226,2.3240347,5.305063,3.277048,4.043095,2.0483494,4.536848,7.7217216,3.6480782,3.3029208,9.810018,3.0342531,2.260283,4.8991957,4.5755153,2.8275075,3.0605824,3.46695,2.3810694,1.683602,3.0475354,6.393213,4.6852627,4.8989434,5.850902,2.9415355,3.2444305,2.77143,5.3812943,2.8875456,5.923465,3.944637,2.5688374,3.6513734,4.4446044,9.381905,5.713009,3.206044,3.461488,2.5895526,2.9255335,2.0637982,2.289959,3.6951776,4.005704,1.8722347,1.8763305,2.4347024,3.5602427,5.218521,5.099267,1.9591045,1.8006012,2.4691153,4.458396,3.7085464,3.6292403,4.908565,4.145923,2.6162565,3.0456173,2.7129219,3.8454688,1.536833,1.2836963,3.70912,2.4186494,5.069715,2.4541376,4.803317,13.780793,3.5786994,5.1327252,4.1165504,3.2384632,5.887915,2.332511,8.703396,2.0729055,4.464504,3.6229794,1.6986495,8.659902,2.4055967,2.3988152,2.809398,12.476584,4.2535467,5.426031,3.1426747,3.123609,14.217715,2.2412498,1.9076575,4.092522,2.5988247,2.188017,8.019259,3.1982157,2.518475,4.098815,2.466494,3.0412264,8.219465,3.438282,13.039713,2.5576067,2.502601,2.5604186,3.8095255,10.011421,4.4198813,2.929189,5.8174767,2.79346,2.2422962,1.2793816,2.2106192,2.0697024,2.4882205,2.3080945,3.4924676,3.2998497,2.020853,2.6276383,2.3634882,1.4447658,3.9544477,3.0379024,1.7280003,4.0297956,2.0200427,2.198559,2.4781013,4.2206106,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.8446857586372762,Infinity,Infinity,12.830085545356722,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.133434804943218,3.6965764518005626,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.292777084653743,Infinity,7.1098674804735795,Infinity,Infinity,Infinity,Infinity,Infinity,15.000347260751678,Infinity,Infinity,Infinity,13.618130036342475,7.263419326685596,Infinity,Infinity,Infinity,Infinity,Infinity,15.47746851547134,Infinity,Infinity,Infinity,11.071104359318428,Infinity,Infinity,Infinity,3.64822307384452,Infinity,5.633804332699453,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.243869518434516,11.559123586509067,Infinity,Infinity,Infinity,Infinity,12.295720177989041,Infinity,8.916106911501947,Infinity,Infinity,14.954589770191003,5.765597177715397,15.47746851547134,Infinity,Infinity,5.114949805987033,15.653559774527022,15.000347260751678,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.015099970725615,9.418358939495079,8.83104282999217,Infinity,Infinity,Infinity,Infinity,15.653559774527022,7.542672933404743,Infinity,Infinity,Infinity,Infinity,11.147183290664636,Infinity,Infinity,Infinity,11.626536519938318,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.291437928963584,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.51295746650669,Infinity,Infinity,Infinity,Infinity,7.428261784604483,14.724140848812729,7.0285180454280205,Infinity,Infinity,Infinity,Infinity,Infinity,7.493214772284072,11.107578849151828,14.301377256415659,Infinity,8.96909795474952,14.875408524143378,9.918159705862568,Infinity,Infinity,
Curve - Max Dff,0.44653183,1.6462439,1.6202661,0.8852804,0.8169952,2.3690145,0.6080178,0.89666736,0.66411346,0.6933408,0.535105,1.1695056,0.88480884,1.1046864,0.52817625,0.9801271,0.88765144,0.4218831,1.0216892,0.92547005,1.186287,1.2616309,0.8564782,0.859956,0.72251695,0.8767735,1.1618787,1.0621915,0.34362906,0.6869408,0.75008875,0.73193616,0.8048894,0.9690864,1.2339427,0.8473374,0.6300324,0.7797783,0.5651107,0.80860186,0.78765607,0.6782183,0.77526045,0.5581682,0.6568652,0.76229906,0.9908403,1.1208062,0.77983946,0.97550964,0.7434242,0.62230116,0.5690184,0.30224958,1.0758061,0.40491152,0.6195694,1.5432491,0.66963726,1.1238111,1.1913317,0.89742607,0.52281445,0.768525,0.340739,0.45749786,0.85877055,1.0547132,1.0735248,0.6880513,0.3764541,0.58611,0.96434313,1.0061859,0.76828253,0.5478859,0.5338965,0.6968179,0.7049458,0.89913267,0.63417,0.6337944,0.7920978,0.652184,0.45311716,0.5977477,0.6364028,1.004189,0.86101824,0.9193515,0.52588755,0.47213507,0.5526894,0.694332,0.45805094,0.85964054,0.76577973,0.4674806,1.1181221,0.7543942,1.0158553,0.6599536,0.7562282,0.44421163,0.70186013,0.794371,0.5428535,0.8264262,0.52273494,0.74916315,0.6198922,1.1079006,0.7731004,0.76321185,1.1844759,0.6620508,0.75854874,0.9228801,0.7743821,0.706433,0.70041573,0.7930043,0.6098662,0.81960636,0.63863564,0.710298,0.65273035,0.60141844,0.6098029,0.73175097,0.61746264,0.79898274,1.1286569,0.6129048,0.5299481,0.5912005,0.7189186,0.60961366,0.7512012,0.8849802,0.641194,0.5925341,0.8845451,0.64158,0.95074356,0.46136183,0.7416619,0.5791612,0.7575243,0.7427284,
Curve - Duration 50% to 50%,4.5360003,4.5360003,1.296,7.1280003,9.0720005,6.156,11.988,5.184,2.592,2.916,3.5640001,3.5640001,3.5640001,6.804,3.888,2.592,3.888,5.184,3.888,7.776,6.156,18.468,8.424,1.62,7.776,7.1280003,2.2680001,2.592,1.62,6.48,6.156,4.5360003,5.832,6.48,5.184,4.86,10.692,3.888,3.24,3.24,0.648,2.2680001,4.212,2.916,4.212,3.24,1.62,1.296,5.508,1.944,2.592,2.592,1.296,1.296,1.296,1.944,2.2680001,2.916,1.62,4.5360003,3.24,2.592,1.296,3.24,1.944,1.944,1.296,1.944,2.916,1.296,0.972,1.62,4.86,4.5360003,2.916,5.184,3.888,7.1280003,1.62,0.972,7.776,1.296,8.424,3.5640001,2.916,5.832,1.296,7.1280003,1.296,10.692,5.832,0.972,5.508,1.62,1.296,3.24,6.804,3.24,2.2680001,4.212,2.916,9.72,7.1280003,2.592,4.212,3.888,3.24,2.2680001,1.296,1.62,1.296,1.296,11.34,1.944,3.24,2.2680001,2.592,1.62,8.424,2.2680001,6.48,2.916,1.944,2.916,0.648,7.452,2.916,3.5640001,4.5360003,1.944,0.972,1.296,2.592,1.296,1.296,7.1280003,2.592,1.296,5.832,1.944,0.972,4.212,2.592,1.296,0.648,6.156,4.5360003,3.888,5.184,5.832,
Curve - Duration 10% to 10%,7.452,5.832,1.62,8.424,10.044,7.776,11.988,6.156,3.5640001,2.916,4.86,3.5640001,6.156,10.044,5.508,4.212,3.888,5.184,3.888,7.776,9.396,21.06,8.424,5.508,8.1,7.1280003,3.888,9.0720005,4.212,12.312,7.1280003,4.86,10.368,6.804,7.1280003,6.48,11.664,5.184,3.888,3.24,4.86,2.916,7.452,3.5640001,4.86,4.5360003,3.24,1.944,6.156,1.944,4.5360003,3.5640001,1.944,4.86,2.592,2.2680001,4.86,3.5640001,1.944,4.86,6.156,4.86,2.592,3.888,3.888,1.944,2.592,3.888,4.86,1.62,5.832,5.184,15.876,4.86,3.888,6.804,5.184,9.0720005,6.156,3.5640001,7.776,3.888,11.664,3.5640001,3.888,6.804,3.5640001,7.1280003,2.592,11.664,6.48,14.58,7.1280003,2.592,7.452,3.888,9.396,3.888,3.5640001,5.832,2.916,9.72,8.748,3.24,4.212,3.888,9.396,8.424,3.24,3.24,10.692,3.24,11.34,7.452,3.888,3.24,2.592,4.5360003,9.396,3.888,8.1,7.1280003,2.916,4.5360003,5.184,9.0720005,4.212,6.156,4.86,18.468,4.5360003,2.916,2.916,4.5360003,2.592,7.1280003,5.184,2.2680001,8.1,2.592,2.916,7.1280003,3.888,11.016,3.5640001,9.72,9.0720005,6.804,6.804,9.0720005,
Curve - Rising Duration 10% to 90%,1.62,3.888,0.324,3.888,4.86,3.24,4.5360003,1.62,1.62,1.296,2.2680001,0.972,1.296,8.748,1.62,0.972,2.916,2.916,2.592,2.2680001,2.592,8.424,0.648,0.648,5.184,2.2680001,1.296,2.592,2.916,8.1,1.944,0.648,6.804,2.592,2.2680001,0.972,3.5640001,1.944,2.2680001,1.62,1.296,1.62,1.296,1.62,2.2680001,2.2680001,0.648,0.972,2.2680001,0.972,1.62,2.592,0.648,3.5640001,0.972,0.972,1.296,1.62,0.972,2.2680001,2.592,1.944,0.972,2.2680001,1.296,0.972,1.62,0.972,1.296,0.324,2.916,3.24,1.62,2.2680001,1.62,5.184,2.2680001,6.804,1.62,1.944,1.944,1.944,5.184,1.62,1.944,2.916,1.944,5.184,1.62,4.86,2.592,2.592,4.86,1.296,2.592,1.944,0.972,0.972,1.944,3.24,0.972,1.944,2.2680001,0.648,0.324,1.944,3.24,5.508,1.944,1.62,4.5360003,0.324,3.24,2.916,2.2680001,1.296,1.296,1.944,1.62,2.2680001,1.944,0.324,0.972,1.296,2.916,4.212,2.592,3.24,0.972,5.832,0.324,0.324,0.648,2.2680001,0.972,1.944,2.2680001,1.62,0.972,1.944,2.592,3.5640001,2.592,2.592,1.62,5.184,4.5360003,2.916,1.62,3.5640001,
Curve - Decaying Duration 90% to 10%,4.5360003,1.944,0.972,4.212,4.86,4.5360003,7.452,2.592,1.944,1.296,1.944,2.592,4.5360003,0.972,3.24,3.24,0.972,2.2680001,1.296,4.86,6.804,10.368,7.776,4.86,2.2680001,3.888,2.592,6.48,1.296,3.888,5.184,4.212,3.5640001,3.24,4.86,5.508,7.776,3.24,1.62,1.62,3.5640001,1.296,5.508,1.944,2.2680001,2.2680001,2.2680001,0.972,3.5640001,0.972,2.916,0.972,1.296,1.296,1.62,1.296,3.5640001,1.944,0.972,2.2680001,3.5640001,2.916,1.296,1.62,2.592,0.972,0.648,2.916,3.24,1.296,2.916,1.944,14.2560005,2.2680001,1.944,1.62,2.916,1.944,3.888,1.62,5.832,1.944,5.832,1.944,1.944,3.5640001,1.62,1.944,0.972,6.48,3.5640001,11.988,2.2680001,1.296,4.86,1.62,8.424,2.2680001,1.62,1.944,1.944,7.1280003,6.48,1.944,3.5640001,1.944,5.184,2.592,1.296,1.62,6.156,2.592,7.776,4.5360003,1.62,1.62,0.648,2.592,7.1280003,1.62,3.888,6.48,1.944,3.24,2.2680001,4.212,1.62,2.916,3.5640001,12.636,4.5360003,2.592,1.62,2.2680001,1.62,4.86,2.592,0.648,7.1280003,0.648,0.324,3.5640001,0.972,8.424,1.944,4.5360003,4.5360003,3.888,4.86,5.508,
