Index,28,42,55,60,64,66,67,71,85,90,101,108,110,116,120,128,139,160,173,180,193,195,202,212,241,242,256,270,279,282,296,311,350,379,404,432,447,532,537,540,555,582,594,
Basic - Area,13.285645,3.878418,4.3322754,3.9609375,7.7980957,8.086914,9.902344,11.759033,3.4658203,3.7958984,5.4050293,5.074951,3.0532227,7.1379395,7.5092773,4.1672363,7.0966797,6.725342,4.208496,3.5483398,19.51587,7.0966797,3.3833008,4.538574,5.982666,3.2595215,4.414795,46.293457,3.342041,3.3007812,6.6015625,4.084717,18.525635,4.951172,10.686279,7.179199,14.647217,3.713379,4.4973145,5.28125,3.4658203,5.9001465,3.0944824,
Basic - Perimeter,31.758387,11.208235,16.961752,8.88489,20.857689,14.324376,17.24247,22.036829,11.77089,12.501736,15.433235,10.552953,8.673235,16.404171,26.132439,13.062765,25.731064,10.534469,11.762562,8.977312,38.803783,18.807953,11.335796,13.202108,17.44722,12.542157,13.200486,62.88161,10.482469,10.41036,14.816547,10.31286,32.919044,17.235563,26.774107,18.72061,36.39472,14.690609,11.720515,15.130781,10.017109,12.590703,9.671187,
Basic - Circularity,6.041216,2.577567,5.284641,1.5859746,4.439499,2.0191042,2.389192,3.286372,3.181286,3.2765453,3.50676,1.7462494,1.9606221,3.0000317,7.2368884,3.2584589,7.424213,1.3131098,2.6161766,1.8074137,6.1397457,3.9665964,3.0224113,3.0560277,4.0490007,3.8404381,3.1409388,6.797009,2.616408,2.6127925,2.6462898,2.071984,4.654912,4.774557,5.338185,3.8846695,7.1963415,4.62488,2.430694,3.4496586,2.303928,2.1380966,2.4052584,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,14.436075830313117,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.753739272099926,Infinity,Infinity,Infinity,9.416569561522158,Infinity,11.477642268016929,Infinity,Infinity,11.889794958995621,Infinity,Infinity,12.448761736336166,Infinity,12.589851215135605,Infinity,7.229813121753516,Infinity,5.155890295170788,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.35252977886304,7.172619808025484,Infinity,Infinity,Infinity,Infinity,
Curve - Max Dff,0.6004156,0.5768658,1.040838,0.7235375,0.5317584,0.76138407,0.41151944,0.7368878,0.7773269,0.63791966,0.44071004,0.7895604,0.74933213,0.6298105,0.4240448,0.72969526,0.5084906,0.74008423,0.5317765,0.75577635,0.4688222,0.54134244,0.68109155,0.8279849,0.5769271,0.84132034,0.49808082,0.42050898,0.4545279,0.62612087,0.75690573,0.49827594,0.5245858,0.51135916,0.42222622,0.42331612,0.5520146,0.70955807,0.3605375,0.59812045,0.7699908,0.5037253,0.6449579,
Curve - Duration 50% to 50%,7.452,1.296,12.96,1.62,1.944,2.592,2.2680001,6.48,2.2680001,9.72,1.62,2.2680001,1.944,4.86,6.804,7.1280003,12.636,8.748,3.888,15.228,6.48,1.296,1.62,1.62,8.748,10.692,8.1,7.776,1.296,4.5360003,5.184,1.62,2.916,13.284,2.2680001,8.748,3.888,11.664,1.944,1.62,8.424,2.592,2.2680001,
Curve - Duration 10% to 10%,7.452,3.888,12.96,2.916,3.24,5.508,5.508,7.452,5.508,14.904,9.0720005,3.5640001,2.916,5.508,8.1,8.1,12.636,12.96,11.016,17.82,7.776,4.5360003,4.5360003,1.62,13.932,10.692,17.172,17.172,9.0720005,8.1,6.48,3.24,5.508,19.764,4.5360003,11.664,4.86,11.664,1.944,4.212,8.424,5.184,2.916,
Curve - Rising Duration 10% to 90%,2.592,0.648,7.776,0.972,1.944,3.24,2.2680001,3.5640001,3.5640001,9.396,2.2680001,0.972,0.972,2.916,6.48,1.296,2.916,4.5360003,2.2680001,5.508,1.944,2.2680001,1.296,0.324,3.5640001,1.944,6.48,3.5640001,4.5360003,3.24,2.916,1.296,1.944,15.876,0.972,8.748,1.944,2.592,0.648,2.592,4.5360003,2.2680001,1.296,
Curve - Decaying Duration 90% to 10%,4.86,3.24,5.184,1.62,1.296,1.944,3.24,3.888,1.944,5.508,6.804,2.2680001,1.62,2.2680001,1.62,6.804,8.1,8.424,8.748,11.988,5.184,2.2680001,3.24,0.972,9.72,8.748,10.692,12.96,4.5360003,4.86,3.5640001,1.944,3.24,3.888,2.916,2.916,2.592,9.0720005,0.972,1.62,3.888,2.916,1.62,
