Index,1,8,9,11,12,14,15,16,18,19,21,23,24,26,28,29,32,33,44,46,47,52,54,60,83,89,91,95,97,98,107,108,110,111,116,117,124,134,135,136,141,144,145,148,154,156,166,169,170,171,173,176,178,181,187,195,196,197,198,200,202,210,212,215,216,221,222,226,227,231,239,241,243,245,254,255,261,264,266,267,274,280,286,288,289,297,304,312,313,327,331,337,340,341,343,344,346,349,353,356,360,363,364,377,378,394,398,406,407,412,415,418,425,427,430,431,434,438,441,442,445,446,450,455,456,469,473,476,477,479,483,491,492,497,499,516,517,520,532,535,536,537,538,540,541,542,544,548,550,552,553,554,555,556,561,565,582,594,613,624,633,638,639,652,653,654,663,665,666,677,678,681,682,684,694,699,708,720,727,732,735,738,739,740,745,750,751,757,758,759,764,768,771,775,778,784,790,791,803,806,808,815,830,848,849,850,871,875,889,898,910,911,913,932,937,947,948,955,956,961,963,969,973,988,992,1001,1004,1009,1013,
Basic - Area,4.744873,4.9924316,6.0651855,7.591797,5.9414062,4.6210938,3.7546387,21.29004,3.4658203,8.87085,4.0021973,8.664551,12.996826,5.5288086,5.32251,24.54956,13.780762,4.4973145,14.5234375,9.531006,13.203125,11.800293,181.33667,71.255615,9.654785,6.354004,67.21216,5.074951,17.5354,9.984863,4.579834,5.1987305,4.249756,65.60303,3.177002,3.2595215,3.2182617,5.982666,5.9414062,3.2595215,3.4658203,8.582031,7.0966797,10.851318,3.6308594,15.92627,14.647217,4.208496,15.101074,3.878418,12.460449,3.5895996,20.506104,4.3322754,7.591797,3.011963,4.414795,9.365967,4.4560547,3.5483398,16.503906,7.4680176,33.956787,96.54785,29.088135,4.1259766,8.82959,31.027344,7.8393555,4.2910156,5.32251,35.2771,5.074951,20.836182,3.9609375,19.845947,17.040283,4.786133,5.7351074,7.5092773,4.208496,3.011963,3.177002,4.786133,5.446289,7.6743164,7.1379395,5.6938477,6.354004,6.188965,4.7036133,5.116211,11.676514,4.8686523,6.7666016,13.945801,10.314941,4.084717,15.142334,13.945801,4.414795,13.038086,11.428955,6.477783,4.8273926,7.591797,6.3952637,9.984863,3.8371582,23.02295,57.227295,5.4050293,25.787354,21.826416,20.712402,24.384521,12.130371,6.1064453,10.5625,3.4245605,13.409424,4.0021973,7.756836,10.64502,6.2302246,4.3322754,5.23999,32.01758,10.397461,35.4834,4.3322754,4.786133,30.325928,3.1357422,4.579834,5.611328,8.582031,19.39209,24.136963,5.9001465,10.60376,6.1064453,3.0532227,5.23999,4.084717,56.897217,7.921875,6.890381,3.5895996,10.356201,3.5895996,4.786133,3.3007812,95.0625,7.179199,3.2595215,5.7351074,10.5625,5.116211,36.514893,11.428955,7.8393555,7.921875,5.8588867,4.249756,148.78271,3.9609375,29.91333,95.4751,5.1574707,16.380127,4.0021973,5.1987305,9.737305,4.4560547,7.426758,6.2714844,11.965332,4.043457,20.423584,18.236816,8.251953,3.9196777,4.909912,5.817627,5.652588,11.098877,4.414795,7.6743164,12.419189,15.2248535,6.023926,4.744873,21.578857,3.6721191,3.342041,4.786133,8.004395,6.4365234,8.499512,3.4658203,3.3833008,8.210693,3.0944824,5.5700684,35.52466,3.177002,4.208496,4.3322754,3.50708,10.397461,3.5895996,5.28125,12.5842285,4.6623535,12.212891,3.5895996,5.28125,5.5700684,74.47388,8.5407715,4.2910156,3.878418,9.778564,3.9196777,4.4560547,11.057617,47.40747,3.7958984,
Basic - Perimeter,12.839328,11.240127,14.78811,18.354376,16.592266,9.780266,11.8919525,43.47038,10.593375,13.331499,10.220438,16.872784,28.500877,13.081252,14.754393,47.07869,32.806515,11.036798,27.886017,17.942844,18.85508,35.415253,188.6617,84.11529,22.88508,14.344485,83.139465,14.284158,28.158203,18.974314,9.015906,12.273219,9.66611,103.746704,7.3057966,11.372766,8.92186,13.640656,14.406641,11.431672,9.723187,18.532516,17.150047,20.259483,12.132048,19.389297,40.211235,10.233844,34.926533,10.4639845,21.616766,11.794454,38.462738,13.852312,15.60447,9.854203,9.188969,24.811922,8.27511,9.756703,38.148705,19.684845,50.000443,99.383575,53.173454,15.812875,18.17786,39.085922,14.680455,9.856031,16.914827,49.771717,11.265313,52.185658,8.50525,44.90505,30.094997,16.624157,15.673328,13.09486,10.9175625,11.897032,8.312078,13.323173,16.058046,16.19069,13.245986,19.498375,11.377845,11.873468,10.6405,13.1870775,18.851625,11.20986,13.964844,33.584484,25.151344,9.24097,29.23172,25.416626,12.45461,26.023155,22.66164,13.373548,15.965626,19.402702,15.772453,24.70122,7.609875,44.623108,94.463486,13.635579,55.457996,45.590595,37.222862,37.891747,19.029766,18.129314,22.792658,9.109953,27.450924,8.711828,16.739939,21.700657,15.280281,9.98522,13.056063,45.22436,31.293032,66.175896,9.553578,14.932531,40.985954,8.88489,11.987625,13.588656,17.620485,32.556267,31.134798,13.030873,26.199467,13.565093,10.524516,15.964001,13.430626,75.97972,17.183563,20.514812,11.35936,37.29355,12.004484,13.667672,8.164204,86.39333,19.42789,10.791625,10.786547,18.85833,20.135172,38.756657,20.07464,14.86022,16.326782,17.161625,12.233001,120.46977,15.21975,65.971146,132.75987,12.441203,31.570093,14.478954,11.124141,21.53775,14.347938,18.759205,3.7864532,18.621483,15.975781,35.700844,40.35606,25.189936,14.29086,12.4800005,14.042235,16.724909,22.997612,11.851531,21.151405,38.049374,38.687798,15.125704,13.786705,35.386814,8.800797,9.283015,18.100672,15.533984,13.435702,17.54472,9.494672,9.852578,17.957874,9.876141,24.047562,42.21567,11.048577,13.349984,15.184608,8.498547,27.429186,8.218031,16.67108,30.52197,11.96589,23.118467,11.053657,16.326782,16.879484,94.41311,21.473969,13.812093,10.645375,19.348875,10.322812,12.73025,31.188831,91.10522,12.478172,
Basic - Circularity,2.7647135,2.013819,2.8692696,3.5312202,3.6873324,1.6472013,2.9972868,7.0631843,2.5766344,1.5943471,2.076972,2.614674,4.973582,2.462959,3.2547405,7.184477,6.2149425,2.155376,4.260825,2.6880293,2.1427433,8.458201,15.619674,7.901707,4.3167057,2.5769892,8.183833,3.1993926,3.598192,2.8693278,1.4124048,2.3057373,1.7495632,13.056143,1.3369274,3.1576827,1.9682468,2.474947,2.779882,3.1904783,2.170708,3.1847022,3.2981133,3.0099852,3.2258854,1.8784525,8.7847595,1.9803447,6.428257,2.2466204,2.9842684,3.0838964,5.740998,3.5246713,2.55237,2.5655682,1.5219946,5.2306824,1.2228894,2.1348684,7.0171857,4.1290374,5.8588343,8.140981,7.735066,4.8226423,2.9780715,3.9181972,2.1877053,1.8014997,4.277685,5.588079,1.9899621,10.400981,1.453337,8.085533,4.2296257,4.5949907,3.408561,1.8171623,2.2537959,3.7395365,1.7305809,2.95135,3.7676873,2.7181983,1.9560766,5.313505,1.6212974,1.8127058,1.9155021,2.7048228,2.4220023,2.0539114,2.2934628,6.4361186,4.880292,1.663655,4.4906173,3.6862304,2.7960174,4.133293,3.575743,2.1971362,4.201936,3.9461172,3.0954955,4.862782,1.2009792,6.882541,12.408374,2.7374063,9.490994,7.5780635,5.323279,4.6855993,2.3756526,4.283161,3.9139328,1.9284906,4.471919,1.509073,2.8748374,3.520379,2.9822848,1.8314259,2.5887141,5.0833097,7.4947667,9.8212,1.6765102,3.7074242,4.4080462,2.0033362,2.496932,2.6186502,2.878961,4.349454,3.1959474,2.2902052,5.15128,2.3979893,2.8869278,3.8702867,3.5141532,8.074107,2.966119,4.8605123,2.860565,10.687031,3.1947076,3.1059504,1.6069452,6.248005,4.1837473,2.8432167,1.6144085,2.6793525,6.305977,3.2735028,2.805945,2.241611,2.6777089,4.0002933,2.802155,7.762361,4.653795,11.577996,14.690402,2.388241,4.841998,4.168368,1.8941997,3.7909849,3.6763647,3.7706804,0.1819219,2.3061836,5.0229807,4.9660964,7.106547,6.119099,4.14626,2.524327,2.6972225,3.937951,3.7920718,2.5317948,4.6390486,9.276666,7.8232107,3.0223286,3.1877666,4.617901,1.6784848,2.0519013,5.4474688,2.3989842,2.2318218,2.8819673,2.0698745,2.2832282,3.1255047,2.5082836,8.261744,3.9921572,3.0576332,3.3699596,4.2352715,1.6388296,5.7582254,1.4971995,4.1877513,5.8909955,2.4438522,3.482489,2.70867,4.016563,4.070502,9.524688,4.296528,3.5379283,2.3251848,3.0466774,2.163395,2.8941,7.0004635,13.932525,3.2642057,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,11.903437247743621,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,14.724140848812729,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.834621973813185,Infinity,Infinity,Infinity,13.799253732725942,Infinity,10.758867191116634,Infinity,12.528078508826429,8.700272266285664,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,9.980146243548845,Infinity,Infinity,Infinity,10.059973018379019,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.666796533532078,Infinity,Infinity,Infinity,Infinity,15.954589770191003,Infinity,13.767069049354541,Infinity,Infinity,Infinity,Infinity,7.642480077530774,Infinity,Infinity,Infinity,Infinity,5.94578963057519,Infinity,12.606479701710766,13.73187329904342,Infinity,9.285130535045594,Infinity,Infinity,Infinity,Infinity,Infinity,12.586861224104027,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.954589770191003,Infinity,Infinity,2.119180998649904,Infinity,6.9635797822769385,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,9.812908643746528,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,9.48169018813367,14.954589770191003,Infinity,Infinity,Infinity,13.362413012795136,7.283194507138149,4.495505160786715,Infinity,Infinity,Infinity,10.910850350359233,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.472212480059467,Infinity,5.211359404429016,Infinity,Infinity,8.714482928836409,Infinity,8.085138470348488,Infinity,Infinity,Infinity,Infinity,Infinity,14.35252977886304,Infinity,14.46322807635673,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.655911406961305,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,8.58825999547175,Infinity,Infinity,Infinity,Infinity,Infinity,12.977781432852938,Infinity,8.329911563916284,15.05149978319906,Infinity,13.158709752846928,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.199630182469294,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.19719374139798,15.109491730176746,Infinity,Infinity,Infinity,Infinity,9.979671145866899,13.250439253351205,Infinity,Infinity,15.05149978319906,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.860384260818753,Infinity,Infinity,6.24341297545672,Infinity,9.785876077164977,Infinity,10.684409552714039,Infinity,Infinity,14.291831938509429,
Curve - Max Dff,0.42013553,1.1471292,1.1816503,0.38157308,1.1610923,1.1916906,1.1317378,1.0661125,1.588354,1.0065929,0.69429076,0.54014224,0.7010185,0.6748207,0.8460707,0.8724015,0.35319442,1.038327,0.47826618,0.8486516,0.59405965,0.4089215,0.40282887,0.8601004,0.9187805,1.0652745,0.44507608,1.4777267,0.6929223,0.6357376,0.35014915,0.5582751,0.7869606,0.70930326,0.86209875,0.86116505,0.67692035,0.6395725,0.5750482,0.35304856,0.75269824,0.4208123,0.80355334,0.6694974,0.97467446,0.7693995,1.0501864,0.43288925,0.956548,1.0289291,0.67373884,0.29149076,0.5976874,0.52893543,0.94037235,0.50134534,0.63101786,1.2430161,1.0026126,0.96066743,0.58404785,0.6788096,0.7058231,0.6713841,0.3856204,0.6320907,0.51959956,0.71992487,1.1008343,0.80030954,0.40404734,0.7648384,0.68679535,0.29484928,0.3629404,0.77495,0.6169712,0.42241526,0.51194537,0.88210076,0.72566295,0.59720343,0.7801075,0.40908048,0.48683408,0.64214677,0.6920469,0.38584524,0.80691904,0.6573159,0.73748535,1.2741063,0.42272,0.40585148,0.7173511,0.7011921,0.7223313,1.5057536,0.9125701,0.64293563,0.7631192,0.3589376,0.55966413,0.32256544,0.506199,0.406058,0.6694881,0.7476638,0.8147595,0.9065756,0.72088426,0.8991501,0.30105475,0.45846188,0.5423944,0.5960081,0.8423258,0.42515537,0.44596198,0.47005737,0.37860522,0.550218,0.52355605,0.44679666,0.5168766,0.5662694,0.30914098,0.8242357,0.858432,1.048534,0.5842019,0.7317193,0.43804854,0.84703493,0.5669383,0.46886587,0.62040967,0.61961657,0.5434518,0.4461853,0.5430402,0.771572,0.6152543,0.38320255,0.6666432,0.61459404,0.43638825,0.38206705,0.43224666,0.55929893,0.992526,0.6221167,0.5317549,0.83005553,0.6518535,0.7422318,0.6967488,0.42592528,1.1332825,0.70161045,0.821866,0.53931457,0.63339406,0.88708,1.298767,0.46757588,0.38980246,0.64317644,0.50424945,0.48313254,1.2883642,0.5746634,0.5163876,1.262868,0.6422668,0.62386096,0.62322426,0.5541766,0.5294674,0.6785801,0.49873006,0.7227841,0.3864675,0.3708016,0.45594528,0.4118886,0.62532157,0.52975917,1.1290393,0.7287219,1.2684714,0.5406188,0.6642496,0.4424989,0.5687676,0.65224665,0.6440632,0.5018144,0.6296162,0.5389934,0.5421625,0.588384,0.6949654,0.44281736,0.5585778,0.9043367,0.55178547,0.52202505,0.32264853,0.61518526,0.46712995,0.72305244,0.3931867,0.3559354,0.68692994,0.5101967,1.2967825,0.420463,0.43481833,0.5002128,0.6721699,0.44356394,0.6022776,0.4293938,1.3160245,0.43351442,0.49942353,0.56919074,0.58240825,
Curve - Duration 50% to 50%,4.212,12.636,5.184,3.888,3.5640001,2.592,5.184,2.916,3.24,1.296,6.156,2.916,3.24,1.62,7.1280003,8.424,2.592,2.592,2.2680001,4.86,0.972,4.5360003,8.1,5.508,4.5360003,1.62,8.1,12.312,1.296,1.944,1.62,4.86,5.508,5.508,1.296,2.2680001,1.62,0.972,1.296,1.944,3.5640001,2.592,1.62,3.5640001,1.944,1.944,8.424,1.62,3.5640001,2.592,2.592,2.592,7.452,2.592,7.1280003,1.296,2.916,11.016,1.62,8.1,2.2680001,1.944,5.184,3.888,3.888,4.86,5.184,4.5360003,2.916,1.296,3.5640001,8.1,1.944,3.5640001,1.296,3.24,2.916,1.944,2.916,8.748,6.156,4.86,4.86,5.184,1.62,3.5640001,5.184,0.972,7.776,1.944,1.62,4.5360003,1.296,1.296,1.944,0.972,7.452,6.804,2.592,3.24,5.508,1.944,1.62,0.972,3.24,1.62,3.24,2.916,3.888,9.72,6.804,6.804,1.944,10.044,16.524,8.1,2.592,1.296,3.5640001,0.972,1.62,3.5640001,3.888,7.1280003,13.608,5.832,1.62,5.508,6.156,6.48,1.296,1.62,3.24,12.312,3.5640001,6.156,5.184,9.0720005,2.2680001,3.888,5.832,1.62,7.1280003,4.5360003,6.804,3.24,1.296,10.692,1.62,5.832,1.296,6.156,2.592,5.832,1.62,2.592,6.156,1.944,2.916,2.2680001,3.24,1.62,4.86,1.944,9.396,9.0720005,1.944,10.044,8.748,1.296,4.212,1.296,1.62,3.24,8.424,2.916,3.5640001,1.62,0.648,7.1280003,1.296,4.212,1.62,0.648,1.296,6.48,1.62,1.944,6.156,8.1,13.608,1.944,6.156,9.0720005,5.832,2.592,5.508,0.972,3.24,4.5360003,5.184,7.1280003,3.24,1.62,12.312,3.888,0.972,4.86,0.972,6.48,2.592,4.212,1.296,5.184,5.508,5.184,7.776,1.944,0.972,8.1,13.284,3.888,1.296,5.184,1.944,7.1280003,12.96,16.848,6.48,
Curve - Duration 10% to 10%,6.804,12.96,5.184,6.48,4.212,3.5640001,5.832,3.24,3.24,1.944,6.156,3.5640001,4.86,1.944,7.1280003,9.72,5.184,5.508,5.184,5.508,2.916,7.1280003,11.34,6.48,4.5360003,1.944,14.58,13.932,5.508,7.1280003,16.2,6.48,5.508,9.0720005,1.944,4.5360003,1.944,1.62,2.2680001,3.24,4.5360003,3.24,4.86,3.888,3.888,2.592,8.424,2.916,3.5640001,2.592,3.24,11.988,7.452,5.184,7.1280003,3.5640001,5.184,11.016,2.2680001,9.72,4.5360003,2.592,8.748,9.72,4.86,4.86,7.452,5.184,7.452,2.916,4.212,11.34,2.592,4.86,2.2680001,6.156,3.5640001,3.888,2.916,8.748,7.452,6.48,10.692,5.832,1.944,4.86,11.664,1.62,10.044,2.2680001,2.592,4.86,1.944,6.156,3.888,2.592,7.452,6.804,3.24,4.212,5.508,3.24,2.592,1.62,4.86,4.212,4.5360003,5.184,3.888,9.72,11.988,8.424,6.156,10.044,17.172,8.424,3.24,2.592,5.832,5.184,2.916,5.508,6.804,16.848,13.608,8.424,3.5640001,6.156,6.156,7.452,6.48,2.592,6.156,13.284,3.5640001,11.988,8.1,9.396,4.212,5.508,8.424,5.184,7.1280003,5.184,6.804,3.888,2.2680001,11.34,2.916,5.832,4.5360003,7.1280003,2.916,16.848,1.944,6.804,6.156,3.5640001,6.804,4.212,4.86,2.916,6.804,4.86,9.396,11.34,6.48,14.58,12.96,5.184,4.212,5.832,3.24,4.5360003,8.424,3.24,6.156,3.24,8.424,7.452,2.916,6.804,1.944,3.888,3.24,7.1280003,2.592,5.508,6.48,8.748,13.608,2.592,8.1,9.396,16.2,4.212,7.1280003,3.24,17.496,5.508,11.988,10.044,4.86,1.944,18.144001,5.508,23.976,6.48,2.2680001,16.848,5.184,4.86,2.2680001,6.156,6.804,10.368,7.776,7.452,4.86,9.0720005,13.932,5.508,8.748,5.184,3.24,9.0720005,13.608,17.496,21.708,
Curve - Rising Duration 10% to 90%,3.5640001,1.944,3.5640001,2.916,1.944,1.62,3.5640001,1.62,1.944,0.324,4.5360003,1.62,1.944,0.648,4.212,4.86,0.972,1.62,0.648,0.648,0.972,1.62,5.832,2.592,1.62,0.648,3.24,2.2680001,2.916,1.62,5.508,3.24,0.972,3.5640001,0.648,1.62,0.972,0.648,0.324,1.62,2.592,1.296,1.944,0.972,2.2680001,0.972,2.592,1.296,0.324,0.648,2.2680001,2.916,1.62,2.916,3.5640001,1.296,2.592,2.592,0.972,4.5360003,0.972,0.972,5.184,3.5640001,2.2680001,0.324,3.5640001,1.296,3.24,0.648,3.5640001,4.5360003,1.296,1.62,0.972,4.5360003,1.944,1.944,0.972,2.2680001,4.5360003,4.5360003,2.592,3.888,0.972,2.2680001,1.296,0.972,5.508,0.972,0.324,1.62,0.648,0.648,2.2680001,1.296,1.296,2.2680001,0.972,1.62,2.2680001,1.944,0.648,0.324,3.5640001,2.592,1.62,2.916,3.24,1.296,3.5640001,2.2680001,1.944,2.592,7.1280003,4.5360003,0.972,0.972,1.944,4.5360003,1.62,2.2680001,3.24,3.24,4.86,1.62,2.592,3.24,1.944,2.2680001,0.324,1.62,1.62,4.212,1.944,4.86,3.24,1.296,1.944,2.916,0.972,1.296,4.5360003,2.2680001,1.62,1.296,0.648,4.86,0.972,2.2680001,4.212,1.62,2.2680001,3.888,0.324,3.888,3.5640001,0.972,0.972,2.2680001,1.296,0.648,2.592,0.972,3.24,6.156,2.916,7.1280003,3.24,0.648,1.62,1.62,0.972,2.2680001,1.944,0.972,3.24,1.62,0.324,4.86,0.324,2.916,1.296,2.916,2.2680001,1.296,1.296,3.5640001,4.212,2.592,2.916,0.648,4.212,1.62,9.396,1.944,2.916,0.972,1.62,1.62,4.5360003,3.888,1.296,0.648,6.804,1.62,3.888,3.888,1.296,10.692,2.916,0.648,0.648,2.592,3.5640001,4.5360003,4.212,5.184,1.944,5.508,4.212,2.592,3.5640001,2.592,0.324,6.156,4.5360003,2.916,15.552,
Curve - Decaying Duration 90% to 10%,3.24,10.692,0.972,3.24,2.2680001,1.62,1.944,1.296,1.296,1.62,1.62,1.944,2.916,1.296,2.916,4.5360003,3.5640001,3.24,4.5360003,4.5360003,1.944,5.508,4.5360003,2.916,2.2680001,1.296,9.396,11.34,2.592,5.508,10.692,2.916,4.212,3.888,1.296,2.916,0.972,0.972,1.944,1.62,1.944,1.944,2.916,1.944,1.62,1.62,2.916,1.296,2.916,1.62,0.972,9.0720005,5.184,2.2680001,2.592,2.2680001,2.592,8.1,1.296,4.86,3.24,1.62,2.2680001,5.508,2.592,4.5360003,3.5640001,2.592,4.212,2.2680001,0.648,6.156,1.296,2.916,1.296,1.296,1.296,1.944,1.944,5.832,2.916,1.944,8.1,1.62,0.972,1.62,10.044,0.648,4.5360003,0.972,2.2680001,2.916,1.296,5.508,1.296,1.296,5.508,4.212,1.62,2.592,3.24,1.296,1.62,1.296,1.296,1.62,2.916,1.944,0.648,7.776,7.452,5.832,3.888,4.86,9.0720005,3.5640001,1.944,1.62,3.5640001,0.648,0.972,3.24,3.24,13.608,8.1,6.48,0.972,1.62,4.212,4.212,6.48,0.972,4.5360003,9.0720005,0.972,6.48,3.888,7.452,1.62,2.592,6.48,3.888,2.592,2.916,5.184,2.2680001,1.296,6.48,1.62,3.5640001,0.324,5.508,0.648,12.312,1.62,2.916,2.592,2.592,5.832,1.944,3.5640001,1.944,4.212,3.888,3.888,3.5640001,3.5640001,6.804,7.452,4.5360003,1.62,4.212,2.2680001,1.944,6.48,2.2680001,2.2680001,1.62,8.1,1.296,2.2680001,3.888,0.648,0.972,0.972,5.832,1.296,1.944,2.2680001,5.184,10.044,1.944,3.888,6.804,6.804,2.2680001,3.5640001,1.944,15.552,3.5640001,7.452,6.156,3.5640001,1.296,11.34,3.24,20.088,2.2680001,0.972,6.156,2.2680001,3.24,1.62,3.5640001,3.24,5.184,3.5640001,2.2680001,2.916,2.592,9.0720005,2.916,5.184,2.592,2.916,2.916,8.424,12.636,6.156,
