Index,5,6,7,9,10,12,14,17,18,22,24,29,31,34,40,50,51,53,54,55,57,58,60,64,65,69,77,84,107,109,110,124,130,138,141,149,150,154,157,158,159,162,165,176,182,192,193,198,201,203,206,210,212,215,216,222,223,226,229,231,234,235,238,243,247,252,255,256,261,266,269,270,271,273,275,276,284,287,289,290,292,293,294,297,298,314,318,319,329,330,331,332,339,347,349,353,356,359,367,371,372,382,383,384,393,394,396,397,399,401,402,409,410,411,412,416,423,424,430,432,451,452,457,462,468,475,477,484,486,488,490,498,500,505,512,519,520,534,537,538,544,547,553,555,557,563,569,
Basic - Area,12.625488,8.128174,5.4050293,32.471436,232.25122,43.240234,9.283447,7.3029785,13.450684,4.6210938,21.331299,65.56177,3.6308594,3.9196777,51.657227,4.4973145,31.398682,12.29541,21.413818,4.0021973,4.8273926,23.435547,4.249756,10.810059,3.9196777,12.37793,3.7546387,4.951172,8.582031,3.5895996,14.977295,31.64624,6.4365234,5.1987305,44.395508,29.99585,3.5483398,3.342041,6.6015625,4.3322754,3.5483398,3.4658203,16.173828,10.273682,8.086914,3.011963,86.10913,5.9414062,8.458252,14.440918,10.397461,4.6210938,22.569092,13.450684,3.5483398,4.0021973,13.945801,4.1672363,5.611328,6.5603027,9.324707,3.5895996,27.850342,12.130371,6.354004,3.2595215,5.9001465,28.22168,9.324707,9.861084,5.776367,5.9001465,9.200928,5.5288086,9.819824,5.9414062,63.41626,4.786133,5.32251,5.982666,7.4680176,7.5092773,8.375732,3.8371582,11.511475,5.5700684,232.29248,11.305176,14.688477,7.715576,3.4658203,6.684082,13.780762,5.776367,3.0944824,3.2595215,5.0336914,4.0021973,7.921875,5.9414062,4.7036133,14.688477,12.171631,4.043457,9.9436035,6.7666016,3.0532227,3.3833008,8.87085,4.2910156,46.582275,11.222656,3.6721191,59.5791,8.582031,3.2182617,7.715576,81.24048,11.511475,4.6210938,8.499512,3.878418,4.373535,4.084717,16.297607,4.786133,3.9609375,5.611328,4.786133,3.6721191,4.909912,68.73877,4.9924316,5.3637695,3.4245605,5.32251,3.011963,3.0532227,3.342041,5.5700684,5.9001465,4.6623535,6.6015625,5.7351074,144.4917,4.2910156,26.942627,
Basic - Perimeter,24.071127,14.803141,11.087172,40.90856,278.14536,44.08036,31.276173,20.069563,26.006502,8.673235,43.314175,52.827328,15.335734,9.3015,70.864426,16.043015,51.49361,18.626562,37.567158,14.361344,11.050203,51.0636,13.143405,29.001781,11.7759695,23.543814,8.458126,11.319141,21.230423,8.827813,30.493328,48.51519,21.808313,17.805124,51.883205,36.45525,10.674016,11.676844,13.272796,12.955313,12.931749,9.98522,24.556595,23.197687,19.84105,10.0104065,75.60333,18.836391,15.60447,26.372532,23.582203,11.263687,41.058064,39.42697,9.059579,12.543781,27.88764,9.568609,19.975515,11.794454,24.911049,12.036376,51.647984,17.956251,14.991235,11.110735,16.400719,53.07595,25.683735,18.300549,15.925405,18.574562,29.327393,15.4198265,18.965984,11.950656,92.487885,13.85739,14.211844,25.482235,20.62897,27.187265,19.478266,7.7845626,31.12667,15.711922,244.246,17.089516,40.223423,26.145844,13.677625,23.461346,30.432594,17.108002,12.439578,7.609875,13.508017,11.446703,14.221798,11.950656,14.620126,28.01561,27.876064,8.542219,23.111765,17.123032,11.757485,7.976109,16.822407,12.254735,45.32328,23.476376,10.936047,75.640305,13.255938,9.493048,15.869951,109.16404,35.47253,12.074968,27.43589,8.293594,12.951861,11.755859,32.440483,9.319984,9.971812,21.63525,13.85739,8.698422,12.901484,115.490585,10.369937,12.71339,6.5800314,11.720515,9.593798,10.1783905,8.278563,10.734547,13.093031,12.637828,17.569906,14.342861,162.71228,15.386109,51.18973,
Basic - Circularity,3.6520338,2.1453834,1.8098127,4.101258,26.507925,3.5759575,8.385097,4.3890038,4.0013785,1.295411,6.9989505,3.3873243,5.1545396,1.7564903,7.7359843,4.554166,6.720249,2.2454972,5.244604,4.100925,2.0128808,8.853967,3.234759,6.191722,2.8153548,3.5636559,1.5162481,2.05925,4.179433,1.7276286,4.9404488,5.918661,5.880076,4.8526936,4.825082,3.5257306,2.5551748,3.2466037,2.1235778,3.0829742,3.7504165,2.2892826,2.966973,4.1682467,3.8737946,2.6475487,5.2822967,4.7522173,2.2909076,3.8326485,4.256294,2.184774,5.94392,9.1967125,1.8406913,3.1285896,4.437825,1.7483953,5.658749,1.687415,5.2958903,3.2117047,7.6219544,2.1151803,2.814605,3.0138516,3.6278818,7.9433346,5.629519,2.7026742,3.4939468,4.653337,7.4388433,3.422296,2.914991,1.9128652,10.733941,3.1927748,3.0197747,8.637149,4.5346093,7.832908,3.6046898,1.2567499,6.697682,3.52686,20.436659,2.0557597,8.765393,7.0506163,4.2954183,6.5532117,5.348043,4.032124,3.9793618,1.4138111,2.8846073,2.6052685,2.0317543,1.9128652,3.616269,4.2521987,5.0804744,1.4360802,4.2747684,3.448108,3.6029694,1.4963449,2.5386405,2.7850814,3.509232,3.908018,2.5917559,7.641924,1.6293746,2.2283332,2.597604,11.672849,8.6984825,2.5108302,7.047487,1.4113057,3.0522625,2.6923835,5.1385536,1.4442279,1.9977463,6.6381693,3.1927748,1.6396621,2.697713,15.441217,1.7140766,2.3979647,1.0061002,2.0538423,2.431765,2.7001624,1.63188,1.6462547,2.312106,2.7260249,3.7211938,2.854435,14.58102,4.390234,7.7395535,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.954589770191003,Infinity,4.826576995299187,15.954589770191003,Infinity,11.888450277320304,Infinity,Infinity,9.973794930724182,Infinity,Infinity,Infinity,4.686775313014652,10.14353515702203,Infinity,13.46463129076617,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,14.675836169238174,8.435918644159644,Infinity,Infinity,Infinity,10.543047503480965,Infinity,Infinity,Infinity,13.018578974475794,11.068431943670433,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,7.580772199556842,Infinity,Infinity,Infinity,10.80350198111894,Infinity,Infinity,14.301377256415659,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,10.07313035956906,Infinity,12.40854090378927,10.733932620693754,3.1016243808685977,Infinity,Infinity,3.181796232956526,4.67401735973161,6.000975285201483,Infinity,11.839512053531422,Infinity,7.6491567782522205,Infinity,Infinity,Infinity,Infinity,8.572224350565333,Infinity,Infinity,Infinity,Infinity,Infinity,15.255619765854984,Infinity,Infinity,Infinity,4.1081825193510495,10.51925195186778,Infinity,13.180072804462453,Infinity,Infinity,15.35252977886304,Infinity,Infinity,Infinity,Infinity,11.458878961877078,Infinity,Infinity,Infinity,7.308201667086104,Infinity,13.719061323283455,Infinity,Infinity,Infinity,14.291831938509429,Infinity,Infinity,8.249998728030675,Infinity,Infinity,12.971866382522458,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.306229759210071,14.449439791871097,Infinity,5.157258120645533,15.176438519807359,11.693255516391872,Infinity,9.891251906911892,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.64153226916216,Infinity,
Curve - Max Dff,1.4236882,1.8672203,1.3567194,0.8806567,0.9020537,0.95418775,1.0118964,0.866706,0.9954174,0.77003163,0.5731301,0.88907194,1.9573145,1.2680566,0.7957279,0.8270349,0.74529773,0.62167555,0.64534765,1.8571697,0.63030976,0.63696814,0.6291552,0.8832927,1.5078323,0.82520866,1.1382235,1.2208393,0.7922686,0.89078504,0.5993685,0.5811242,1.4339986,0.6673611,1.0482935,1.3889415,0.8426399,2.09342,1.2487586,0.6652939,0.888782,0.45109156,0.3802799,1.0362715,0.6675576,1.2958618,0.7139992,0.51863724,0.9888351,0.6622852,0.85324275,0.68055534,0.76414335,0.7644498,0.81911236,0.59393483,0.62953144,0.5656021,0.914789,1.020928,0.71206856,1.2213433,0.66881293,0.8119062,0.5717301,0.8178596,0.7005857,1.0501472,0.5211118,0.538317,0.30454704,0.7914505,0.6747479,0.6929775,0.30064422,0.632173,0.7339088,0.6480078,0.9634569,0.6505234,0.63342106,0.6236702,0.7593923,1.295682,0.429767,0.7273659,1.0096879,1.1745487,2.045727,1.2285969,1.0311354,1.3588524,0.74625736,0.65140593,0.68194026,0.55279154,0.665846,0.6848587,0.76835424,0.632173,0.67516136,0.9443073,0.5870791,1.0737973,0.56958354,0.6678713,1.2279854,0.9482757,0.84205276,0.7043678,0.5048327,0.6466125,0.7876987,0.39127943,0.77817684,0.882912,0.69415796,0.85627836,0.6823336,0.9260502,0.73295814,0.7919118,0.8422617,0.71817946,0.5347523,0.8046997,0.902197,0.55781734,0.6480078,0.902793,0.8733451,0.460467,0.9442453,0.6482574,0.67965823,0.83857673,0.69606376,0.7500003,0.8503579,0.72771645,1.2030491,0.71790123,0.58469975,0.692352,0.49288994,0.66874987,0.7458623,
Curve - Duration 50% to 50%,12.96,1.62,0.972,3.24,3.24,5.184,5.832,2.2680001,3.888,0.648,2.592,3.5640001,4.5360003,3.888,2.592,2.916,11.988,2.2680001,1.62,4.212,0.972,4.212,3.888,6.804,7.776,0.972,9.72,1.944,6.48,5.508,5.184,11.988,5.832,7.1280003,3.5640001,5.832,1.944,10.368,2.2680001,2.592,4.86,0.648,1.62,1.296,1.296,8.424,3.24,2.2680001,6.804,7.776,2.592,5.184,0.972,5.508,3.888,7.776,0.648,0.972,14.58,1.944,4.86,6.156,7.776,7.776,4.212,2.2680001,8.748,11.34,2.916,0.972,0.972,7.452,4.212,0.648,1.296,1.296,2.916,1.296,1.62,2.916,8.424,3.5640001,1.296,4.86,7.776,1.944,14.58,13.608,4.212,11.988,4.86,2.916,7.1280003,0.972,7.452,1.296,1.62,0.972,1.296,1.296,10.368,6.804,2.2680001,5.184,2.916,6.804,5.832,1.62,3.5640001,3.24,5.184,3.24,0.972,10.692,2.592,6.156,2.2680001,2.2680001,9.0720005,6.156,2.592,2.592,2.592,1.944,2.592,1.62,3.888,0.648,2.592,2.916,5.832,1.944,1.62,3.5640001,3.5640001,2.2680001,2.2680001,8.1,6.48,0.972,2.2680001,0.972,7.452,3.24,4.212,5.508,6.156,
Curve - Duration 10% to 10%,13.932,4.5360003,1.296,4.5360003,4.5360003,6.48,6.804,2.2680001,5.832,1.944,3.888,6.156,4.5360003,8.748,3.5640001,2.916,13.932,5.184,2.916,4.212,1.296,4.86,5.184,8.1,7.776,1.62,10.368,2.592,9.396,8.424,9.72,11.988,5.832,7.452,4.212,8.1,2.916,10.368,4.5360003,5.832,5.508,8.1,2.592,1.944,1.944,10.044,5.508,4.86,8.424,8.748,5.184,8.1,3.5640001,5.508,15.228,7.776,4.86,2.916,16.2,5.184,7.1280003,6.804,8.424,9.72,4.86,3.5640001,8.748,11.664,8.424,1.296,1.296,9.396,7.1280003,0.648,1.62,3.24,5.508,3.888,1.944,15.876,9.396,3.5640001,2.2680001,5.832,7.776,1.944,15.552,17.172,4.212,16.848,4.86,2.916,7.1280003,2.592,7.452,1.62,2.592,4.212,2.2680001,3.24,10.368,8.424,4.212,11.664,3.5640001,9.0720005,5.832,2.2680001,4.212,6.48,5.832,4.5360003,2.2680001,11.988,3.24,12.636,3.5640001,3.888,9.0720005,8.424,8.424,6.156,5.832,1.944,3.5640001,1.944,6.156,1.944,2.592,3.5640001,7.452,5.184,3.888,14.2560005,4.5360003,2.2680001,5.184,8.1,34.992,1.944,6.804,2.916,8.748,8.1,7.1280003,5.508,7.1280003,
Curve - Rising Duration 10% to 90%,2.916,1.62,0.324,1.296,1.62,2.2680001,2.2680001,0.648,2.2680001,0.972,1.296,3.5640001,0.648,2.2680001,0.972,1.62,2.916,0.648,0.972,0.324,0.324,1.62,3.24,5.184,2.2680001,0.648,7.776,0.972,2.916,0.648,1.62,3.888,2.592,0.324,0.972,2.2680001,1.944,7.1280003,2.916,3.888,1.62,5.832,0.648,0.972,0.648,6.48,2.592,2.592,4.5360003,1.62,1.944,2.916,0.324,3.24,6.156,4.86,2.592,0.648,7.452,3.24,4.5360003,5.184,4.212,1.62,0.648,0.648,5.184,1.944,2.592,0.648,0.648,3.888,5.184,0.324,0.324,0.972,0.972,2.2680001,0.648,13.284,1.62,1.944,1.296,0.972,3.5640001,0.648,1.944,4.212,0.972,2.2680001,1.296,0.972,1.62,0.648,3.5640001,0.648,0.648,3.24,0.324,0.972,2.592,3.24,0.972,7.776,0.972,3.888,1.296,0.648,2.592,2.592,1.296,2.2680001,1.296,3.5640001,0.648,8.1,1.62,1.944,5.508,4.5360003,3.888,2.592,1.296,0.648,1.296,0.648,3.5640001,0.972,0.972,0.972,1.296,1.62,0.324,10.368,2.592,0.648,3.24,4.212,17.82,0.648,1.62,1.296,2.916,3.888,2.2680001,2.2680001,2.592,
Curve - Decaying Duration 90% to 10%,10.692,2.916,0.972,1.944,1.944,3.24,3.24,1.62,3.24,0.972,1.62,1.944,3.24,6.48,1.62,1.296,9.72,4.5360003,1.62,3.5640001,0.972,2.2680001,1.944,2.592,5.508,0.972,2.592,1.62,6.156,6.804,7.1280003,7.452,2.592,7.1280003,2.2680001,4.86,0.972,0.324,1.296,1.944,3.888,2.2680001,1.62,0.972,0.972,3.24,2.592,2.2680001,3.888,5.832,3.24,5.184,3.24,2.2680001,9.0720005,2.916,2.2680001,2.2680001,8.1,1.62,2.2680001,1.296,3.24,6.48,3.888,2.916,3.24,9.72,5.832,0.648,0.648,5.508,1.62,0.324,1.296,2.2680001,4.5360003,1.62,1.296,2.592,7.776,1.62,0.972,4.212,4.212,0.972,9.396,11.988,2.592,13.284,3.5640001,1.944,5.184,1.944,3.888,0.972,1.944,0.972,1.944,2.2680001,7.776,4.86,3.24,3.888,1.944,4.86,4.5360003,1.296,1.62,3.888,3.5640001,2.2680001,0.972,5.832,1.944,4.5360003,1.944,1.944,3.24,3.888,4.212,3.5640001,4.5360003,1.296,2.2680001,1.296,2.592,0.972,1.62,2.592,6.156,3.24,3.24,2.916,1.62,1.296,1.944,3.888,16.848,1.296,4.86,1.62,5.832,3.5640001,3.5640001,3.24,3.5640001,
