Index,13,25,28,35,48,54,67,72,76,79,81,88,109,114,126,127,148,152,154,159,162,167,168,179,184,185,189,191,197,204,206,208,213,220,239,240,245,250,255,256,260,268,274,280,281,283,284,286,290,291,293,295,300,301,302,311,313,315,317,322,323,325,326,330,333,338,339,340,341,342,352,359,
Basic - Area,3.2555106,4.079691,21.016588,16.071508,17.019316,7.087948,7.6648736,3.7912276,6.8406935,5.9340954,5.3983784,3.2967198,9.519279,5.151125,4.409363,3.7912276,35.480946,6.0165133,3.0082567,14.052269,31.566093,4.326945,4.8214526,3.3379288,3.8324368,9.807741,5.233543,8.61268,4.409363,4.450572,16.730854,5.9753046,6.2637677,11.620937,5.686842,11.250056,7.3352017,3.2555106,6.6346483,10.7555485,4.2857356,3.2555106,3.461556,3.997273,29.794106,5.2747517,60.0003,4.53299,20.068783,3.3379288,3.2555106,9.189606,4.94508,9.807741,5.8104687,7.2115746,6.552231,76.895996,13.351715,7.417619,5.9340954,52.005756,4.986289,3.7088096,3.461556,20.109991,6.2637677,3.2555106,38.241947,3.5027647,19.450645,16.277554,
Basic - Perimeter,9.512377,11.03163,48.637985,35.63888,25.662853,15.954176,15.035804,11.936604,20.559229,17.765749,14.236593,10.059665,24.507782,17.768997,12.742513,14.286938,41.58516,11.486754,10.11001,26.238762,56.975193,9.116121,12.566106,12.3966,11.122371,17.377815,11.768723,17.778942,8.973412,13.576842,42.648067,16.122057,19.67273,17.97565,13.581917,25.758669,21.220606,9.512377,16.103584,24.678911,13.937776,7.6252885,8.02662,8.995337,63.00897,17.50875,84.10228,10.58848,39.8625,8.419425,8.139082,24.457438,13.341768,15.121266,16.64072,17.55077,18.528013,127.78281,23.695377,16.932838,11.313799,56.580563,11.904733,11.654635,9.430162,34.585922,15.341115,9.154691,82.08752,8.214599,24.823448,39.392353,
Basic - Circularity,2.2118165,2.3737895,8.95734,6.2890005,3.079342,2.8577116,2.347137,2.9906929,4.917039,4.2325554,2.9877136,2.442728,5.0210447,4.877687,2.9303834,4.284386,3.8785703,1.7451788,2.703824,3.898795,8.183535,1.5283717,2.6062355,3.663686,2.568679,2.450256,2.1059737,2.9205432,1.4532137,3.2958834,8.651088,3.4615529,4.9168134,2.212678,2.5813155,4.6933427,4.885327,2.2118165,3.1104078,4.506191,3.607046,1.4212929,1.4810994,1.6108724,10.603873,4.6248584,9.381067,1.9682153,6.3008356,1.689966,1.6192796,5.179826,2.8644655,1.8552288,3.7924793,3.3990095,4.1692567,16.897842,3.346419,3.0759914,1.7165344,4.8986144,2.2617884,2.9144256,2.0443587,4.7334414,2.9899805,2.0486057,14.021819,1.5330342,2.5210433,7.58621,
Curve - P Value on max Dff (-log10),2.2868527044277442,15.653559774527022,15.47746851547134,Infinity,Infinity,Infinity,Infinity,Infinity,13.840646417884166,Infinity,Infinity,Infinity,Infinity,15.954589770191003,10.664405965328017,11.602677563862994,Infinity,Infinity,9.922401488394517,Infinity,Infinity,15.35252977886304,Infinity,13.524837490188595,Infinity,Infinity,Infinity,12.126316658138933,Infinity,14.247019594093066,Infinity,Infinity,Infinity,11.460045599498354,Infinity,Infinity,15.954589770191003,12.649668608290112,Infinity,Infinity,7.839063742834239,Infinity,10.967567381560434,13.492191772292047,Infinity,15.954589770191003,Infinity,15.176438519807359,Infinity,Infinity,15.954589770191003,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,9.309303509368103,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.653559774527022,Infinity,Infinity,Infinity,Infinity,Infinity,
Curve - Max Dff,0.24242806,0.5308377,0.29049566,0.42798272,0.34349164,0.37991646,0.57713354,0.47713923,0.47535086,0.44914034,0.44855753,0.3431884,0.32384166,0.31693146,0.4872175,0.23044828,0.37479058,0.43930784,0.27816507,0.42751646,0.26208586,0.6220389,0.5171594,0.5270766,0.49408412,0.45536068,0.43396637,0.32611057,0.40489185,0.47809488,0.35341898,0.37703097,0.35836828,0.3752255,0.4262238,0.5052613,0.48001662,0.39405662,0.40837374,0.81477875,0.4875951,0.33567357,0.56799036,0.5010552,0.4265439,0.32906705,0.3232395,0.3464775,0.320628,0.7511411,0.48608166,0.4139178,0.37934947,0.5887697,0.4703476,0.49592203,0.44928676,0.38554534,0.27265033,0.5197778,0.43210495,0.41004047,0.48165894,0.40175638,0.52598417,0.4580147,0.3929826,0.40363806,0.44559705,0.5378539,0.41305837,0.50725394,
Curve - Duration 50% to 50%,1.944,7.776,8.424,8.1,6.804,12.312,7.776,10.692,7.776,13.284,3.5640001,6.156,2.592,9.0720005,2.592,2.2680001,3.24,10.368,4.5360003,1.296,3.24,5.184,4.212,7.1280003,2.592,3.24,7.1280003,14.58,1.296,4.212,8.1,4.86,3.24,3.24,4.212,1.296,7.1280003,4.212,3.5640001,3.24,2.592,4.86,2.916,3.888,6.156,7.776,7.776,0.648,4.86,6.804,2.916,1.296,1.944,2.2680001,2.2680001,6.804,8.1,8.424,1.62,4.86,2.916,6.804,8.424,1.944,7.776,2.592,4.212,4.212,9.396,2.592,2.916,7.776,
Curve - Duration 10% to 10%,3.24,7.776,8.424,8.1,9.0720005,12.312,8.1,12.312,7.776,13.284,6.156,7.452,2.592,14.2560005,2.592,8.424,7.1280003,13.284,4.86,5.832,5.184,6.156,6.156,9.72,5.508,3.888,10.044,21.708,3.24,11.016,12.312,8.748,7.776,4.212,4.212,2.592,8.1,13.932,5.508,4.86,2.592,9.72,14.2560005,3.888,7.1280003,8.748,9.396,2.2680001,8.424,7.776,6.804,2.2680001,5.832,4.212,3.5640001,12.312,8.748,12.312,3.5640001,6.48,3.5640001,8.424,11.34,8.748,18.144001,5.832,6.156,9.0720005,11.664,6.804,6.48,9.396,
Curve - Rising Duration 10% to 90%,0.324,3.5640001,3.5640001,2.2680001,2.592,5.184,0.648,5.832,2.592,4.212,2.2680001,2.2680001,1.944,1.62,1.296,1.944,1.62,4.212,0.972,0.648,1.944,5.184,1.944,4.5360003,1.62,0.648,2.592,14.2560005,0.972,2.2680001,5.508,0.648,2.592,2.592,1.296,0.648,2.2680001,10.368,2.2680001,0.972,0.648,5.184,13.932,2.916,2.916,5.184,4.212,0.648,4.5360003,4.5360003,4.5360003,0.648,4.212,2.2680001,1.944,2.2680001,3.5640001,2.592,1.62,0.972,1.62,3.888,1.944,1.944,5.832,1.296,0.648,4.5360003,5.832,1.944,1.944,5.832,
Curve - Decaying Duration 90% to 10%,3.24,3.5640001,4.5360003,4.86,6.156,6.804,5.832,6.156,4.86,9.0720005,3.5640001,4.86,0.648,12.636,1.296,6.48,4.86,4.86,3.888,5.184,2.916,0.972,3.888,4.86,3.888,2.916,7.452,7.452,1.944,8.748,6.156,7.776,5.184,1.62,2.2680001,1.944,4.212,3.5640001,3.24,3.5640001,1.944,4.5360003,0.324,0.972,4.212,3.5640001,4.212,1.62,3.888,2.916,2.2680001,1.62,1.62,1.62,1.62,10.044,5.184,7.776,1.62,4.5360003,1.944,2.916,8.748,6.804,12.312,4.212,5.508,4.5360003,4.5360003,4.86,4.5360003,3.24,
Curve - Decay Tau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Propagation - Onset - Overall,0.0,0.6521667,10.617602,6.4532,15.0653,7.828406,5.4337344,1.2447939,3.8346288,2.949361,2.6166494,0.6935298,8.524795,2.7148125,0.7316371,0.0,23.424885,0.5254962,0.5898646,3.1822174,26.396275,1.8966361,3.4102323,1.8170451,1.6735206,1.3959354,2.2817843,2.0821154,0.12113739,0.18326406,12.1006155,1.3782177,0.0,5.56849,1.2484581,0.0,1.7442924,0.0,0.0,12.582872,1.5929418,0.41909105,1.2470421,0.15568429,21.237875,2.945926,63.363586,0.0,20.664871,1.420222,0.0,0.0,0.404473,3.477591,0.0,0.77125394,1.7999866,59.132317,12.458712,2.3159869,1.86892,31.982355,1.0464705,1.7549077,0.6261252,7.7805505,7.8102474,0.3651588,33.811474,0.123410694,4.8420625,24.651691,
